Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details;Altitude (m);Roadgrade (%);Surface;Highway_Type;OSM_Name
Routenpunkt (Way);T;Unbekannt;49.40969;8.692862;50.0;;;;;;Original OSM;120.0;0.0;asphalt;primary_link;
Haltestelle;W;Heidelberg, Bismarckplatz;49.40969;8.692862;50.0;07:08:00;07:08:00;Kein Umlauf;Sa,So;1000.0;Original GTFS (Snap-Distanz 32m) | Auf Route gesnappt (12m);120.0;0.0;asphalt;primary_link;
Routenpunkt (Way);T;;49.4096;8.692814;50.0;;;;;;Interpoliert (15m);120.0;0.0;asphalt;primary_link;
Routenpunkt (Way);T;Unbekannt;49.40951;8.692766;50.0;;;;;;Original OSM;120.0;0.62;asphalt;primary_link;
Routenpunkt (Way);T;;49.409428;8.692723;50.0;;;;;;Interpoliert (15m);120.0;1.35;asphalt;primary_link;
Ampel;A;Ampel;49.409345;8.69268;50.0;;;;;;Original OSM;120.3;1.96;asphalt;primary_link;
Routenpunkt (Way);T;Bismarckstraße;49.409282;8.692621;50.0;;;;;;Original OSM;120.6;1.96;asphalt;primary_link;
Ampel;A;Ampel;49.409206;8.692555;50.0;;;;;;Original OSM;120.9;2.48;asphalt;primary_link;
Routenpunkt (Way);T;Bismarckstraße;49.409206;8.692555;50.0;;;;;;Original OSM;121.2;2.37;asphalt;primary_link;
Routenpunkt (Way);T;;49.409108;8.692494;50.0;;;;;;Interpoliert (15m);121.5;2.16;asphalt;primary_link;
Routenpunkt (Way);T;Bismarckstraße;49.40901;8.692433;50.0;;;;;;Original OSM;121.8;2.07;asphalt;primary_link;
Routenpunkt (Way);T;;49.408907;8.692421;50.0;;;;;;Interpoliert (15m);122.1;1.67;asphalt;primary_link;
Ampel;A;Ampel;49.408804;8.69241;50.0;;;;;;Original OSM;122.4;1.16;asphalt;primary_link;
Routenpunkt (Way);T;Rohrbacher Straße;49.408715;8.69242;50.0;;;;;;Original OSM;122.2;-0.06;asphalt;primary_link;
Routenpunkt (Way);T;;49.408639;8.692429;50.0;;;;;;Interpoliert (15m);122.2;-1.03;asphalt;primary_link;
Routenpunkt (Way);T;Rohrbacher Straße;49.408563;8.692437;50.0;;;;;;Original OSM;121.9;-2.01;asphalt;primary_link;
Ampel;A;Ampel;49.408442;8.692451;50.0;;;;;;Original OSM;121.6;-2.26;asphalt;primary_link;
Routenpunkt (Way);T;Rohrbacher Straße;49.408323;8.692465;50.0;;;;;;Original OSM;121.3;-2.9;asphalt;primary_link;
Routenpunkt (Way);T;;49.408244;8.692503;50.0;;;;;;Interpoliert (15m);121.0;-2.85;asphalt;primary_link;
