Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details;Altitude (m);Roadgrade (%);Surface;Highway_Type;OSM_Name
Routenpunkt (Way);T;Unbekannt;49.406156;8.686459;;;;;;;Interpoliert;119.2;-0.51;;;
Haltestelle;W;Heidelberg, Stadtbücherei;49.406156;8.686459;;05:34:00;05:34:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;139.0;Original GTFS (Snap-Distanz 21m) | Auf Route gesnappt (1m);119.0;-0.6;;;
Routenpunkt (Way);T;Stadtbücherei;49.406161;8.686587;;;;;;;Interpoliert;118.86;-0.6;;;
Routenpunkt (Way);T;Stadtbücherei;49.406199;8.686751;;;;;;;Interpoliert;118.75;-0.69;;;
Routenpunkt (Way);T;;49.406234;8.686934;;;;;;;Interpoliert (15m);118.67;-1.02;;;
Routenpunkt (Way);T;Unbekannt;49.40627;8.687118;;;;;;;Original OSM;118.6;-1.04;;;
Routenpunkt (Way);T;;49.406299;8.687281;;;;;;;Interpoliert (15m);118.4;-1.2;;;
Routenpunkt (Way);T;;49.406328;8.687443;;;;;;;Interpoliert (15m);118.2;-1.56;;;
Routenpunkt (Way);T;Unbekannt;49.406357;8.687606;;;;;;;Interpoliert;118.0;-1.94;;;
Routenpunkt (Way);T;Unbekannt;49.406387;8.687773;;;;;;;Interpoliert;117.7;-2.11;;;
Routenpunkt (Way);T;Unbekannt;49.406416;8.68794;;;;;;;Original OSM;117.4;-2.27;;;
Routenpunkt (Way);T;Unbekannt;49.406444;8.688103;;;;;;;Interpoliert;117.1;-2.44;;;
Routenpunkt (Way);T;Unbekannt;49.406472;8.688266;;;;;;;Interpoliert;116.8;-2.12;;;
Routenpunkt (Way);T;Unbekannt;49.406501;8.688428;;;;;;;Interpoliert;116.5;-1.48;;;
Routenpunkt (Way);T;Unbekannt;49.406529;8.688591;;;;;;;Interpoliert;116.4;-0.84;;;
Routenpunkt (Way);T;Unbekannt;49.406558;8.688754;;;;;;;Original OSM;116.5;-0.2;;;
Routenpunkt (Way);T;Unbekannt;49.406589;8.688938;;;;;;;Interpoliert;116.6;0.45;;;
Routenpunkt (Way);T;Unbekannt;49.406621;8.689122;;;;;;;Original OSM;116.7;1.1;;;
Routenpunkt (Way);T;Unbekannt;49.406651;8.689287;;;;;;;Interpoliert;116.8;1.37;;;
Routenpunkt (Way);T;Unbekannt;49.40668;8.689452;;;;;;;Interpoliert;117.1;1.8;;;
Routenpunkt (Way);T;Unbekannt;49.406713;8.689636;;;;;;;Original OSM;117.4;2.22;;;
Routenpunkt (Way);T;;49.406737;8.689777;;;;;;;Interpoliert (15m);117.7;2.71;;;
Routenpunkt (Way);T;Unbekannt;49.406761;8.689917;;;;;;;Original OSM;118.0;1.79;;;
Routenpunkt (Way);T;;49.406782;8.69004;;;;;;;Interpoliert (15m);118.3;0.77;;;
Routenpunkt (Way);T;Unbekannt;49.406803;8.690163;;;;;;;Interpoliert;118.1;-0.4;;;
Routenpunkt (Way);T;Unbekannt;49.406834;8.690344;;;;;;;Interpoliert;117.7;-1.56;;;
Routenpunkt (Way);T;Unbekannt;49.406865;8.690524;;;;;;;Interpoliert;117.3;-2.98;;;
Routenpunkt (Way);T;Unbekannt;49.406896;8.690705;;;;;;;Interpoliert;116.9;-3.12;;;
