Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details;Altitude (m);Roadgrade (%);Surface;Highway_Type;OSM_Name
Routenpunkt (Way);T;Unbekannt;49.452746;8.751302;50.0;;;;;;Original OSM;379.0;-7.3;asphalt;primary_link;
Haltestelle;W;Ziegelhausen, Wendestelle Hbw;49.452746;8.751302;50.0;07:56:00;07:56:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446.0;Original GTFS (Snap-Distanz 27m) | Auf Route gesnappt (7m);376.17;-9.21;asphalt;primary_link;
Routenpunkt (Way);T;Unbekannt;49.4527;8.751408;50.0;;;;;;Original OSM;374.14;-9.49;asphalt;primary_link;
Routenpunkt (Way);T;Unbekannt;49.452642;8.751518;50.0;;;;;;Original OSM;372.62;-11.35;asphalt;primary_link;
Routenpunkt (Way);T;Unbekannt;49.452573;8.751628;50.0;;;;;;Original OSM;371.44;-14.69;asphalt;primary_link;
Routenpunkt (Way);T;Unbekannt;49.452499;8.751712;50.0;;;;;;Interpoliert;370.5;-12.77;asphalt;primary_link;
Routenpunkt (Way);T;Unbekannt;49.452425;8.751796;50.0;;;;;;Original OSM;368.8;-12.24;asphalt;primary_link;
Routenpunkt (Way);T;Unbekannt;49.452317;8.75189;50.0;;;;;;Interpoliert;367.1;-12.58;asphalt;primary_link;
Routenpunkt (Way);T;Unbekannt;49.452209;8.751984;50.0;;;;;;Interpoliert;365.4;-15.65;asphalt;primary_link;
Routenpunkt (Way);T;Unbekannt;49.452101;8.752078;50.0;;;;;;Interpoliert;363.7;-14.78;asphalt;primary_link;
Routenpunkt (Way);T;Unbekannt;49.451993;8.752172;50.0;;;;;;Interpoliert;360.3;-14.78;asphalt;primary_link;
Routenpunkt (Way);T;Unbekannt;49.451885;8.752266;50.0;;;;;;Interpoliert;358.6;-14.78;asphalt;primary_link;
Routenpunkt (Way);T;Unbekannt;49.451777;8.75236;50.0;;;;;;Interpoliert;356.9;-14.78;asphalt;primary_link;
Routenpunkt (Way);T;Unbekannt;49.451669;8.752454;50.0;;;;;;Interpoliert;355.2;-12.18;asphalt;primary_link;
Routenpunkt (Way);T;Unbekannt;49.451561;8.752548;50.0;;;;;;Original OSM;353.5;-12.06;asphalt;primary_link;
Routenpunkt (Way);T;Unbekannt;49.451448;8.752649;50.0;;;;;;Interpoliert;351.8;-13.42;asphalt;primary_link;
Routenpunkt (Way);T;Unbekannt;49.451334;8.75275;50.0;;;;;;Original OSM;350.1;-10.96;asphalt;primary_link;
Routenpunkt (Way);T;;49.451271;8.752825;50.0;;;;;;Interpoliert (15m);348.4;-8.5;asphalt;primary_link;
Routenpunkt (Way);T;Unbekannt;49.451208;8.7529;50.0;;;;;;Original OSM;348.4;-2.02;asphalt;primary_link;
Routenpunkt (Way);T;;49.451155;8.752979;50.0;;;;;;Interpoliert (15m);348.4;3.03;asphalt;primary_link;
Routenpunkt (Way);T;Unbekannt;49.451102;8.753059;50.0;;;;;;Original OSM;350.1;4.18;asphalt;primary_link;
Routenpunkt (Way);T;Unbekannt;49.451031;8.753193;50.0;;;;;;Original OSM;351.8;1.33;asphalt;primary_link;
Routenpunkt (Way);T;Unbekannt;49.450969;8.75334;50.0;;;;;;Original OSM;350.1;-1.51;asphalt;primary_link;
Routenpunkt (Way);T;;49.450927;8.753492;50.0;;;;;;Interpoliert (15m);348.4;-8.14;asphalt;primary_link;
Routenpunkt (Way);T;Unbekannt;49.450885;8.753644;50.0;;;;;;Original OSM;346.7;-13.34;asphalt;primary_link;
Routenpunkt (Way);T;;49.450856;8.75377;50.0;;;;;;Interpoliert (15m);345.5;-13.02;asphalt;primary_link;
Routenpunkt (Way);T;Unbekannt;49.450827;8.753896;50.0;;;;;;Interpoliert;344.3;-16.21;asphalt;primary_link;
Routenpunkt (Way);T;Unbekannt;49.450796;8.754028;50.0;;;;;;Interpoliert;343.1;-19.4;asphalt;primary_link;
Routenpunkt (Way);T;;49.450757;8.754146;50.0;;;;;;Interpoliert (15m);340.2;-23.6;asphalt;primary_link;
Routenpunkt (Way);T;Unbekannt;49.450717;8.754265;50.0;;;;;;Original OSM;337.3;-26.54;asphalt;primary_link;
Haltestelle;W;Ziegelhausen, Heidebuckelweg;49.450665;8.754354;50.0;07:57:00;07:57:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446.0;Original GTFS (Snap-Distanz 7m) | Auf Route gesnappt (7m);334.4;-23.24;asphalt;primary_link;
Routenpunkt (Way);T;;49.450571;8.754383;50.0;;;;;;Interpoliert (15m);331.5;-16.33;asphalt;primary_link;
Routenpunkt (Way);T;Unbekannt;49.450476;8.754412;50.0;;;;;;Original OSM;332.0;-11.87;asphalt;primary_link;
Routenpunkt (Way);T;;49.450377;8.754372;50.0;;;;;;Interpoliert (15m);332.5;-8.35;asphalt;primary_link;
Routenpunkt (Way);T;;49.450278;8.754333;50.0;;;;;;Interpoliert (15m);331.6;-6.09;asphalt;primary_link;
Routenpunkt (Way);T;;49.450179;8.754294;50.0;;;;;;Interpoliert (15m);329.8;-11.82;asphalt;primary_link;
Routenpunkt (Way);T;Wilhelmsfelder Straße;49.45008;8.754255;50.0;;;;;;Original OSM;328.0;-17.49;asphalt;primary_link;
Routenpunkt (Way);T;;49.450018;8.754214;50.0;;;;;;Interpoliert (15m);326.2;-19.12;asphalt;primary_link;
Routenpunkt (Way);T;Wilhelmsfelder Straße;49.449955;8.754173;50.0;;;;;;Original OSM;324.4;-19.17;asphalt;primary_link;
Routenpunkt (Way);T;;49.449857;8.754136;50.0;;;;;;Interpoliert (15m);322.6;-18.8;asphalt;primary_link;
Routenpunkt (Way);T;Heidebuckelweg;49.449759;8.7541;50.0;;;;;;Original OSM;320.8;-17.42;asphalt;primary_link;
Routenpunkt (Way);T;;49.449653;8.754028;50.0;;;;;;Interpoliert (15m);319.0;-16.04;asphalt;primary_link;
Routenpunkt (Way);T;;49.449547;8.753956;50.0;;;;;;Interpoliert (15m);316.8;-14.07;asphalt;primary_link;
Routenpunkt (Way);T;Wilhelmsfelder Straße;49.449441;8.753885;50.0;;;;;;Original OSM;314.6;-11.48;asphalt;primary_link;
Routenpunkt (Way);T;;49.449331;8.75383;50.0;;;;;;Interpoliert (15m);313.8;-9.38;asphalt;primary_link;
Routenpunkt (Way);T;Wilhelmsfelder Straße;49.449221;8.753775;50.0;;;;;;Interpoliert;313.4;-6.55;asphalt;primary_link;
Routenpunkt (Way);T;Wilhelmsfelder Straße;49.44912;8.753731;50.0;;;;;;Original OSM;313.0;-3.73;asphalt;primary_link;
Routenpunkt (Way);T;Wilhelmsfelder Straße;49.449003;8.753675;50.0;;;;;;Interpoliert;312.6;-3.81;asphalt;primary_link;
