Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details;Altitude (m);Roadgrade (%);Surface;Highway_Type;OSM_Name
Routenpunkt (Way);T;Unbekannt;49.463002;8.763178;50.0;;;;;;Interpoliert;377.0;0.98;;;
Haltestelle;W;Wilhelmsfeld, Autohalle;49.463002;8.763178;50.0;05:00:00;05:00:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446.0;Original GTFS (Snap-Distanz 45m) | Auf Route gesnappt (25m);377.5;1.31;;;
Routenpunkt (Way);T;Unbekannt;49.46311;8.763164;50.0;;;;;;Interpoliert;377.86;1.41;;;
Routenpunkt (Way);T;;49.463213;8.763187;50.0;;;;;;Interpoliert (15m);378.12;-1.07;;;
Routenpunkt (Way);T;;49.463316;8.763211;50.0;;;;;;Interpoliert (15m);378.33;-3.23;;;
Routenpunkt (Way);T;Unbekannt;49.463419;8.763234;50.0;;;;;;Interpoliert;376.9;-5.98;;;
Routenpunkt (Way);T;;49.463525;8.76327;50.0;;;;;;Interpoliert (15m);375.6;-7.83;;;
Routenpunkt (Way);T;Johann-Wilhelm-Straße;49.46363;8.763305;50.0;;;;;;Interpoliert;374.3;-9.87;;;
Routenpunkt (Way);T;Johann-Wilhelm-Straße;49.46376;8.763328;50.0;;;;;;Original OSM;373.3;-9.07;;;
Routenpunkt (Way);T;Johann-Wilhelm-Straße;49.463866;8.763346;50.0;;;;;;Interpoliert;372.3;-9.11;;;
Routenpunkt (Way);T;Johann-Wilhelm-Straße;49.463972;8.763364;50.0;;;;;;Original OSM;371.3;-9.4;;;
Routenpunkt (Way);T;Johann-Wilhelm-Straße;49.464078;8.763387;50.0;;;;;;Original OSM;370.0;-9.9;;;
Routenpunkt (Way);T;Johann-Wilhelm-Straße;49.46417;8.763422;50.0;;;;;;Original OSM;368.7;-10.16;;;
Routenpunkt (Way);T;Johann-Wilhelm-Straße;49.46429;8.763472;50.0;;;;;;Original OSM;367.4;-8.04;;;
Routenpunkt (Way);T;Johann-Wilhelm-Straße;49.464401;8.763543;50.0;;;;;;Interpoliert;366.1;-4.94;;;
Routenpunkt (Way);T;Johann-Wilhelm-Straße;49.464513;8.763613;50.0;;;;;;Interpoliert;366.4;-1.66;;;
Routenpunkt (Way);T;Johann-Wilhelm-Straße;49.464624;8.763684;50.0;;;;;;Original OSM;367.0;0.68;;;
