Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details;Altitude (m);Roadgrade (%);Surface;Highway_Type;OSM_Name
Routenpunkt (Way);T;Weinheimer Straße;49.485759;8.796784;30.0;;;;;;Original OSM;256.0;0.0;;;
Haltestelle;W;Heiligkreuzsteinach, Schule;49.485759;8.796784;30.0;20:15:00;20:15:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446.0;Original GTFS (Snap-Distanz 107m) | Auf Route gesnappt (87m);256.0;0.0;;;
Routenpunkt (Way);T;;49.485666;8.796855;30.0;;;;;;Interpoliert (15m);256.0;0.0;;;
Routenpunkt (Way);T;;49.485574;8.796927;30.0;;;;;;Interpoliert (15m);256.0;-1.39;;;
Routenpunkt (Way);T;;49.485481;8.796998;30.0;;;;;;Interpoliert (15m);256.0;-2.62;;;
Routenpunkt (Way);T;Weinheimer Straße;49.485388;8.79707;30.0;;;;;;Original OSM;255.2;-3.85;;;
Routenpunkt (Way);T;;49.485273;8.797036;30.0;;;;;;Interpoliert (15m);254.4;-5.08;;;
Routenpunkt (Way);T;;49.485159;8.797002;30.0;;;;;;Interpoliert (15m);253.6;-6.32;;;
Routenpunkt (Way);T;;49.485044;8.796968;30.0;;;;;;Interpoliert (15m);252.8;-6.3;;;
Routenpunkt (Way);T;Weinheimer Straße;49.48493;8.796933;30.0;;;;;;Original OSM;252.0;-7.43;;;
Haltestelle;W;Heiligkreuzsteinach, Marktpl.;49.484834;8.796867;30.0;20:16:00;20:16:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446.0;Original GTFS (Snap-Distanz 5m) | Auf Route gesnappt (5m);251.2;-7.64;;;
Routenpunkt (Way);T;Weinheimer Straße;49.484777;8.796835;30.0;;;;;;Original OSM;250.4;-7.67;;;
Routenpunkt (Way);T;;49.484677;8.796826;30.0;;;;;;Interpoliert (15m);249.6;-7.54;;;
Routenpunkt (Way);T;Schönauer Straße;49.484577;8.796818;30.0;;;;;;Original OSM;248.9;-6.01;;;
Routenpunkt (Way);T;;49.484469;8.796871;30.0;;;;;;Interpoliert (15m);248.2;-3.49;;;
Routenpunkt (Way);T;;49.48436;8.796923;30.0;;;;;;Interpoliert (15m);248.3;-1.89;;;
Routenpunkt (Way);T;;49.484252;8.796976;30.0;;;;;;Interpoliert (15m);248.4;-0.47;;;
Routenpunkt (Way);T;;49.484144;8.797029;30.0;;;;;;Interpoliert (15m);248.5;0.79;;;
Routenpunkt (Way);T;Schönauer Straße;49.484035;8.797081;30.0;;;;;;Original OSM;248.6;1.4;;;
Routenpunkt (Way);T;;49.483927;8.797012;30.0;;;;;;Interpoliert (15m);248.7;1.24;;;
Routenpunkt (Way);T;;49.483819;8.796944;30.0;;;;;;Interpoliert (15m);249.2;1.08;;;
Routenpunkt (Way);T;;49.483712;8.796875;30.0;;;;;;Interpoliert (15m);249.2;0.77;;;
Routenpunkt (Way);T;;49.483604;8.796806;30.0;;;;;;Interpoliert (15m);249.2;0.43;;;
Routenpunkt (Way);T;Schönauer Straße;49.483496;8.796737;30.0;;;;;;Interpoliert;249.1;-0.48;;;
Routenpunkt (Way);T;Schönauer Straße;49.48342;8.796649;30.0;;;;;;Interpoliert;249.0;-0.62;;;
Routenpunkt (Way);T;;49.48332;8.796519;30.0;;;;;;Interpoliert (15m);248.9;0.07;;;
Routenpunkt (Way);T;;49.48322;8.79639;30.0;;;;;;Interpoliert (15m);248.8;0.91;;;
Routenpunkt (Way);T;;49.483121;8.79626;30.0;;;;;;Interpoliert (15m);249.3;1.84;;;
Routenpunkt (Way);T;Schönauer Straße;49.483021;8.796131;30.0;;;;;;Original OSM;249.8;0.21;;;
Routenpunkt (Way);T;;49.48292;8.796026;30.0;;;;;;Interpoliert (15m);250.3;-0.68;;;
Routenpunkt (Way);T;;49.482819;8.79592;30.0;;;;;;Interpoliert (15m);249.1;-3.15;;;
Routenpunkt (Way);T;Schönauer Straße;49.482717;8.795815;30.0;;;;;;Original OSM;248.4;-5.62;;;
Routenpunkt (Way);T;;49.48265;8.795779;30.0;;;;;;Interpoliert (15m);247.7;-7.74;;;
Routenpunkt (Way);T;Schönauer Straße;49.482583;8.795744;30.0;;;;;;Original OSM;247.0;-7.35;;;
Routenpunkt (Way);T;;49.482494;8.795714;30.0;;;;;;Interpoliert (15m);246.3;-7.7;;;
Routenpunkt (Way);T;;49.482405;8.795684;30.0;;;;;;Interpoliert (15m);245.6;-8.19;;;
Routenpunkt (Way);T;Schönauer Straße;49.482316;8.795654;30.0;;;;;;Original OSM;244.9;-9.02;;;
Routenpunkt (Way);T;;49.482213;8.795658;30.0;;;;;;Interpoliert (15m);243.6;-10.25;;;
Routenpunkt (Way);T;;49.48211;8.795662;30.0;;;;;;Interpoliert (15m);242.1;-9.18;;;
Routenpunkt (Way);T;Schönauer Straße;49.482007;8.795666;30.0;;;;;;Original OSM;240.6;-8.1;;;
Routenpunkt (Way);T;;49.481891;8.795675;30.0;;;;;;Interpoliert (15m);240.4;-6.15;;;
Routenpunkt (Way);T;;49.481775;8.795684;30.0;;;;;;Interpoliert (15m);240.2;-3.83;;;
Routenpunkt (Way);T;Unbekannt;49.481659;8.795693;50.0;;;;;;Original OSM;240.0;-1.52;;;
Routenpunkt (Way);T;;49.481548;8.795614;50.0;;;;;;Interpoliert (15m);239.8;-1.5;;;
Routenpunkt (Way);T;;49.481436;8.795535;50.0;;;;;;Interpoliert (15m);239.6;-0.72;;;
Routenpunkt (Way);T;Unbekannt;49.481325;8.795456;50.0;;;;;;Interpoliert;239.4;0.07;;;
Routenpunkt (Way);T;Unbekannt;49.481232;8.795352;50.0;;;;;;Interpoliert;239.7;0.05;;;
Routenpunkt (Way);T;Unbekannt;49.48114;8.795248;50.0;;;;;;Original OSM;240.0;0.06;;;
Routenpunkt (Way);T;Unbekannt;49.481035;8.795168;50.0;;;;;;Original OSM;239.8;0.04;;;
Routenpunkt (Way);T;Unbekannt;49.480917;8.795103;50.0;;;;;;Original OSM;239.6;-0.75;;;
Routenpunkt (Way);T;Unbekannt;49.480806;8.795058;50.0;;;;;;Interpoliert;239.4;-1.53;;;
Routenpunkt (Way);T;Unbekannt;49.480695;8.795014;50.0;;;;;;Interpoliert;239.2;-1.56;;;
Routenpunkt (Way);T;Unbekannt;49.480583;8.79497;50.0;;;;;;Original OSM;239.0;-1.45;;;
Routenpunkt (Way);T;Unbekannt;49.480478;8.794943;50.0;;;;;;Original OSM;238.8;-1.32;;;
Routenpunkt (Way);T;Unbekannt;49.480378;8.794915;100.0;;;;;;Interpoliert;238.7;-2.06;;;
Routenpunkt (Way);T;Unbekannt;49.480277;8.794887;100.0;;;;;;Interpoliert;238.6;-2.66;;;
Routenpunkt (Way);T;Unbekannt;49.480177;8.794858;100.0;;;;;;Original OSM;238.0;-2.17;;;
Routenpunkt (Way);T;Unbekannt;49.480059;8.794837;100.0;;;;;;Interpoliert;237.4;-1.81;;;
Routenpunkt (Way);T;Unbekannt;49.479942;8.794815;100.0;;;;;;Interpoliert;237.5;-1.45;;;
Routenpunkt (Way);T;;49.479844;8.7948;100.0;;;;;;Interpoliert (15m);237.6;-0.23;;;
Routenpunkt (Way);T;Unbekannt;49.479746;8.794784;100.0;;;;;;Original OSM;237.7;0.85;;;
Routenpunkt (Way);T;;49.479638;8.794776;100.0;;;;;;Interpoliert (15m);237.8;0.83;;;
Routenpunkt (Way);T;Unbekannt;49.47953;8.794767;100.0;;;;;;Interpoliert;237.9;0.65;;;
Routenpunkt (Way);T;Unbekannt;49.479396;8.794758;100.0;;;;;;Original OSM;238.0;0.47;;;
Routenpunkt (Way);T;Unbekannt;49.479282;8.794766;100.0;;;;;;Interpoliert;238.0;0.3;;;
Routenpunkt (Way);T;Unbekannt;49.479168;8.794775;100.0;;;;;;Original OSM;238.0;2.07;;;
Routenpunkt (Way);T;Unbekannt;49.479076;8.794795;100.0;;;;;;Original OSM;238.0;3.88;;;
Routenpunkt (Way);T;;49.478958;8.794832;100.0;;;;;;Interpoliert (15m);239.3;4.84;;;
Routenpunkt (Way);T;Unbekannt;49.478839;8.794868;100.0;;;;;;Original OSM;240.6;5.8;;;
Routenpunkt (Way);T;;49.478712;8.794917;100.0;;;;;;Interpoliert (15m);241.3;6.79;;;
Routenpunkt (Way);T;Unbekannt;49.478586;8.794966;100.0;;;;;;Interpoliert;242.0;5.85;;;
Routenpunkt (Way);T;Unbekannt;49.478464;8.79502;100.0;;;;;;Interpoliert;242.7;4.9;;;
Routenpunkt (Way);T;Unbekannt;49.478342;8.795075;100.0;;;;;;Interpoliert;243.4;5.66;;;
Routenpunkt (Way);T;Unbekannt;49.47822;8.795129;100.0;;;;;;Interpoliert;244.1;6.42;;;
Routenpunkt (Way);T;;49.478149;8.79516;100.0;;;;;;Interpoliert (15m);244.8;6.51;;;
Routenpunkt (Way);T;Unbekannt;49.478079;8.795192;100.0;;;;;;Original OSM;245.5;3.97;;;
