Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details;Altitude (m);Roadgrade (%);Surface;Highway_Type;OSM_Name
Haltestelle;W;Heidelberg, Hauptbahnhof;49.404696;8.676541;50.0;13:39:00;13:39:00;Kein Umlauf;Unbekannt;133.0;Original GTFS (Snap-Distanz 21m) | Auf Route gesnappt (1m);120.8;0.14;;;
Routenpunkt (Way);T;;49.404654;8.676711;50.0;;;;;;Interpoliert (15m);121.0;-0.09;;;
Routenpunkt (Way);T;;49.404612;8.676881;50.0;;;;;;Interpoliert (15m);120.86;-0.2;;;
Routenpunkt (Way);T;;49.40457;8.677051;50.0;;;;;;Interpoliert (15m);120.75;-0.29;;;
Routenpunkt (Way);T;Unbekannt;49.404527;8.677221;50.0;;;;;;Original OSM;120.67;-0.32;;;
Routenpunkt (Way);T;;49.404507;8.67742;50.0;;;;;;Interpoliert (15m);120.6;-0.65;;;
Routenpunkt (Way);T;;49.404486;8.67762;50.0;;;;;;Interpoliert (15m);120.8;-1.04;;;
Routenpunkt (Way);T;;49.404466;8.677819;50.0;;;;;;Interpoliert (15m);120.4;-1.46;;;
Routenpunkt (Way);T;;49.404445;8.678019;50.0;;;;;;Interpoliert (15m);120.0;-1.92;;;
Routenpunkt (Way);T;;49.404425;8.678218;50.0;;;;;;Interpoliert (15m);119.6;-3.02;;;
Routenpunkt (Way);T;Unbekannt;49.404404;8.678417;50.0;;;;;;Original OSM;119.2;-3.03;;;
Routenpunkt (Way);T;Unbekannt;49.404423;8.678614;50.0;;;;;;Interpoliert;118.6;-3.16;;;
Routenpunkt (Way);T;Unbekannt;49.404442;8.678812;50.0;;;;;;Original OSM;118.2;-3.3;;;
Routenpunkt (Way);T;Unbekannt;49.404465;8.67897;50.0;;;;;;Interpoliert;117.8;-3.05;;;
Routenpunkt (Way);T;Unbekannt;49.404488;8.679128;50.0;;;;;;Original OSM;117.4;-2.21;;;
