Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details;Altitude (m);Roadgrade (%);Surface;Highway_Type;OSM_Name
Routenpunkt (Way);T;Wilhelmsfelder Straße;49.449816;8.75415;50.0;;;;;;Original OSM;319.4;15.24;;;
Haltestelle;W;Ziegelhausen, Heidebuckelweg;49.449816;8.75415;50.0;25:34:00;25:34:00;Kein Umlauf;Fr,Sa;435.0;Original GTFS (Snap-Distanz 23m) | Auf Route gesnappt (3m);321.67;13.76;;;
Routenpunkt (Way);T;Wilhelmsfelder Straße;49.449843;8.754123;50.0;;;;;;Original OSM;323.29;13.52;;;
Routenpunkt (Way);T;Heidebuckelweg;49.449955;8.754173;50.0;;;;;;Original OSM;324.5;15.54;;;
Routenpunkt (Way);T;;49.450018;8.754214;50.0;;;;;;Interpoliert (15m);325.44;18.35;;;
Routenpunkt (Way);T;Wilhelmsfelder Straße;49.45008;8.754255;50.0;;;;;;Original OSM;326.2;11.24;;;
Routenpunkt (Way);T;;49.450193;8.754285;50.0;;;;;;Interpoliert (15m);328.0;11.41;;;
Routenpunkt (Way);T;;49.450306;8.754316;50.0;;;;;;Interpoliert (15m);329.3;10.3;;;
Routenpunkt (Way);T;;49.45042;8.754346;50.0;;;;;;Interpoliert (15m);330.6;12.79;;;
Routenpunkt (Way);T;Wilhelmsfelder Straße;49.450533;8.754377;50.0;;;;;;Original OSM;331.5;14.48;;;
Routenpunkt (Way);T;;49.450621;8.754261;50.0;;;;;;Interpoliert (15m);334.4;16.95;;;
Routenpunkt (Way);T;;49.450709;8.754145;50.0;;;;;;Interpoliert (15m);337.3;20.62;;;
Routenpunkt (Way);T;Unbekannt;49.450796;8.754028;50.0;;;;;;Interpoliert;340.2;21.7;;;
Routenpunkt (Way);T;Unbekannt;49.450827;8.753896;50.0;;;;;;Interpoliert;343.1;19.68;;;
Routenpunkt (Way);T;;49.450856;8.75377;50.0;;;;;;Interpoliert (15m);344.3;17.18;;;
Routenpunkt (Way);T;Unbekannt;49.450885;8.753644;50.0;;;;;;Original OSM;345.5;15.53;;;
Routenpunkt (Way);T;;49.450927;8.753492;50.0;;;;;;Interpoliert (15m);346.7;12.5;;;
Routenpunkt (Way);T;Unbekannt;49.450969;8.75334;50.0;;;;;;Original OSM;348.4;12.74;;;
Routenpunkt (Way);T;Unbekannt;49.451031;8.753193;50.0;;;;;;Original OSM;350.1;6.11;;;
Routenpunkt (Way);T;Unbekannt;49.451102;8.753059;50.0;;;;;;Original OSM;351.8;-0.04;;;
Routenpunkt (Way);T;;49.451155;8.752979;50.0;;;;;;Interpoliert (15m);350.1;-2.89;;;
Routenpunkt (Way);T;Unbekannt;49.451208;8.7529;50.0;;;;;;Original OSM;348.4;-5.57;;;
Routenpunkt (Way);T;;49.451271;8.752825;50.0;;;;;;Interpoliert (15m);348.4;-5.96;;;
Routenpunkt (Way);T;Unbekannt;49.451334;8.75275;50.0;;;;;;Original OSM;348.4;0.52;;;
Routenpunkt (Way);T;Unbekannt;49.451448;8.752649;50.0;;;;;;Interpoliert;350.1;7.13;;;
Routenpunkt (Way);T;Unbekannt;49.451561;8.752548;50.0;;;;;;Original OSM;351.8;9.59;;;
Routenpunkt (Way);T;Unbekannt;49.451669;8.752454;50.0;;;;;;Interpoliert;353.5;12.06;;;
Routenpunkt (Way);T;Unbekannt;49.451777;8.75236;50.0;;;;;;Interpoliert;355.2;12.18;;;
Routenpunkt (Way);T;Unbekannt;49.451885;8.752266;50.0;;;;;;Interpoliert;356.9;12.31;;;
Routenpunkt (Way);T;Unbekannt;49.451993;8.752172;50.0;;;;;;Interpoliert;358.6;14.78;;;
Routenpunkt (Way);T;Unbekannt;49.452101;8.752078;50.0;;;;;;Interpoliert;360.3;14.78;;;
Routenpunkt (Way);T;Unbekannt;49.452209;8.751984;50.0;;;;;;Interpoliert;363.7;14.78;;;
Routenpunkt (Way);T;Unbekannt;49.452317;8.75189;50.0;;;;;;Interpoliert;365.4;15.65;;;
Routenpunkt (Way);T;Unbekannt;49.452425;8.751796;50.0;;;;;;Original OSM;367.1;16.53;;;
Routenpunkt (Way);T;Unbekannt;49.452499;8.751712;50.0;;;;;;Interpoliert;368.8;14.66;;;
Routenpunkt (Way);T;Unbekannt;49.452573;8.751628;50.0;;;;;;Original OSM;370.5;14.5;;;
Routenpunkt (Way);T;Unbekannt;49.452642;8.751518;50.0;;;;;;Original OSM;372.2;16.18;;;
Routenpunkt (Way);T;Unbekannt;49.452723;8.751355;50.0;;;;;;Original OSM;373.9;16.98;;;
Routenpunkt (Way);T;;49.452762;8.751259;50.0;;;;;;Interpoliert (15m);375.6;16.46;;;
Routenpunkt (Way);T;Unbekannt;49.452801;8.751162;50.0;;;;;;Interpoliert;377.3;13.4;;;
Routenpunkt (Way);T;;49.452905;8.751115;50.0;;;;;;Interpoliert (15m);379.0;11.43;;;
Routenpunkt (Way);T;;49.453009;8.751068;50.0;;;;;;Interpoliert (15m);379.0;7.59;;;
Routenpunkt (Way);T;Unbekannt;49.453113;8.751021;50.0;;;;;;Original OSM;379.2;3.75;;;
Routenpunkt (Way);T;;49.453125;8.751206;50.0;;;;;;Interpoliert (15m);379.4;1.22;;;
