Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details;Altitude (m);Roadgrade (%);Surface;Highway_Type;OSM_Name
Routenpunkt (Way);T;Drei-Eichen-Weg;49.389528;8.735256;100.0;;;;;;Original OSM;498.4;1.04;;;
Haltestelle;W;Heidelberg, Kohlhof-Fachklinik;49.389528;8.735256;100.0;20:35:00;20:35:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446.0;Original GTFS (Snap-Distanz 22m) | Auf Route gesnappt (2m);499.0;1.37;;;
Routenpunkt (Way);T;;49.389451;8.735108;100.0;;;;;;Interpoliert (15m);499.43;1.59;;;
Routenpunkt (Way);T;Drei-Eichen-Weg;49.389373;8.734961;100.0;;;;;;Original OSM;499.75;0.07;;;
Routenpunkt (Way);T;;49.389336;8.734766;100.0;;;;;;Interpoliert (15m);500.11;-0.88;;;
Routenpunkt (Way);T;;49.389299;8.734571;100.0;;;;;;Interpoliert (15m);499.0;-2.46;;;
Routenpunkt (Way);T;;49.389262;8.734376;100.0;;;;;;Interpoliert (15m);498.3;-3.88;;;
Routenpunkt (Way);T;;49.389225;8.734182;100.0;;;;;;Interpoliert (15m);497.6;-6.14;;;
Routenpunkt (Way);T;;49.389188;8.733987;100.0;;;;;;Interpoliert (15m);496.9;-6.4;;;
Routenpunkt (Way);T;;49.389151;8.733792;100.0;;;;;;Interpoliert (15m);495.6;-7.21;;;
Routenpunkt (Way);T;;49.389114;8.733597;100.0;;;;;;Interpoliert (15m);494.3;-8.44;;;
Routenpunkt (Way);T;;49.389077;8.733402;100.0;;;;;;Interpoliert (15m);493.0;-9.66;;;
Routenpunkt (Way);T;;49.38904;8.733207;100.0;;;;;;Interpoliert (15m);491.4;-10.21;;;
Routenpunkt (Way);T;;49.389002;8.733012;100.0;;;;;;Interpoliert (15m);489.8;-8.85;;;
Routenpunkt (Way);T;;49.388965;8.732817;100.0;;;;;;Interpoliert (15m);488.1;-7.49;;;
Routenpunkt (Way);T;;49.388928;8.732623;100.0;;;;;;Interpoliert (15m);487.8;-5.45;;;
Routenpunkt (Way);T;Drei-Eichen-Weg;49.388891;8.732428;100.0;;;;;;Original OSM;487.5;-3.42;;;
Routenpunkt (Way);T;;49.388845;8.732252;100.0;;;;;;Interpoliert (15m);487.4;-1.25;;;
Routenpunkt (Way);T;;49.388799;8.732076;100.0;;;;;;Interpoliert (15m);487.3;-0.99;;;
Routenpunkt (Way);T;;49.388753;8.731901;100.0;;;;;;Interpoliert (15m);487.2;-0.73;;;
Routenpunkt (Way);T;;49.388707;8.731725;100.0;;;;;;Interpoliert (15m);487.1;-0.29;;;
Routenpunkt (Way);T;;49.38866;8.73155;100.0;;;;;;Interpoliert (15m);487.0;-0.58;;;
Routenpunkt (Way);T;;49.388614;8.731374;100.0;;;;;;Interpoliert (15m);487.2;-1.12;;;
Routenpunkt (Way);T;Drei-Eichen-Weg;49.388568;8.731198;100.0;;;;;;Original OSM;486.9;-1.65;;;
Routenpunkt (Way);T;;49.388491;8.731169;100.0;;;;;;Interpoliert (15m);486.6;-2.75;;;
Routenpunkt (Way);T;Drei-Eichen-Weg;49.388414;8.73114;100.0;;;;;;Original OSM;486.3;-4.84;;;
Haltestelle;W;Heidelberg, Alter Kohlhof;49.388372;8.731125;100.0;20:36:00;20:36:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446.0;Original GTFS (Snap-Distanz 1m) | Auf Route gesnappt (1m);486.0;-5.16;;;
Routenpunkt (Way);T;Drei-Eichen-Weg;49.388323;8.731107;100.0;;;;;;Original OSM;485.5;-5.24;;;
Routenpunkt (Way);T;;49.388206;8.731075;100.0;;;;;;Interpoliert (15m);485.0;-5.32;;;
Routenpunkt (Way);T;;49.388089;8.731044;100.0;;;;;;Interpoliert (15m);484.5;-4.07;;;
Routenpunkt (Way);T;Drei-Eichen-Weg;49.387971;8.731013;100.0;;;;;;Original OSM;484.0;-2.27;;;
Routenpunkt (Way);T;;49.38786;8.731013;100.0;;;;;;Interpoliert (15m);484.0;-0.51;;;
Routenpunkt (Way);T;Drei-Eichen-Weg;49.387749;8.731012;100.0;;;;;;Interpoliert;484.0;1.24;;;
Routenpunkt (Way);T;Drei-Eichen-Weg;49.387659;8.731018;100.0;;;;;;Interpoliert;484.5;2.73;;;
Routenpunkt (Way);T;Drei-Eichen-Weg;49.387569;8.731024;100.0;;;;;;Original OSM;485.0;3.47;;;
Routenpunkt (Way);T;Drei-Eichen-Weg;49.387448;8.731051;100.0;;;;;;Interpoliert;485.5;4.2;;;
Routenpunkt (Way);T;Drei-Eichen-Weg;49.387327;8.731078;100.0;;;;;;Interpoliert;486.0;4.72;;;
