Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details;Altitude (m);Roadgrade (%);Surface;Highway_Type;OSM_Name
Routenpunkt (Way);T;Johannes-Hoops-Weg;49.395527;8.709341;30.0;;;;;;Original OSM;297.6;-1.63;;;
Haltestelle;W;Heidelberg, Speyererhof;49.395527;8.709341;30.0;07:01:00;07:01:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446.0;Original GTFS (Snap-Distanz 20m) | Auf Route gesnappt (0m);297.0;-2.14;;;
Routenpunkt (Way);T;;49.39558;8.709251;30.0;;;;;;Interpoliert (15m);296.57;-2.07;;;
Routenpunkt (Way);T;Johannes-Hoops-Weg;49.395632;8.709161;30.0;;;;;;Original OSM;296.25;-2.35;;;
Routenpunkt (Way);T;;49.395507;8.709124;30.0;;;;;;Interpoliert (15m);296.0;-3.19;;;
Routenpunkt (Way);T;;49.395381;8.709087;30.0;;;;;;Interpoliert (15m);295.8;-3.06;;;
Routenpunkt (Way);T;;49.395256;8.70905;30.0;;;;;;Interpoliert (15m);295.2;-3.17;;;
Routenpunkt (Way);T;;49.39513;8.709013;30.0;;;;;;Interpoliert (15m);294.6;-2.81;;;
Routenpunkt (Way);T;;49.395005;8.708976;30.0;;;;;;Interpoliert (15m);294.0;-2.53;;;
Routenpunkt (Way);T;;49.394879;8.708938;30.0;;;;;;Interpoliert (15m);294.0;-1.27;;;
Routenpunkt (Way);T;;49.394754;8.708901;30.0;;;;;;Interpoliert (15m);294.0;-0.0;;;
Routenpunkt (Way);T;;49.394628;8.708864;30.0;;;;;;Interpoliert (15m);294.3;1.27;;;
Routenpunkt (Way);T;;49.394503;8.708827;30.0;;;;;;Interpoliert (15m);294.6;1.69;;;
Routenpunkt (Way);T;;49.394377;8.70879;30.0;;;;;;Interpoliert (15m);294.9;2.11;;;
Routenpunkt (Way);T;;49.394252;8.708753;30.0;;;;;;Interpoliert (15m);295.2;2.11;;;
Routenpunkt (Way);T;;49.394126;8.708716;30.0;;;;;;Interpoliert (15m);295.5;2.16;;;
Routenpunkt (Way);T;Speyererhofweg;49.394001;8.708679;50.0;;;;;;Original OSM;295.8;2.33;;;
Routenpunkt (Way);T;Speyererhofweg;49.393891;8.708633;50.0;;;;;;Interpoliert;296.1;1.32;;;
Routenpunkt (Way);T;;49.393803;8.708596;50.0;;;;;;Interpoliert (15m);296.4;0.12;;;
