Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details;Altitude (m);Roadgrade (%);Surface;Highway_Type;OSM_Name
Haltestelle;W;Heidelberg, Bismarckplatz;49.409974;8.692914;50.0;11:30:00;11:30:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446.0;Original GTFS (Snap-Distanz 22m) | Auf Route gesnappt (2m);120.0;0.0;;;
Routenpunkt (Way);T;Unbekannt;49.409974;8.692914;50.0;;;;;;Original OSM;120.0;0.0;;;
Routenpunkt (Way);T;;49.409901;8.692904;50.0;;;;;;Interpoliert (15m);120.0;0.0;;;
Routenpunkt (Way);T;Unbekannt;49.409828;8.692894;50.0;;;;;;Original OSM;120.0;0.0;;;
Routenpunkt (Way);T;;49.409739;8.69286;50.0;;;;;;Interpoliert (15m);120.0;0.0;;;
Routenpunkt (Way);T;;49.40965;8.692826;50.0;;;;;;Interpoliert (15m);120.0;0.0;;;
Routenpunkt (Way);T;Unbekannt;49.409561;8.692792;50.0;;;;;;Original OSM;120.0;0.47;;;
Routenpunkt (Way);T;;49.409453;8.692736;50.0;;;;;;Interpoliert (15m);120.0;1.2;;;
Ampel;A;Ampel;49.409345;8.69268;50.0;;;;;;Original OSM;120.3;1.82;;;
Routenpunkt (Way);T;Bismarckstraße;49.409282;8.692621;50.0;;;;;;Original OSM;120.6;1.82;;;
Ampel;A;Ampel;49.409206;8.692555;50.0;;;;;;Original OSM;120.9;2.33;;;
Routenpunkt (Way);T;Bismarckstraße;49.409206;8.692555;50.0;;;;;;Original OSM;121.2;2.37;;;
Routenpunkt (Way);T;;49.409108;8.692494;50.0;;;;;;Interpoliert (15m);121.5;2.16;;;
Routenpunkt (Way);T;Bismarckstraße;49.40901;8.692433;50.0;;;;;;Original OSM;121.8;2.07;;;
Routenpunkt (Way);T;;49.408907;8.692421;50.0;;;;;;Interpoliert (15m);122.1;2.67;;;
Ampel;A;Ampel;49.408804;8.69241;50.0;;;;;;Original OSM;122.4;1.69;;;
Routenpunkt (Way);T;Rohrbacher Straße;49.408715;8.69242;50.0;;;;;;Original OSM;122.7;-0.0;;;
Routenpunkt (Way);T;;49.408639;8.692429;50.0;;;;;;Interpoliert (15m);122.5;-1.27;;;
Routenpunkt (Way);T;Rohrbacher Straße;49.408563;8.692437;50.0;;;;;;Original OSM;122.0;-2.98;;;
Ampel;A;Ampel;49.408442;8.692451;50.0;;;;;;Original OSM;121.5;-4.28;;;
Routenpunkt (Way);T;;49.408366;8.69246;50.0;;;;;;Interpoliert (15m);121.0;-4.43;;;
Routenpunkt (Way);T;Rohrbacher Straße;49.40829;8.692468;50.0;;;;;;Original OSM;120.7;-3.88;;;
Routenpunkt (Way);T;;49.408204;8.692478;50.0;;;;;;Interpoliert (15m);120.4;-3.92;;;
Routenpunkt (Way);T;Rohrbacher Straße;49.408117;8.692488;50.0;;;;;;Interpoliert;120.1;-3.52;;;
Routenpunkt (Way);T;;49.408049;8.692496;50.0;;;;;;Interpoliert (15m);119.8;-3.47;;;
Routenpunkt (Way);T;Rohrbacher Straße;49.40798;8.692504;50.0;;;;;;Original OSM;119.5;-2.84;;;
Routenpunkt (Way);T;;49.407898;8.692513;50.0;;;;;;Interpoliert (15m);119.2;-2.22;;;
Routenpunkt (Way);T;Rohrbacher Straße;49.407815;8.692522;50.0;;;;;;Interpoliert;119.2;-1.44;;;
Routenpunkt (Way);T;Rohrbacher Straße;49.407688;8.692537;50.0;;;;;;Interpoliert;119.2;-0.65;;;
Ampel;A;Ampel;49.407561;8.692551;50.0;;;;;;Original OSM;119.2;-0.4;;;
Routenpunkt (Way);T;Rohrbacher Straße;49.407533;8.692553;50.0;;;;;;Original OSM;119.2;-0.69;;;
Routenpunkt (Way);T;Rohrbacher Straße;49.407445;8.692582;50.0;;;;;;Interpoliert;119.0;-1.03;;;
Routenpunkt (Way);T;Rohrbacher Straße;49.407325;8.692623;50.0;;;;;;Original OSM;118.8;-1.37;;;
Routenpunkt (Way);T;;49.407222;8.692663;50.0;;;;;;Interpoliert (15m);118.6;-1.7;;;
Routenpunkt (Way);T;Rohrbacher Straße;49.40712;8.692703;50.0;;;;;;Original OSM;118.4;-1.78;;;
Routenpunkt (Way);T;;49.40701;8.692729;50.0;;;;;;Interpoliert (15m);118.2;-1.74;;;
Routenpunkt (Way);T;Rohrbacher Straße;49.4069;8.692754;50.0;;;;;;Original OSM;117.9;-1.65;;;
Routenpunkt (Way);T;;49.406828;8.692753;50.0;;;;;;Interpoliert (15m);117.8;-1.53;;;
Routenpunkt (Way);T;Rohrbacher Straße;49.406756;8.692751;50.0;;;;;;Interpoliert;117.7;-1.42;;;
Routenpunkt (Way);T;;49.406674;8.692765;50.0;;;;;;Interpoliert (15m);117.6;-1.19;;;
Routenpunkt (Way);T;Rohrbacher Straße;49.406593;8.69278;50.0;;;;;;Original OSM;117.5;-1.19;;;
Routenpunkt (Way);T;;49.406522;8.692786;50.0;;;;;;Interpoliert (15m);117.4;-1.1;;;
Routenpunkt (Way);T;Rohrbacher Straße;49.406451;8.692793;50.0;;;;;;Original OSM;117.3;-1.03;;;
Routenpunkt (Way);T;Rohrbacher Straße;49.406335;8.692779;50.0;;;;;;Interpoliert;117.2;3.09;;;
Ampel;A;Ampel;49.406218;8.692766;50.0;;;;;;Original OSM;117.1;4.13;;;
Routenpunkt (Way);T;Rohrbacher Straße;49.406209;8.692764;50.0;;;;;;Original OSM;117.3;5.16;;;
Routenpunkt (Way);T;;49.406141;8.692747;50.0;;;;;;Interpoliert (15m);117.6;5.74;;;
