Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details;Altitude (m);Roadgrade (%);Surface;Highway_Type;OSM_Name
Routenpunkt (Way);T;Unbekannt;49.641174;8.633798;30.0;;;;;;Original OSM;101.0;0.32;;;
Haltestelle;W;Heppenheim, Bahnhof;49.641174;8.633798;30.0;19:00:00;19:00:00;Kein Umlauf;Sa,So;1318.0;Original GTFS (Snap-Distanz 1m) | Auf Route gesnappt (1m);101.17;0.34;;;
Routenpunkt (Way);T;Unbekannt;49.641247;8.633927;30.0;;;;;;Original OSM;101.29;0.33;;;
Routenpunkt (Way);T;Kalterer Straße;49.641074;8.634095;30.0;;;;;;Original OSM;101.38;0.5;;;
Routenpunkt (Way);T;Kalterer Straße;49.640849;8.634062;30.0;;;;;;Original OSM;101.44;0.99;;;
Routenpunkt (Way);T;Ernst-Schneider-Straße;49.640615;8.634274;30.0;;;;;;Interpoliert;101.7;1.45;;;
Routenpunkt (Way);T;Ernst-Schneider-Straße;49.640683;8.634408;30.0;;;;;;Interpoliert;102.0;1.93;;;
Routenpunkt (Way);T;Ernst-Schneider-Straße;49.64075;8.634543;30.0;;;;;;Original OSM;102.4;2.55;;;
Routenpunkt (Way);T;Ernst-Schneider-Straße;49.640825;8.634705;30.0;;;;;;Original OSM;102.8;3.06;;;
Routenpunkt (Way);T;Ernst-Schneider-Straße;49.640879;8.634845;30.0;;;;;;Interpoliert;103.2;3.09;;;
Routenpunkt (Way);T;Ernst-Schneider-Straße;49.640934;8.634984;30.0;;;;;;Interpoliert;103.6;3.02;;;
Routenpunkt (Way);T;Ernst-Schneider-Straße;49.640988;8.635124;30.0;;;;;;Original OSM;103.9;3.04;;;
Routenpunkt (Way);T;Ernst-Schneider-Straße;49.641051;8.635287;30.0;;;;;;Interpoliert;104.3;2.95;;;
Routenpunkt (Way);T;Ernst-Schneider-Straße;49.641114;8.63545;30.0;;;;;;Interpoliert;104.7;2.41;;;
Routenpunkt (Way);T;Ernst-Schneider-Straße;49.641177;8.635614;30.0;;;;;;Interpoliert;105.1;2.05;;;
Routenpunkt (Way);T;Ernst-Schneider-Straße;49.64124;8.635777;30.0;;;;;;Interpoliert;105.2;1.46;;;
Routenpunkt (Way);T;Ernst-Schneider-Straße;49.641303;8.63594;30.0;;;;;;Original OSM;105.3;0.88;;;
Routenpunkt (Way);T;Neckarstraße;49.641412;8.635891;30.0;;;;;;Interpoliert;105.3;0.29;;;
Routenpunkt (Way);T;Neckarstraße;49.641521;8.635841;30.0;;;;;;Interpoliert;105.3;0.15;;;
Routenpunkt (Way);T;Neckarstraße;49.641631;8.635791;30.0;;;;;;Interpoliert;105.3;0.0;;;
Routenpunkt (Way);T;Neckarstraße;49.64174;8.635742;30.0;;;;;;Interpoliert;105.3;-0.32;;;
Routenpunkt (Way);T;Neckarstraße;49.641849;8.635692;30.0;;;;;;Interpoliert;105.3;-0.58;;;
Routenpunkt (Way);T;Bahnhofstraße;49.641958;8.635642;30.0;;;;;;Original OSM;105.1;-0.85;;;
Routenpunkt (Way);T;Bahnhofstraße;49.641923;8.635443;30.0;;;;;;Interpoliert;104.9;-0.99;;;
Routenpunkt (Way);T;Bahnhofstraße;49.641887;8.635244;30.0;;;;;;Interpoliert;104.7;-1.39;;;
Routenpunkt (Way);T;Bahnhofstraße;49.641851;8.635045;30.0;;;;;;Interpoliert;104.6;-1.61;;;
Routenpunkt (Way);T;Bahnhofstraße;49.641815;8.634846;30.0;;;;;;Interpoliert;104.3;-1.75;;;
Routenpunkt (Way);T;Bahnhofstraße;49.641779;8.634647;30.0;;;;;;Interpoliert;103.9;-1.88;;;
Routenpunkt (Way);T;Bahnhofstraße;49.641744;8.634448;30.0;;;;;;Interpoliert;103.6;-2.15;;;
Routenpunkt (Way);T;Bahnhofstraße;49.641708;8.634249;30.0;;;;;;Interpoliert;103.3;-2.15;;;
Routenpunkt (Way);T;Bahnhofstraße;49.641672;8.63405;30.0;;;;;;Interpoliert;103.0;-1.99;;;
Routenpunkt (Way);T;Kalterer Straße;49.641636;8.633851;30.0;;;;;;Original OSM;102.7;-1.97;;;
Routenpunkt (Way);T;Kalterer Straße;49.641727;8.633812;30.0;;;;;;Interpoliert;102.5;-1.87;;;
Routenpunkt (Way);T;Kalterer Straße;49.641818;8.633773;30.0;;;;;;Original OSM;102.3;-1.78;;;
Routenpunkt (Way);T;Kalterer Straße;49.641932;8.633725;30.0;;;;;;Interpoliert;102.1;-1.68;;;
Routenpunkt (Way);T;Kalterer Straße;49.642045;8.633676;30.0;;;;;;Interpoliert;101.9;-1.49;;;
Routenpunkt (Way);T;Kalterer Straße;49.642158;8.633628;30.0;;;;;;Original OSM;101.7;-1.1;;;
Routenpunkt (Way);T;Kalterer Straße;49.642251;8.633587;30.0;;;;;;Original OSM;101.6;-0.8;;;
Routenpunkt (Way);T;Kalterer Straße;49.642372;8.633532;30.0;;;;;;Interpoliert;101.6;-0.49;;;
Routenpunkt (Way);T;Kalterer Straße;49.642659;8.633411;30.0;;;;;;Original OSM;101.6;-0.19;;;
Routenpunkt (Way);T;Kalterer Straße;49.642991;8.633268;30.0;;;;;;Interpoliert;101.6;0.13;;;
Routenpunkt (Way);T;Kalterer Straße;49.643165;8.633225;30.0;;;;;;Original OSM;101.6;0.26;;;
Routenpunkt (Way);T;Kettelerstraße;49.643206;8.633437;30.0;;;;;;Original OSM;101.7;0.37;;;
Routenpunkt (Way);T;Kettelerstraße;49.643201;8.633651;30.0;;;;;;Original OSM;101.8;0.47;;;
Routenpunkt (Way);T;Kettelerstraße;49.643255;8.633873;30.0;;;;;;Interpoliert;101.9;0.78;;;
Routenpunkt (Way);T;Kettelerstraße;49.643338;8.634122;30.0;;;;;;Original OSM;102.0;1.14;;;
Routenpunkt (Way);T;Kettelerstraße;49.643473;8.63429;30.0;;;;;;Original OSM;102.3;1.18;;;
Routenpunkt (Way);T;Kettelerstraße;49.643571;8.63437;30.0;;;;;;Interpoliert;102.6;1.36;;;
Routenpunkt (Way);T;Kettelerstraße;49.643669;8.634449;30.0;;;;;;Interpoliert;102.7;1.56;;;
Routenpunkt (Way);T;Kettelerstraße;49.643776;8.634536;30.0;;;;;;Original OSM;102.9;1.58;;;
Routenpunkt (Way);T;Kettelerstraße;49.643883;8.63462;30.0;;;;;;Interpoliert;103.1;1.19;;;
Routenpunkt (Way);T;Kettelerstraße;49.64398;8.634696;30.0;;;;;;Interpoliert;103.3;1.12;;;
Routenpunkt (Way);T;Kettelerstraße;49.644147;8.634828;30.0;;;;;;Original OSM;103.4;1.0;;;
Routenpunkt (Way);T;Kettelerstraße;49.644313;8.634946;30.0;;;;;;Interpoliert;103.5;0.7;;;
Routenpunkt (Way);T;Kettelerstraße;49.644409;8.635009;30.0;;;;;;Interpoliert;103.6;0.37;;;
Routenpunkt (Way);T;Kettelerstraße;49.644506;8.635072;30.0;;;;;;Original OSM;103.6;0.27;;;
Routenpunkt (Way);T;Kettelerstraße;49.644738;8.63521;30.0;;;;;;Interpoliert;103.6;0.17;;;
Routenpunkt (Way);T;Kettelerstraße;49.644854;8.635279;30.0;;;;;;Interpoliert;103.6;-0.14;;;
Routenpunkt (Way);T;Kettelerstraße;49.644971;8.635348;30.0;;;;;;Interpoliert;103.6;-0.29;;;
Routenpunkt (Way);T;Kettelerstraße;49.645087;8.635417;30.0;;;;;;Interpoliert;103.5;-0.43;;;
