Typ;Name;Latitude;Longitude;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Haltestelle;Darmstadt Oberwaldhaus;49.89065;8.696829;08:31:00;08:31:00;Kein Umlauf;So;1372;Stop Seq 0
Haltestelle;Darmstadt Fasanerie;49.88413;8.685279;08:32:00;08:32:00;Kein Umlauf;So;1372;Stop Seq 1
Haltestelle;Darmstadt Regerweg;49.881638;8.677587;08:34:00;08:34:00;Kein Umlauf;So;1372;Stop Seq 2
Haltestelle;Darmstadt Spessartring;49.879395;8.670701;08:36:00;08:36:00;Kein Umlauf;So;1372;Stop Seq 3
Haltestelle;Darmstadt Mathildenhöhe;49.878677;8.667047;08:37:00;08:37:00;Kein Umlauf;So;1372;Stop Seq 4
Haltestelle;Darmstadt Alice-Hospital;49.87721;8.66337;08:38:00;08:38:00;Kein Umlauf;So;1372;Stop Seq 5
Haltestelle;Darmstadt Pützerstraße;49.87529;8.662563;08:40:00;08:40:00;Kein Umlauf;So;1372;Stop Seq 6
Haltestelle;Darmstadt Schloss;49.872868;8.655235;08:42:00;08:42:00;Kein Umlauf;So;1372;Stop Seq 7
Haltestelle;Darmstadt Luisenplatz;49.872883;8.651256;08:44:00;08:45:00;Kein Umlauf;So;1372;Stop Seq 8
Haltestelle;Darmstadt Rhein-/Neckarstraße;49.871544;8.6447;08:47:00;08:47:00;Kein Umlauf;So;1372;Stop Seq 9
Haltestelle;Darmstadt Berliner Allee;49.87076;8.635733;08:48:00;08:48:00;Kein Umlauf;So;1372;Stop Seq 10
Haltestelle;Darmstadt Hauptbahnhof Ost;49.87194;8.631148;08:51:00;08:51:00;Kein Umlauf;So;1372;Stop Seq 11
Haltestelle;Da. Rodensteinw./A.Schalthaus;49.875496;8.624025;08:53:00;08:53:00;Kein Umlauf;So;1372;Stop Seq 12
Haltestelle;Darmstadt Moldenhauerweg;49.87578;8.61946;08:54:00;08:54:00;Kein Umlauf;So;1372;Stop Seq 13
Haltestelle;Darmstadt Im Harras;49.878616;8.618645;08:56:00;08:56:00;Kein Umlauf;So;1372;Stop Seq 14
Haltestelle;Darmstadt Kölner Straße;49.881435;8.617078;08:57:00;08:57:00;Kein Umlauf;So;1372;Stop Seq 15
Haltestelle;Darmstadt Haasstraße;49.885635;8.620524;08:59:00;08:59:00;Kein Umlauf;So;1372;Stop Seq 16
