Typ;Name;Latitude;Longitude;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Haltestelle;Darmstadt Haasstraße;49.885635;8.620524;06:30:00;06:30:00;Kein Umlauf;So;1372;Stop Seq 0
Haltestelle;Darmstadt Kölner Straße;49.881435;8.617078;06:32:00;06:32:00;Kein Umlauf;So;1372;Stop Seq 1
Haltestelle;Darmstadt Im Harras;49.878616;8.618645;06:33:00;06:33:00;Kein Umlauf;So;1372;Stop Seq 2
Haltestelle;Darmstadt Moldenhauerweg;49.87578;8.61946;06:35:00;06:35:00;Kein Umlauf;So;1372;Stop Seq 3
Haltestelle;Da. Rodensteinw./A.Schalthaus;49.875496;8.624025;06:36:00;06:36:00;Kein Umlauf;So;1372;Stop Seq 4
Haltestelle;Darmstadt Hauptbahnhof Ost;49.87194;8.631148;06:39:00;06:39:00;Kein Umlauf;So;1372;Stop Seq 5
Haltestelle;Darmstadt Berliner Allee;49.87076;8.635733;06:41:00;06:41:00;Kein Umlauf;So;1372;Stop Seq 6
Haltestelle;Darmstadt Rhein-/Neckarstraße;49.871544;8.6447;06:42:00;06:42:00;Kein Umlauf;So;1372;Stop Seq 7
Haltestelle;Darmstadt Luisenplatz;49.872883;8.651256;06:44:00;06:45:00;Kein Umlauf;So;1372;Stop Seq 8
Haltestelle;Darmstadt Schloss;49.872868;8.655235;06:47:00;06:47:00;Kein Umlauf;So;1372;Stop Seq 9
Haltestelle;Darmstadt Pützerstraße;49.87529;8.662563;06:49:00;06:49:00;Kein Umlauf;So;1372;Stop Seq 10
Haltestelle;Darmstadt Alice-Hospital;49.87721;8.66337;06:50:00;06:50:00;Kein Umlauf;So;1372;Stop Seq 11
Haltestelle;Darmstadt Mathildenhöhe;49.878677;8.667047;06:51:00;06:51:00;Kein Umlauf;So;1372;Stop Seq 12
Haltestelle;Darmstadt Spessartring;49.879395;8.670701;06:52:00;06:52:00;Kein Umlauf;So;1372;Stop Seq 13
Haltestelle;Darmstadt Regerweg;49.881638;8.677587;06:53:00;06:53:00;Kein Umlauf;So;1372;Stop Seq 14
Haltestelle;Darmstadt Fasanerie;49.88413;8.685279;06:54:00;06:54:00;Kein Umlauf;So;1372;Stop Seq 15
Haltestelle;Darmstadt Oberwaldhaus;49.89065;8.696829;06:56:00;06:56:00;Kein Umlauf;So;1372;Stop Seq 16
