Typ;Name;Latitude;Longitude;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Haltestelle;Darmstadt Fasanerie;49.88413;8.685279;12:47:00;12:47:00;Kein Umlauf;So;1372;Stop Seq 0
Haltestelle;Darmstadt Regerweg;49.881638;8.677587;12:49:00;12:49:00;Kein Umlauf;So;1372;Stop Seq 1
Haltestelle;Darmstadt Spessartring;49.879395;8.670701;12:51:00;12:51:00;Kein Umlauf;So;1372;Stop Seq 2
Haltestelle;Darmstadt Mathildenhöhe;49.878677;8.667047;12:52:00;12:52:00;Kein Umlauf;So;1372;Stop Seq 3
Haltestelle;Darmstadt Alice-Hospital;49.87721;8.66337;12:53:00;12:53:00;Kein Umlauf;So;1372;Stop Seq 4
Haltestelle;Darmstadt Pützerstraße;49.87529;8.662563;12:55:00;12:55:00;Kein Umlauf;So;1372;Stop Seq 5
Haltestelle;Darmstadt Schloss;49.872868;8.655235;12:57:00;12:57:00;Kein Umlauf;So;1372;Stop Seq 6
Haltestelle;Darmstadt Luisenplatz;49.872883;8.651256;12:59:00;13:00:00;Kein Umlauf;So;1372;Stop Seq 7
Haltestelle;Darmstadt Rhein-/Neckarstraße;49.871544;8.6447;13:02:00;13:02:00;Kein Umlauf;So;1372;Stop Seq 8
Haltestelle;Darmstadt Berliner Allee;49.87076;8.635733;13:03:00;13:03:00;Kein Umlauf;So;1372;Stop Seq 9
Haltestelle;Darmstadt Hauptbahnhof Ost;49.87194;8.631148;13:06:00;13:06:00;Kein Umlauf;So;1372;Stop Seq 10
Haltestelle;Da. Rodensteinw./A.Schalthaus;49.875496;8.624025;13:08:00;13:08:00;Kein Umlauf;So;1372;Stop Seq 11
Haltestelle;Darmstadt Moldenhauerweg;49.87578;8.61946;13:09:00;13:09:00;Kein Umlauf;So;1372;Stop Seq 12
Haltestelle;Darmstadt Im Harras;49.878616;8.618645;13:11:00;13:11:00;Kein Umlauf;So;1372;Stop Seq 13
Haltestelle;Darmstadt Kölner Straße;49.881435;8.617078;13:12:00;13:12:00;Kein Umlauf;So;1372;Stop Seq 14
Haltestelle;Darmstadt Haasstraße;49.885635;8.620524;13:14:00;13:14:00;Kein Umlauf;So;1372;Stop Seq 15
