Typ;Name;Latitude;Longitude;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Haltestelle;Darmstadt Haasstraße;49.885635;8.620524;24:30:00;24:30:00;Kein Umlauf;So;1372;Stop Seq 0
Haltestelle;Darmstadt Kölner Straße;49.881435;8.617078;24:32:00;24:32:00;Kein Umlauf;So;1372;Stop Seq 1
Haltestelle;Darmstadt Im Harras;49.878616;8.618645;24:33:00;24:33:00;Kein Umlauf;So;1372;Stop Seq 2
Haltestelle;Darmstadt Moldenhauerweg;49.87578;8.61946;24:35:00;24:35:00;Kein Umlauf;So;1372;Stop Seq 3
Haltestelle;Da. Rodensteinw./A.Schalthaus;49.875496;8.624025;24:36:00;24:36:00;Kein Umlauf;So;1372;Stop Seq 4
Haltestelle;Darmstadt Hauptbahnhof Ost;49.87194;8.631148;24:39:00;24:39:00;Kein Umlauf;So;1372;Stop Seq 5
Haltestelle;Darmstadt Berliner Allee;49.87076;8.635733;24:41:00;24:41:00;Kein Umlauf;So;1372;Stop Seq 6
Haltestelle;Darmstadt Rhein-/Neckarstraße;49.871544;8.6447;24:42:00;24:42:00;Kein Umlauf;So;1372;Stop Seq 7
Haltestelle;Darmstadt Luisenplatz;49.872883;8.651256;24:44:00;24:45:00;Kein Umlauf;So;1372;Stop Seq 8
Haltestelle;Darmstadt Schloss;49.872868;8.655235;24:47:00;24:47:00;Kein Umlauf;So;1372;Stop Seq 9
