Typ;Name;Latitude;Longitude;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Haltestelle;Darmstadt Berliner Allee;49.87076;8.635733;13:28:00;13:28:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 0
Haltestelle;Darmstadt Rhein-/Neckarstraße;49.871544;8.6447;13:29:00;13:29:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 1
Haltestelle;Darmstadt Luisenplatz;49.872883;8.651256;13:31:00;13:32:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 2
Haltestelle;Darmstadt Schloss;49.872868;8.655235;13:34:00;13:34:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 3
Haltestelle;Darmstadt Pützerstraße;49.87529;8.662563;13:36:00;13:36:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 4
Haltestelle;Darmstadt Alice-Hospital;49.87721;8.66337;13:37:00;13:37:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 5
Haltestelle;Darmstadt Mathildenhöhe;49.878677;8.667047;13:38:00;13:38:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 6
Haltestelle;Darmstadt Spessartring;49.879395;8.670701;13:39:00;13:39:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 7
Haltestelle;Darmstadt Regerweg;49.881638;8.677587;13:40:00;13:40:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 8
Haltestelle;Darmstadt Fasanerie;49.88413;8.685279;13:41:00;13:41:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 9
Haltestelle;Darmstadt Oberwaldhaus;49.89065;8.696829;13:43:00;13:43:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 10
