Typ;Name;Latitude;Longitude;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Haltestelle;Rödermark-Urberach Bf;49.975292;8.797746;10:35:00;10:35:00;Kein Umlauf;So;1372;Stop Seq 0
Haltestelle;Rödermark Urberach, Bahnhofstr. 18 Mast 01;49.9721;8.796713;10:36:00;10:36:00;Kein Umlauf;So;1372;Stop Seq 1
Haltestelle;Urberach Darmstädter Straße;49.9666;8.792931;10:37:00;10:37:00;Kein Umlauf;So;1372;Stop Seq 2
Haltestelle;Rödermark Urberach, Bienengarten Mast 02;49.964706;8.78979;10:38:00;10:38:00;Kein Umlauf;So;1372;Stop Seq 3
Haltestelle;Messel Am Mörsbach;49.940536;8.744077;10:44:00;10:44:00;Kein Umlauf;So;1372;Stop Seq 4
Haltestelle;Messel Rathaus;49.9368;8.744166;10:46:00;10:46:00;Kein Umlauf;So;1372;Stop Seq 5
Haltestelle;Messel Sudetenstraße;49.931484;8.743539;10:48:00;10:48:00;Kein Umlauf;So;1372;Stop Seq 6
Haltestelle;Messel Bahnhof;49.921913;8.745762;10:51:00;10:52:00;Kein Umlauf;So;1372;Stop Seq 7
Haltestelle;Messel Gru. Messel Am Wildpark;49.91938;8.746862;10:53:00;10:53:00;Kein Umlauf;So;1372;Stop Seq 8
Haltestelle;Messel Grube Messel Besucherz.;49.909973;8.750015;10:54:00;10:54:00;Kein Umlauf;So;1372;Stop Seq 9
Haltestelle;Darmstadt Einsiedel;49.90653;8.744354;10:56:00;10:56:00;Kein Umlauf;So;1372;Stop Seq 10
Haltestelle;Darmstadt Grube Prinz v. Hessen;49.90264;8.735326;10:57:00;10:57:00;Kein Umlauf;So;1372;Stop Seq 11
Haltestelle;Darmstadt Oberwaldhaus;49.89065;8.696829;11:01:00;11:01:00;Kein Umlauf;So;1372;Stop Seq 12
Haltestelle;Darmstadt Fasanerie;49.88413;8.685279;11:02:00;11:02:00;Kein Umlauf;So;1372;Stop Seq 13
Haltestelle;Darmstadt Regerweg;49.881638;8.677587;11:04:00;11:04:00;Kein Umlauf;So;1372;Stop Seq 14
Haltestelle;Darmstadt Spessartring;49.879395;8.670701;11:06:00;11:06:00;Kein Umlauf;So;1372;Stop Seq 15
Haltestelle;Darmstadt Mathildenhöhe;49.878677;8.667047;11:07:00;11:07:00;Kein Umlauf;So;1372;Stop Seq 16
Haltestelle;Darmstadt Alice-Hospital;49.87721;8.66337;11:08:00;11:08:00;Kein Umlauf;So;1372;Stop Seq 17
Haltestelle;Darmstadt Pützerstraße;49.87529;8.662563;11:10:00;11:10:00;Kein Umlauf;So;1372;Stop Seq 18
Haltestelle;Darmstadt Schloss;49.872868;8.655235;11:12:00;11:12:00;Kein Umlauf;So;1372;Stop Seq 19
Haltestelle;Darmstadt Luisenplatz;49.872883;8.651256;11:14:00;11:15:00;Kein Umlauf;So;1372;Stop Seq 20
Haltestelle;Darmstadt Rhein-/Neckarstraße;49.871544;8.6447;11:17:00;11:17:00;Kein Umlauf;So;1372;Stop Seq 21
Haltestelle;Darmstadt Berliner Allee;49.87076;8.635733;11:18:00;11:18:00;Kein Umlauf;So;1372;Stop Seq 22
Haltestelle;Darmstadt Hauptbahnhof Ost;49.87194;8.631148;11:21:00;11:21:00;Kein Umlauf;So;1372;Stop Seq 23
Haltestelle;Da. Rodensteinw./A.Schalthaus;49.875496;8.624025;11:23:00;11:23:00;Kein Umlauf;So;1372;Stop Seq 24
Haltestelle;Darmstadt Moldenhauerweg;49.87578;8.61946;11:24:00;11:24:00;Kein Umlauf;So;1372;Stop Seq 25
Haltestelle;Darmstadt Im Harras;49.878616;8.618645;11:26:00;11:26:00;Kein Umlauf;So;1372;Stop Seq 26
Haltestelle;Darmstadt Kölner Straße;49.881435;8.617078;11:27:00;11:27:00;Kein Umlauf;So;1372;Stop Seq 27
Haltestelle;Darmstadt Haasstraße;49.885635;8.620524;11:29:00;11:29:00;Kein Umlauf;So;1372;Stop Seq 28
