Typ;Name;Latitude;Longitude;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Haltestelle;Darmstadt Haasstraße;49.885635;8.620524;22:30:00;22:30:00;Kein Umlauf;So;1372;Stop Seq 0
Haltestelle;Darmstadt Kölner Straße;49.881435;8.617078;22:32:00;22:32:00;Kein Umlauf;So;1372;Stop Seq 1
Haltestelle;Darmstadt Im Harras;49.878616;8.618645;22:33:00;22:33:00;Kein Umlauf;So;1372;Stop Seq 2
Haltestelle;Darmstadt Moldenhauerweg;49.87578;8.61946;22:35:00;22:35:00;Kein Umlauf;So;1372;Stop Seq 3
Haltestelle;Da. Rodensteinw./A.Schalthaus;49.875496;8.624025;22:36:00;22:36:00;Kein Umlauf;So;1372;Stop Seq 4
Haltestelle;Darmstadt Hauptbahnhof Ost;49.87194;8.631148;22:39:00;22:39:00;Kein Umlauf;So;1372;Stop Seq 5
Haltestelle;Darmstadt Berliner Allee;49.87076;8.635733;22:41:00;22:41:00;Kein Umlauf;So;1372;Stop Seq 6
Haltestelle;Darmstadt Rhein-/Neckarstraße;49.871544;8.6447;22:42:00;22:42:00;Kein Umlauf;So;1372;Stop Seq 7
Haltestelle;Darmstadt Luisenplatz;49.872883;8.651256;22:44:00;22:45:00;Kein Umlauf;So;1372;Stop Seq 8
Haltestelle;Darmstadt Schloss;49.872868;8.655235;22:47:00;22:47:00;Kein Umlauf;So;1372;Stop Seq 9
Haltestelle;Darmstadt Pützerstraße;49.87529;8.662563;22:49:00;22:49:00;Kein Umlauf;So;1372;Stop Seq 10
Haltestelle;Darmstadt Alice-Hospital;49.87721;8.66337;22:50:00;22:50:00;Kein Umlauf;So;1372;Stop Seq 11
Haltestelle;Darmstadt Mathildenhöhe;49.878677;8.667047;22:51:00;22:51:00;Kein Umlauf;So;1372;Stop Seq 12
Haltestelle;Darmstadt Spessartring;49.879395;8.670701;22:52:00;22:52:00;Kein Umlauf;So;1372;Stop Seq 13
Haltestelle;Darmstadt Regerweg;49.881638;8.677587;22:53:00;22:53:00;Kein Umlauf;So;1372;Stop Seq 14
Haltestelle;Darmstadt Fasanerie;49.88413;8.685279;22:54:00;22:54:00;Kein Umlauf;So;1372;Stop Seq 15
Haltestelle;Darmstadt Oberwaldhaus;49.89065;8.696829;22:56:00;22:56:00;Kein Umlauf;So;1372;Stop Seq 16
Haltestelle;Darmstadt Grube Prinz v. Hessen;49.903564;8.734444;22:59:00;22:59:00;Kein Umlauf;So;1372;Stop Seq 17
Haltestelle;Darmstadt Einsiedel;49.905582;8.744915;23:00:00;23:00:00;Kein Umlauf;So;1372;Stop Seq 18
Haltestelle;Messel Grube Messel Besucherz.;49.909973;8.75021;23:01:00;23:01:00;Kein Umlauf;So;1372;Stop Seq 19
Haltestelle;Messel Gru. Messel Am Wildpark;49.91938;8.746862;23:03:00;23:03:00;Kein Umlauf;So;1372;Stop Seq 20
Haltestelle;Messel Bahnhof;49.921913;8.745762;23:03:00;23:04:00;Kein Umlauf;So;1372;Stop Seq 21
Haltestelle;Messel Sudetenstraße;49.931484;8.743539;23:06:00;23:06:00;Kein Umlauf;So;1372;Stop Seq 22
Haltestelle;Messel Rathaus;49.9368;8.744166;23:08:00;23:08:00;Kein Umlauf;So;1372;Stop Seq 23
Haltestelle;Messel Am Mörsbach;49.940536;8.744077;23:12:00;23:12:00;Kein Umlauf;So;1372;Stop Seq 24
