Typ;Name;Latitude;Longitude;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Haltestelle;Rödermark-Urberach Bf;49.975292;8.797746;24:35:00;24:35:00;Kein Umlauf;So;1372;Stop Seq 0
Haltestelle;Rödermark Urberach, Bahnhofstr. 18 Mast 01;49.9721;8.796713;24:36:00;24:36:00;Kein Umlauf;So;1372;Stop Seq 1
Haltestelle;Urberach Darmstädter Straße;49.9666;8.792931;24:37:00;24:37:00;Kein Umlauf;So;1372;Stop Seq 2
Haltestelle;Rödermark Urberach, Bienengarten Mast 02;49.964706;8.78979;24:38:00;24:38:00;Kein Umlauf;So;1372;Stop Seq 3
Haltestelle;Messel Am Mörsbach;49.940536;8.744077;24:44:00;24:44:00;Kein Umlauf;So;1372;Stop Seq 4
Haltestelle;Messel Rathaus;49.9368;8.744166;24:46:00;24:46:00;Kein Umlauf;So;1372;Stop Seq 5
Haltestelle;Messel Sudetenstraße;49.931484;8.743539;24:48:00;24:48:00;Kein Umlauf;So;1372;Stop Seq 6
Haltestelle;Messel Bahnhof;49.921913;8.745762;24:51:00;24:52:00;Kein Umlauf;So;1372;Stop Seq 7
Haltestelle;Messel Gru. Messel Am Wildpark;49.91938;8.746862;24:53:00;24:53:00;Kein Umlauf;So;1372;Stop Seq 8
Haltestelle;Messel Grube Messel Besucherz.;49.909973;8.750015;24:54:00;24:54:00;Kein Umlauf;So;1372;Stop Seq 9
Haltestelle;Darmstadt Einsiedel;49.90653;8.744354;24:56:00;24:56:00;Kein Umlauf;So;1372;Stop Seq 10
Haltestelle;Darmstadt Grube Prinz v. Hessen;49.90264;8.735326;24:57:00;24:57:00;Kein Umlauf;So;1372;Stop Seq 11
Haltestelle;Darmstadt Oberwaldhaus;49.89065;8.696829;25:01:00;25:01:00;Kein Umlauf;So;1372;Stop Seq 12
Haltestelle;Darmstadt Fasanerie;49.88413;8.685279;25:02:00;25:02:00;Kein Umlauf;So;1372;Stop Seq 13
Haltestelle;Darmstadt Regerweg;49.881638;8.677587;25:04:00;25:04:00;Kein Umlauf;So;1372;Stop Seq 14
Haltestelle;Darmstadt Spessartring;49.879395;8.670701;25:06:00;25:06:00;Kein Umlauf;So;1372;Stop Seq 15
Haltestelle;Darmstadt Mathildenhöhe;49.878677;8.667047;25:07:00;25:07:00;Kein Umlauf;So;1372;Stop Seq 16
Haltestelle;Darmstadt Alice-Hospital;49.87721;8.66337;25:08:00;25:08:00;Kein Umlauf;So;1372;Stop Seq 17
Haltestelle;Darmstadt Pützerstraße;49.87529;8.662563;25:10:00;25:10:00;Kein Umlauf;So;1372;Stop Seq 18
Haltestelle;Darmstadt Schloss;49.872868;8.655235;25:12:00;25:12:00;Kein Umlauf;So;1372;Stop Seq 19
Haltestelle;Darmstadt Luisenplatz;49.872883;8.651256;25:14:00;25:14:00;Kein Umlauf;So;1372;Stop Seq 20
