Typ;Name;Latitude;Longitude;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Haltestelle;Darmstadt Haasstraße;49.885635;8.620524;19:54:00;19:54:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 0
Haltestelle;Darmstadt Kölner Straße;49.881435;8.617078;19:56:00;19:56:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 1
Haltestelle;Darmstadt Im Harras;49.878616;8.618645;19:57:00;19:57:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 2
Haltestelle;Darmstadt Moldenhauerweg;49.87578;8.61946;19:59:00;19:59:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 3
Haltestelle;Da. Rodensteinw./A.Schalthaus;49.875496;8.624025;20:00:00;20:00:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 4
Haltestelle;Darmstadt Hauptbahnhof Ost;49.87194;8.631148;20:03:00;20:03:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 5
Haltestelle;Darmstadt Berliner Allee;49.87076;8.635733;20:05:00;20:05:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 6
Haltestelle;Darmstadt Rhein-/Neckarstraße;49.871544;8.6447;20:06:00;20:06:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 7
Haltestelle;Darmstadt Luisenplatz;49.872883;8.651256;20:08:00;20:09:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 8
Haltestelle;Darmstadt Schloss;49.872868;8.655235;20:11:00;20:11:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 9
Haltestelle;Darmstadt Pützerstraße;49.87529;8.662563;20:13:00;20:13:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 10
Haltestelle;Darmstadt Alice-Hospital;49.87721;8.66337;20:14:00;20:14:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 11
Haltestelle;Darmstadt Mathildenhöhe;49.878677;8.667047;20:15:00;20:15:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 12
Haltestelle;Darmstadt Spessartring;49.879395;8.670701;20:16:00;20:16:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 13
Haltestelle;Darmstadt Regerweg;49.881638;8.677587;20:17:00;20:17:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 14
Haltestelle;Darmstadt Fasanerie;49.88413;8.685279;20:18:00;20:18:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 15
Haltestelle;Darmstadt Oberwaldhaus;49.89065;8.696829;20:20:00;20:20:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 16
Haltestelle;Darmstadt Grube Prinz v. Hessen;49.903564;8.734444;20:23:00;20:23:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 17
Haltestelle;Darmstadt Einsiedel;49.905582;8.744915;20:24:00;20:24:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 18
Haltestelle;Messel Grube Messel Besucherz.;49.909973;8.75021;20:25:00;20:25:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 19
Haltestelle;Messel Gru. Messel Am Wildpark;49.91938;8.746862;20:27:00;20:27:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 20
Haltestelle;Messel Bahnhof;49.921913;8.745762;20:27:00;20:28:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 21
Haltestelle;Messel Sudetenstraße;49.931484;8.743539;20:30:00;20:30:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 22
Haltestelle;Messel Rathaus;49.9368;8.744166;20:32:00;20:32:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 23
