Typ;Name;Latitude;Longitude;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Haltestelle;Messel Rathaus;49.9368;8.744166;23:46:00;23:46:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 0
Haltestelle;Messel Sudetenstraße;49.931484;8.743539;23:48:00;23:48:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 1
Haltestelle;Messel Bahnhof;49.921913;8.745762;23:51:00;23:52:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 2
Haltestelle;Messel Gru. Messel Am Wildpark;49.91938;8.746862;23:53:00;23:53:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 3
Haltestelle;Messel Grube Messel Besucherz.;49.909973;8.750015;23:54:00;23:54:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 4
Haltestelle;Darmstadt Einsiedel;49.90653;8.744354;23:56:00;23:56:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 5
Haltestelle;Darmstadt Grube Prinz v. Hessen;49.90264;8.735326;23:57:00;23:57:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 6
Haltestelle;Darmstadt Oberwaldhaus;49.89065;8.696829;24:01:00;24:01:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 7
Haltestelle;Darmstadt Fasanerie;49.88413;8.685279;24:02:00;24:02:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 8
Haltestelle;Darmstadt Regerweg;49.881638;8.677587;24:04:00;24:04:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 9
Haltestelle;Darmstadt Spessartring;49.879395;8.670701;24:06:00;24:06:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 10
Haltestelle;Darmstadt Mathildenhöhe;49.878677;8.667047;24:07:00;24:07:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 11
Haltestelle;Darmstadt Alice-Hospital;49.87721;8.66337;24:08:00;24:08:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 12
Haltestelle;Darmstadt Pützerstraße;49.87529;8.662563;24:10:00;24:10:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 13
Haltestelle;Darmstadt Schloss;49.872868;8.655235;24:12:00;24:12:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 14
Haltestelle;Darmstadt Luisenplatz;49.872883;8.651256;24:14:00;24:15:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 15
Haltestelle;Darmstadt Rhein-/Neckarstraße;49.871544;8.6447;24:17:00;24:17:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 16
Haltestelle;Darmstadt Berliner Allee;49.87076;8.635733;24:18:00;24:18:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 17
Haltestelle;Darmstadt Hauptbahnhof Ost;49.87194;8.631148;24:21:00;24:21:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 18
Haltestelle;Da. Rodensteinw./A.Schalthaus;49.875496;8.624025;24:23:00;24:23:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 19
Haltestelle;Darmstadt Moldenhauerweg;49.87578;8.61946;24:24:00;24:24:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 20
Haltestelle;Darmstadt Im Harras;49.878616;8.618645;24:26:00;24:26:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 21
Haltestelle;Darmstadt Kölner Straße;49.881435;8.617078;24:27:00;24:27:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 22
Haltestelle;Darmstadt Haasstraße;49.885635;8.620524;24:29:00;24:29:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 23
