Typ;Name;Latitude;Longitude;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Haltestelle;Darmstadt Anne-Frank-Straße;49.847946;8.620916;25:52:00;25:52:00;Kein Umlauf;Unbekannt;133;Stop Seq 0
Haltestelle;Darmstadt Klausenburger Straße;49.846752;8.624026;25:54:00;25:54:00;Kein Umlauf;Unbekannt;133;Stop Seq 1
Haltestelle;Darmstadt Buchenlandweg;49.847496;8.628413;25:55:00;25:55:00;Kein Umlauf;Unbekannt;133;Stop Seq 2
Haltestelle;Darmstadt Pulverhäuserweg;49.85056;8.627973;25:56:00;25:56:00;Kein Umlauf;Unbekannt;133;Stop Seq 3
Haltestelle;Darmstadt Am Kaiserschlag;49.851578;8.633916;25:58:00;25:58:00;Kein Umlauf;Unbekannt;133;Stop Seq 4
Haltestelle;Darmstadt Südbahnhof;49.85497;8.637701;25:59:00;25:59:00;Kein Umlauf;Unbekannt;133;Stop Seq 5
Haltestelle;Darmstadt Haardtring;49.857975;8.635426;26:01:00;26:01:00;Kein Umlauf;Unbekannt;133;Stop Seq 6
Haltestelle;Darmstadt Fliederberg;49.860516;8.637562;26:02:00;26:02:00;Kein Umlauf;Unbekannt;133;Stop Seq 7
Haltestelle;Darmstadt Holzhofallee;49.863888;8.638163;26:03:00;26:03:00;Kein Umlauf;Unbekannt;133;Stop Seq 8
Haltestelle;Darmstadt Hochschule;49.866623;8.635041;26:04:00;26:04:00;Kein Umlauf;Unbekannt;133;Stop Seq 9
Haltestelle;Darmstadt Hauptbahnhof Ost;49.87194;8.631148;26:08:00;26:08:00;Kein Umlauf;Unbekannt;133;Stop Seq 10
Haltestelle;Darmstadt Berliner Allee;49.87076;8.635733;26:10:00;26:10:00;Kein Umlauf;Unbekannt;133;Stop Seq 11
Haltestelle;Darmstadt Rhein-/Neckarstraße;49.871544;8.6447;26:11:00;26:11:00;Kein Umlauf;Unbekannt;133;Stop Seq 12
Haltestelle;Darmstadt Luisenplatz;49.872883;8.651256;26:13:00;26:15:00;Kein Umlauf;Unbekannt;133;Stop Seq 13
Haltestelle;Darmstadt Schloss;49.872868;8.655235;26:16:00;26:16:00;Kein Umlauf;Unbekannt;133;Stop Seq 14
Haltestelle;Darmstadt Alexanderstraße/TU;49.875763;8.660542;26:18:00;26:18:00;Kein Umlauf;Unbekannt;133;Stop Seq 15
Haltestelle;Darmstadt Kopernikusplatz;49.878193;8.661847;26:19:00;26:19:00;Kein Umlauf;Unbekannt;133;Stop Seq 16
Haltestelle;Darmstadt Taunusplatz;49.88036;8.664531;26:20:00;26:20:00;Kein Umlauf;Unbekannt;133;Stop Seq 17
Haltestelle;Darmstadt Am Karlshof;49.882107;8.665799;26:21:00;26:21:00;Kein Umlauf;Unbekannt;133;Stop Seq 18
Haltestelle;Darmstadt Schwarzer Weg;49.88575;8.669128;26:23:00;26:23:00;Kein Umlauf;Unbekannt;133;Stop Seq 19
Haltestelle;Darmstadt Kastanienallee;49.890533;8.672546;26:24:00;26:24:00;Kein Umlauf;Unbekannt;133;Stop Seq 20
Haltestelle;Kranichstein Siemensstraße;49.896336;8.680287;26:26:00;26:26:00;Kein Umlauf;Unbekannt;133;Stop Seq 21
Haltestelle;Kranichstein Kesselhutweg;49.8959;8.686163;26:29:00;26:29:00;Kein Umlauf;Unbekannt;133;Stop Seq 22
