Typ;Name;Latitude;Longitude;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Haltestelle;Kranichstein Kesselhutweg;49.8959;8.686163;24:59:00;24:59:00;Kein Umlauf;Unbekannt;133;Stop Seq 0
Haltestelle;Kranichstein Siemensstraße;49.896336;8.680287;25:01:00;25:01:00;Kein Umlauf;Unbekannt;133;Stop Seq 1
Haltestelle;Darmstadt Kastanienallee;49.890533;8.672546;25:03:00;25:03:00;Kein Umlauf;Unbekannt;133;Stop Seq 2
Haltestelle;Darmstadt Schwarzer Weg;49.88575;8.669128;25:04:00;25:04:00;Kein Umlauf;Unbekannt;133;Stop Seq 3
Haltestelle;Darmstadt Am Karlshof;49.882107;8.665799;25:06:00;25:06:00;Kein Umlauf;Unbekannt;133;Stop Seq 4
Haltestelle;Darmstadt Taunusplatz;49.88036;8.664531;25:07:00;25:07:00;Kein Umlauf;Unbekannt;133;Stop Seq 5
Haltestelle;Darmstadt Kopernikusplatz;49.878193;8.661847;25:08:00;25:08:00;Kein Umlauf;Unbekannt;133;Stop Seq 6
Haltestelle;Darmstadt Alexanderstraße/TU;49.875763;8.660542;25:10:00;25:10:00;Kein Umlauf;Unbekannt;133;Stop Seq 7
Haltestelle;Darmstadt Schloss;49.872868;8.655235;25:12:00;25:12:00;Kein Umlauf;Unbekannt;133;Stop Seq 8
Haltestelle;Darmstadt Luisenplatz;49.872883;8.651256;25:14:00;25:15:00;Kein Umlauf;Unbekannt;133;Stop Seq 9
Haltestelle;Darmstadt Rhein-/Neckarstraße;49.871544;8.6447;25:17:00;25:17:00;Kein Umlauf;Unbekannt;133;Stop Seq 10
Haltestelle;Darmstadt Berliner Allee;49.87076;8.635733;25:18:00;25:18:00;Kein Umlauf;Unbekannt;133;Stop Seq 11
Haltestelle;Darmstadt Hauptbahnhof Ost;49.87194;8.631148;25:21:00;25:21:00;Kein Umlauf;Unbekannt;133;Stop Seq 12
Haltestelle;Darmstadt Hochschule;49.866623;8.635041;25:23:00;25:23:00;Kein Umlauf;Unbekannt;133;Stop Seq 13
Haltestelle;Darmstadt Holzhofallee;49.863888;8.638163;25:24:00;25:24:00;Kein Umlauf;Unbekannt;133;Stop Seq 14
Haltestelle;Darmstadt Fliederberg;49.860516;8.637562;25:26:00;25:26:00;Kein Umlauf;Unbekannt;133;Stop Seq 15
Haltestelle;Darmstadt Haardtring;49.857975;8.635426;25:27:00;25:27:00;Kein Umlauf;Unbekannt;133;Stop Seq 16
Haltestelle;Darmstadt Südbahnhof;49.85497;8.637701;25:28:00;25:28:00;Kein Umlauf;Unbekannt;133;Stop Seq 17
Haltestelle;Darmstadt Am Kaiserschlag;49.851578;8.633916;25:30:00;25:30:00;Kein Umlauf;Unbekannt;133;Stop Seq 18
Haltestelle;Darmstadt Pulverhäuserweg;49.85056;8.627973;25:31:00;25:31:00;Kein Umlauf;Unbekannt;133;Stop Seq 19
Haltestelle;Darmstadt Hannah-Arendt-Weg;49.84952;8.621001;25:33:00;25:33:00;Kein Umlauf;Unbekannt;133;Stop Seq 20
Haltestelle;Darmstadt Anne-Frank-Straße;49.847946;8.620916;25:34:00;25:34:00;Kein Umlauf;Unbekannt;133;Stop Seq 21
