Typ;Name;Latitude;Longitude;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Haltestelle;Darmstadt Hauptbahnhof Ost;49.87194;8.631148;17:45:00;17:45:00;Kein Umlauf;So;1372;Stop Seq 0
Haltestelle;Darmstadt Berliner Allee;49.87076;8.635733;17:47:00;17:47:00;Kein Umlauf;So;1372;Stop Seq 1
Haltestelle;Darmstadt Rhein-/Neckarstraße;49.871544;8.6447;17:48:00;17:48:00;Kein Umlauf;So;1372;Stop Seq 2
Haltestelle;Darmstadt Luisenplatz;49.872883;8.651256;17:52:00;17:52:00;Kein Umlauf;So;1372;Stop Seq 3
Haltestelle;Darmstadt Schloss;49.872868;8.655235;17:53:00;17:53:00;Kein Umlauf;So;1372;Stop Seq 4
Haltestelle;Darmstadt Alexanderstraße/TU;49.875763;8.660542;17:55:00;17:55:00;Kein Umlauf;So;1372;Stop Seq 5
Haltestelle;Darmstadt Kopernikusplatz;49.878193;8.661847;17:56:00;17:56:00;Kein Umlauf;So;1372;Stop Seq 6
Haltestelle;Darmstadt Taunusplatz;49.88036;8.664531;17:57:00;17:57:00;Kein Umlauf;So;1372;Stop Seq 7
Haltestelle;Darmstadt Am Karlshof;49.882107;8.665799;17:58:00;17:58:00;Kein Umlauf;So;1372;Stop Seq 8
Haltestelle;Darmstadt Peter-Behrens-Straße;49.88528;8.669534;18:00:00;18:00:00;Kein Umlauf;So;1372;Stop Seq 9
Haltestelle;Darmstadt Alfred-Messel-Weg;49.88591;8.672744;18:02:00;18:02:00;Kein Umlauf;So;1372;Stop Seq 10
