Typ;Name;Latitude;Longitude;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Haltestelle;Darmstadt Anne-Frank-Straße;49.847946;8.620916;13:00:00;13:00:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 0
Haltestelle;Darmstadt Klausenburger Straße;49.846752;8.624026;13:01:00;13:01:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 1
Haltestelle;Darmstadt Buchenlandweg;49.847496;8.628413;13:02:00;13:02:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 2
Haltestelle;Darmstadt Pulverhäuserweg;49.85056;8.627973;13:04:00;13:04:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 3
Haltestelle;Darmstadt Hannah-Arendt-Weg;49.84952;8.621001;13:05:00;13:05:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 4
Haltestelle;Darmstadt Fünfkirchner Straße VHbf;49.850952;8.621949;13:06:00;13:06:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 5
Haltestelle;Darmstadt Mahatma-Gandhi-Str.;49.856403;8.62466;13:09:00;13:09:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 6
Haltestelle;Darmstadt Kleyerstraße;49.85862;8.62335;13:11:00;13:11:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 7
Haltestelle;Darmstadt von Taxis;49.860245;8.623156;13:11:00;13:11:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 8
Haltestelle;Darmstadt Hilpertstraße;49.86182;8.623561;13:12:00;13:12:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 9
Haltestelle;Darmstadt T-Online-Allee;49.862274;8.626787;13:13:00;13:13:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 10
Haltestelle;Darmstadt Pfalzweg NHaardtring;49.86593;8.631555;13:17:00;13:17:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 11
Haltestelle;Darmstadt Hauptbahnhof Ost;49.87194;8.631148;13:20:00;13:20:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 12
Haltestelle;Darmstadt Berliner Allee;49.87076;8.635733;13:22:00;13:22:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 13
Haltestelle;Darmstadt Rhein-/Neckarstraße;49.871544;8.6447;13:23:00;13:23:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 14
Haltestelle;Darmstadt Luisenplatz;49.872883;8.651256;13:27:00;13:27:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 15
Haltestelle;Darmstadt Schloss;49.872868;8.655235;13:28:00;13:28:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 16
Haltestelle;Darmstadt Alexanderstraße/TU;49.875763;8.660542;13:30:00;13:30:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 17
Haltestelle;Darmstadt Kopernikusplatz;49.878193;8.661847;13:31:00;13:31:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 18
Haltestelle;Darmstadt Taunusplatz;49.88036;8.664531;13:32:00;13:32:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 19
Haltestelle;Darmstadt Am Karlshof;49.882107;8.665799;13:33:00;13:33:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 20
Haltestelle;Darmstadt Peter-Behrens-Straße;49.88528;8.669534;13:35:00;13:35:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 21
Haltestelle;Darmstadt Alfred-Messel-Weg;49.88591;8.672744;13:37:00;13:37:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 22
