Typ;Name;Latitude;Longitude;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Haltestelle;Darmstadt Alfred-Messel-Weg;49.88591;8.672744;12:36:00;12:36:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 0
Haltestelle;Darmstadt Peter-Behrens-Straße;49.88528;8.669534;12:37:00;12:37:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 1
Haltestelle;Darmstadt Am Karlshof;49.882107;8.665799;12:39:00;12:39:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 2
Haltestelle;Darmstadt Taunusplatz;49.88036;8.664531;12:40:00;12:40:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 3
Haltestelle;Darmstadt Kopernikusplatz;49.878193;8.661847;12:41:00;12:41:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 4
Haltestelle;Darmstadt Alexanderstraße/TU;49.875763;8.660542;12:43:00;12:43:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 5
Haltestelle;Darmstadt Schloss;49.872868;8.655235;12:45:00;12:45:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 6
Haltestelle;Darmstadt Luisenplatz;49.872883;8.651256;12:48:00;12:48:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 7
Haltestelle;Darmstadt Rhein-/Neckarstraße;49.871544;8.6447;12:50:00;12:50:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 8
Haltestelle;Darmstadt Berliner Allee;49.87076;8.635733;12:51:00;12:51:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 9
Haltestelle;Darmstadt Hauptbahnhof Ost;49.87194;8.631148;12:54:00;12:54:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 10
Haltestelle;Darmstadt Mina-Rees-Straße;49.867016;8.626511;12:58:00;12:58:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 11
Haltestelle;Darmstadt T-Online-Allee;49.862274;8.626787;13:00:00;13:00:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 12
Haltestelle;Darmstadt Hilpertstraße;49.86182;8.623561;13:01:00;13:01:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 13
Haltestelle;Darmstadt von Taxis;49.860245;8.623156;13:03:00;13:03:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 14
Haltestelle;Darmstadt Kleyerstraße;49.85862;8.62335;13:04:00;13:04:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 15
Haltestelle;Darmstadt Mahatma-Gandhi-Str.;49.856403;8.62466;13:06:00;13:06:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 16
Haltestelle;Darmstadt Fünfkirchner Straße VHbf;49.850952;8.621949;13:09:00;13:09:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 17
Haltestelle;Darmstadt Anne-Frank-Straße;49.847946;8.620916;13:11:00;13:11:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 18
