Typ;Name;Latitude;Longitude;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Haltestelle;Darmstadt Alfred-Messel-Weg;49.88591;8.672744;05:51:00;05:51:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 0
Haltestelle;Darmstadt Peter-Behrens-Straße;49.88528;8.669534;05:52:00;05:52:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 1
Haltestelle;Darmstadt Am Karlshof;49.882107;8.665799;05:54:00;05:54:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 2
Haltestelle;Darmstadt Taunusplatz;49.88036;8.664531;05:55:00;05:55:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 3
Haltestelle;Darmstadt Kopernikusplatz;49.878193;8.661847;05:56:00;05:56:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 4
Haltestelle;Darmstadt Alexanderstraße/TU;49.875763;8.660542;05:58:00;05:58:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 5
Haltestelle;Darmstadt Schloss;49.872868;8.655235;06:00:00;06:00:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 6
Haltestelle;Darmstadt Luisenplatz;49.872883;8.651256;06:03:00;06:03:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 7
Haltestelle;Darmstadt Rhein-/Neckarstraße;49.871544;8.6447;06:05:00;06:05:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 8
Haltestelle;Darmstadt Berliner Allee;49.87076;8.635733;06:06:00;06:06:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 9
Haltestelle;Darmstadt Hauptbahnhof Ost;49.87194;8.631148;06:09:00;06:09:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 10
Haltestelle;Darmstadt Mina-Rees-Straße;49.867016;8.626511;06:13:00;06:13:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 11
Haltestelle;Darmstadt T-Online-Allee;49.862274;8.626787;06:15:00;06:15:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 12
Haltestelle;Darmstadt Hilpertstraße;49.86182;8.623561;06:16:00;06:16:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 13
Haltestelle;Darmstadt von Taxis;49.860245;8.623156;06:18:00;06:18:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 14
Haltestelle;Darmstadt Kleyerstraße;49.85862;8.62335;06:19:00;06:19:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 15
