Typ;Name;Latitude;Longitude;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Haltestelle;Darmstadt Kleyerstraße;49.85862;8.62335;09:26:00;09:26:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 0
Haltestelle;Darmstadt von Taxis;49.860245;8.623156;09:26:00;09:26:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 1
Haltestelle;Darmstadt Hilpertstraße;49.86182;8.623561;09:27:00;09:27:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 2
Haltestelle;Darmstadt T-Online-Allee;49.862274;8.626787;09:28:00;09:28:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 3
Haltestelle;Darmstadt Pfalzweg NHaardtring;49.86593;8.631555;09:32:00;09:32:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 4
Haltestelle;Darmstadt Hauptbahnhof Ost;49.87194;8.631148;09:35:00;09:35:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 5
Haltestelle;Darmstadt Berliner Allee;49.87076;8.635733;09:37:00;09:37:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 6
Haltestelle;Darmstadt Rhein-/Neckarstraße;49.871544;8.6447;09:38:00;09:38:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 7
Haltestelle;Darmstadt Luisenplatz;49.872883;8.651256;09:42:00;09:42:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 8
Haltestelle;Darmstadt Schloss;49.872868;8.655235;09:43:00;09:43:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 9
Haltestelle;Darmstadt Alexanderstraße/TU;49.875763;8.660542;09:45:00;09:45:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 10
Haltestelle;Darmstadt Kopernikusplatz;49.878193;8.661847;09:46:00;09:46:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 11
Haltestelle;Darmstadt Taunusplatz;49.88036;8.664531;09:47:00;09:47:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 12
Haltestelle;Darmstadt Am Karlshof;49.882107;8.665799;09:48:00;09:48:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 13
Haltestelle;Darmstadt Peter-Behrens-Straße;49.88528;8.669534;09:50:00;09:50:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 14
Haltestelle;Darmstadt Alfred-Messel-Weg;49.88591;8.672744;09:52:00;09:52:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 15
