Typ;Name;Latitude;Longitude;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Haltestelle;Da. TU-Lichtwiese/Campus;49.86163;8.680627;18:02:00;18:02:00;Kein Umlauf;So;1372;Stop Seq 0
Haltestelle;Darmstadt Bot. Garten/Vivarium;49.86788;8.678291;18:05:00;18:05:00;Kein Umlauf;So;1372;Stop Seq 1
Haltestelle;Darmstadt Heidenreichstraße;49.869007;8.671732;18:06:00;18:06:00;Kein Umlauf;So;1372;Stop Seq 2
Haltestelle;Darmstadt Beckstraße;49.869366;8.668405;18:07:00;18:07:00;Kein Umlauf;So;1372;Stop Seq 3
Haltestelle;Darmstadt Roßdörfer Platz;49.868954;8.662732;18:09:00;18:09:00;Kein Umlauf;So;1372;Stop Seq 4
Haltestelle;Darmstadt Mercksplatz;49.871883;8.662545;18:10:00;18:10:00;Kein Umlauf;So;1372;Stop Seq 5
Haltestelle;Darmstadt Schloss;49.872868;8.655235;18:13:00;18:13:00;Kein Umlauf;So;1372;Stop Seq 6
Haltestelle;Darmstadt Luisenplatz;49.872883;8.651256;18:15:00;18:15:00;Kein Umlauf;So;1372;Stop Seq 7
Haltestelle;Darmstadt Willy-Brandt-Platz;49.876263;8.650244;18:17:00;18:17:00;Kein Umlauf;So;1372;Stop Seq 8
Haltestelle;Darmstadt Klinikum;49.875805;8.647743;18:17:00;18:17:00;Kein Umlauf;So;1372;Stop Seq 9
Haltestelle;Darmstadt Kahlertstraße;49.879894;8.647505;18:19:00;18:19:00;Kein Umlauf;So;1372;Stop Seq 10
Haltestelle;Darmstadt Pallaswiesenstraße;49.88109;8.65046;18:20:00;18:20:00;Kein Umlauf;So;1372;Stop Seq 11
Haltestelle;Darmstadt Friedr.-Ebert-Platz;49.88186;8.655073;18:22:00;18:22:00;Kein Umlauf;So;1372;Stop Seq 12
Haltestelle;Darmstadt Pankratiusstraße;49.882313;8.659606;18:24:00;18:24:00;Kein Umlauf;So;1372;Stop Seq 13
