Typ;Name;Latitude;Longitude;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Haltestelle;Darmstadt Nordbahnhof;49.891808;8.653374;19:27:00;19:27:00;Kein Umlauf;So;1372;Stop Seq 0
Haltestelle;Darmstadt Carl-Schenck-Ring;49.888412;8.646343;19:29:00;19:29:00;Kein Umlauf;So;1372;Stop Seq 1
Haltestelle;Darmstadt Daimlerweg;49.889908;8.640571;19:30:00;19:30:00;Kein Umlauf;So;1372;Stop Seq 2
Haltestelle;Darmstadt Wöhlerweg;49.88985;8.636522;19:31:00;19:31:00;Kein Umlauf;So;1372;Stop Seq 3
Haltestelle;Darmstadt Otto-Röhm-Straße;49.88794;8.632793;19:32:00;19:32:00;Kein Umlauf;So;1372;Stop Seq 4
Haltestelle;Darmstadt Windmühle;49.883354;8.638268;19:34:00;19:34:00;Kein Umlauf;So;1372;Stop Seq 5
Haltestelle;Darmstadt Mainzer Straße;49.87958;8.635723;19:35:00;19:35:00;Kein Umlauf;So;1372;Stop Seq 6
Haltestelle;Darmstadt Evonik;49.875854;8.634902;19:36:00;19:36:00;Kein Umlauf;So;1372;Stop Seq 7
Haltestelle;Darmstadt Hauptbahnhof Ost;49.87194;8.631148;19:38:00;19:38:00;Kein Umlauf;So;1372;Stop Seq 8
Haltestelle;Darmstadt Mina-Rees-Straße;49.867016;8.626511;19:43:00;19:43:00;Kein Umlauf;So;1372;Stop Seq 9
Haltestelle;Darmstadt Philipp-Röth-Weg NSüdbf;49.863125;8.632619;19:46:00;19:46:00;Kein Umlauf;So;1372;Stop Seq 10
Haltestelle;Darmstadt Haardtring;49.857975;8.635426;19:47:00;19:47:00;Kein Umlauf;So;1372;Stop Seq 11
Haltestelle;Darmstadt Südbahnhof;49.85497;8.637701;19:48:00;19:48:00;Kein Umlauf;So;1372;Stop Seq 12
Haltestelle;Darmstadt Schiebelhuthweg;49.85406;8.640976;19:49:00;19:49:00;Kein Umlauf;So;1372;Stop Seq 13
Haltestelle;Darmstadt Landskronstraße;49.8532;8.646614;19:51:00;19:51:00;Kein Umlauf;So;1372;Stop Seq 14
Haltestelle;Darmstadt Ludwigshöhstraße;49.853405;8.652481;19:53:00;19:53:00;Kein Umlauf;So;1372;Stop Seq 15
Haltestelle;Darmstadt Klappacher Straße;49.85317;8.657377;19:54:00;19:54:00;Kein Umlauf;So;1372;Stop Seq 16
Haltestelle;Darmstadt Marienhospital;49.851143;8.662481;19:55:00;19:55:00;Kein Umlauf;So;1372;Stop Seq 17
Haltestelle;Darmstadt Böllenfalltor;49.8526;8.669743;19:57:00;19:57:00;Kein Umlauf;So;1372;Stop Seq 18
