Typ;Name;Latitude;Longitude;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Haltestelle;Darmstadt Böllenfalltor;49.8526;8.669743;07:34:00;07:34:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 0
Haltestelle;Darmstadt Marienhospital;49.851143;8.662481;07:35:00;07:35:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 1
Haltestelle;Darmstadt Klappacher Straße;49.85317;8.657377;07:36:00;07:36:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 2
Haltestelle;Darmstadt Ludwigshöhstraße;49.853405;8.652481;07:37:00;07:37:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 3
Haltestelle;Darmstadt Landskronstraße;49.8532;8.646614;07:39:00;07:39:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 4
Haltestelle;Darmstadt Schiebelhuthweg;49.85406;8.640976;07:40:00;07:40:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 5
Haltestelle;Darmstadt Südbahnhof;49.85497;8.637701;07:41:00;07:41:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 6
Haltestelle;Darmstadt Haardtring;49.857975;8.635426;07:42:00;07:42:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 7
Haltestelle;Darmstadt Philipp-Röth-Weg NSüdbf;49.863125;8.632619;07:43:00;07:43:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 8
Haltestelle;Darmstadt Pfalzweg NHaardtring;49.86593;8.631555;07:44:00;07:44:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 9
Haltestelle;Darmstadt Hauptbahnhof Ost;49.87194;8.631148;07:48:00;07:48:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 10
