Typ;Name;Latitude;Longitude;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Haltestelle;Groß-Zimmern Friedensschule;49.87412;8.830313;12:18:00;12:18:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 0
Haltestelle;Groß-Zimmern Ponthierry-Platz;49.872227;8.827106;12:20:00;12:20:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 1
Haltestelle;Groß-Zimmern Johannes-Ohl-Str.;49.87272;8.819498;12:21:00;12:21:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 2
Haltestelle;Groß-Zimmern Reithalle;49.87129;8.811997;12:23:00;12:23:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 3
Haltestelle;Gundernhausen Aussiedlerhöfe;49.87269;8.801621;12:25:00;12:25:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 4
Haltestelle;Darmstadt Ostbahnhof;49.874775;8.672929;12:37:00;12:37:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 5
Haltestelle;Darmstadt Elisabethenst./Woog;49.873596;8.667611;12:38:00;12:38:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 6
Haltestelle;Darmstadt Jugendstilbad;49.8729;8.661996;12:39:00;12:39:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 7
Haltestelle;Darmstadt Schloss;49.87299;8.65587;12:42:00;12:42:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 8
Haltestelle;Darmstadt Luisenplatz;49.873047;8.651531;12:44:00;12:44:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 9
