Typ;Name;Latitude;Longitude;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Haltestelle;Darmstadt Luisenplatz;49.87269;8.651549;10:47:00;10:47:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 0
Haltestelle;Darmstadt Schloss;49.873047;8.655609;10:49:00;10:49:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 1
Haltestelle;Darmstadt Jugendstilbad;49.872852;8.662104;10:51:00;10:51:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 2
Haltestelle;Darmstadt Elisabethenst./Woog;49.87336;8.666919;10:52:00;10:52:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 3
Haltestelle;Darmstadt Ostbahnhof;49.87458;8.671914;10:53:00;10:53:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 4
Haltestelle;Gundernhausen Aussiedlerhöfe;49.872707;8.801343;11:06:00;11:06:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 5
Haltestelle;Groß-Zimmern Reithalle;49.871223;8.812212;11:08:00;11:08:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 6
Haltestelle;Groß-Zimmern Johannes-Ohl-Str.;49.872696;8.81983;11:10:00;11:10:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 7
Haltestelle;Groß-Zimmern Ponthierry-Platz;49.87211;8.828122;11:11:00;11:11:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 8
Haltestelle;Groß-Zimmern Friedensschule;49.874084;8.830484;11:14:00;11:14:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 9
