Typ;Name;Latitude;Longitude;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Haltestelle;Klein-Zimmern Markstraße;49.868763;8.847031;06:51:00;06:51:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 0
Haltestelle;Groß-Zimmern Gersprenzbrücke;49.871956;8.836386;06:54:00;06:54:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 1
Haltestelle;Groß-Zimmern Friedhof;49.87034;8.832865;06:56:00;06:56:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 2
Haltestelle;Groß-Zimmern Friedensschule;49.87412;8.830313;07:00:00;07:00:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 3
Haltestelle;Groß-Zimmern Ponthierry-Platz;49.872227;8.827106;07:02:00;07:02:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 4
Haltestelle;Groß-Zimmern Johannes-Ohl-Str.;49.87272;8.819498;07:03:00;07:03:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 5
Haltestelle;Groß-Zimmern Reithalle;49.87129;8.811997;07:05:00;07:05:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 6
Haltestelle;Gundernhausen Aussiedlerhöfe;49.87269;8.801621;07:07:00;07:07:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 7
Haltestelle;Darmstadt Ostbahnhof;49.874775;8.672929;07:20:00;07:20:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 8
Haltestelle;Darmstadt Elisabethenst./Woog;49.873596;8.667611;07:21:00;07:21:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 9
Haltestelle;Darmstadt Jugendstilbad;49.8729;8.661996;07:22:00;07:22:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 10
Haltestelle;Darmstadt Schloss;49.87299;8.65587;07:25:00;07:25:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 11
Haltestelle;Darmstadt Luisenplatz;49.873047;8.651531;07:28:00;07:28:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 12
