Typ;Name;Latitude;Longitude;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Haltestelle;Darmstadt Luisenplatz;49.87269;8.651549;19:47:00;19:47:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 0
Haltestelle;Darmstadt Schloss;49.873047;8.655609;19:49:00;19:49:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 1
Haltestelle;Darmstadt Jugendstilbad;49.872852;8.662104;19:51:00;19:51:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 2
Haltestelle;Darmstadt Elisabethenst./Woog;49.87336;8.666919;19:52:00;19:52:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 3
Haltestelle;Darmstadt Ostbahnhof;49.87458;8.671914;19:53:00;19:53:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 4
Haltestelle;Gundernhausen Aussiedlerhöfe;49.872707;8.801343;20:06:00;20:06:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 5
Haltestelle;Groß-Zimmern Reithalle;49.871223;8.812212;20:08:00;20:08:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 6
Haltestelle;Groß-Zimmern Johannes-Ohl-Str.;49.872696;8.81983;20:10:00;20:10:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 7
Haltestelle;Groß-Zimmern Ponthierry-Platz;49.87211;8.828122;20:11:00;20:11:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 8
Haltestelle;Groß-Zimmern Friedensschule;49.874084;8.830484;20:14:00;20:14:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 9
Haltestelle;Groß-Zimmern Friedensschule;49.87412;8.830313;20:16:00;20:16:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 10
Haltestelle;Groß-Zimmern Friedhof;49.87024;8.832865;20:18:00;20:18:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 11
Haltestelle;Groß-Zimmern Gersprenzbrücke;49.87188;8.83635;20:19:00;20:19:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 12
Haltestelle;Klein-Zimmern Markstraße;49.868927;8.847139;20:22:00;20:22:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 13
