Typ;Name;Latitude;Longitude;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Haltestelle;Darmstadt Luisenplatz;49.87269;8.651549;15:17:00;15:17:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 0
Haltestelle;Darmstadt Schloss;49.873047;8.655609;15:20:00;15:20:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 1
Haltestelle;Darmstadt Jugendstilbad;49.872852;8.662104;15:22:00;15:22:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 2
Haltestelle;Darmstadt Elisabethenst./Woog;49.87336;8.666919;15:23:00;15:23:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 3
Haltestelle;Darmstadt Ostbahnhof;49.87458;8.671914;15:24:00;15:24:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 4
Haltestelle;Gundernhausen Aussiedlerhöfe;49.872707;8.801343;15:37:00;15:37:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 5
Haltestelle;Groß-Zimmern Reithalle;49.871223;8.812212;15:39:00;15:39:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 6
Haltestelle;Groß-Zimmern Johannes-Ohl-Str.;49.872696;8.81983;15:41:00;15:41:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 7
Haltestelle;Groß-Zimmern Ponthierry-Platz;49.87211;8.828122;15:42:00;15:42:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 8
Haltestelle;Groß-Zimmern Friedensschule;49.874084;8.830484;15:45:00;15:45:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 9
Haltestelle;Groß-Zimmern Friedensschule;49.87412;8.830313;15:47:00;15:47:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 10
Haltestelle;Groß-Zimmern Friedhof;49.87024;8.832865;15:49:00;15:49:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 11
Haltestelle;Groß-Zimmern Gersprenzbrücke;49.87188;8.83635;15:50:00;15:50:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 12
Haltestelle;Klein-Zimmern Markstraße;49.868927;8.847139;15:53:00;15:53:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 13
Haltestelle;Semd Kirche;49.87409;8.886198;16:02:00;16:02:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 14
Haltestelle;Semd Schule;49.876106;8.890563;16:03:00;16:03:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 15
