Typ;Name;Latitude;Longitude;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Haltestelle;Darmstadt Mathildenplatz;49.874947;8.64986;12:24:00;12:24:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 0
Haltestelle;Darmstadt Luisenplatz;49.87269;8.651549;12:27:00;12:27:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 1
Haltestelle;Darmstadt Schloss;49.873047;8.655609;12:29:00;12:29:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 2
Haltestelle;Darmstadt Jugendstilbad;49.872852;8.662104;12:31:00;12:31:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 3
Haltestelle;Darmstadt Elisabethenst./Woog;49.87336;8.666919;12:32:00;12:32:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 4
Haltestelle;Darmstadt Ostbahnhof;49.87458;8.671914;12:33:00;12:33:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 5
Haltestelle;Gundernhausen Aussiedlerhöfe;49.872707;8.801343;12:46:00;12:46:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 6
Haltestelle;Groß-Zimmern Reithalle;49.871223;8.812212;12:48:00;12:48:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 7
Haltestelle;Groß-Zimmern Johannes-Ohl-Str.;49.872696;8.81983;12:50:00;12:50:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 8
Haltestelle;Groß-Zimmern Ponthierry-Platz;49.87211;8.828122;12:51:00;12:51:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 9
Haltestelle;Groß-Zimmern Friedensschule;49.874084;8.830484;12:54:00;12:54:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 10
Haltestelle;Groß-Zimmern B.-v.-Suttner-Str;49.87858;8.830233;12:55:00;12:55:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 11
