Typ;Name;Latitude;Longitude;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Haltestelle;Semd Schule;49.87557;8.889566;06:26:00;06:26:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 0
Haltestelle;Semd Kirche;49.874115;8.885973;06:27:00;06:27:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 1
Haltestelle;Klein-Zimmern Markstraße;49.868763;8.847031;06:36:00;06:36:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 2
Haltestelle;Groß-Zimmern Gersprenzbrücke;49.871956;8.836386;06:39:00;06:39:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 3
Haltestelle;Groß-Zimmern Friedhof;49.87034;8.832865;06:41:00;06:41:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 4
Haltestelle;Groß-Zimmern Friedensschule;49.87412;8.830313;06:45:00;06:45:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 5
Haltestelle;Groß-Zimmern Ponthierry-Platz;49.872227;8.827106;06:47:00;06:47:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 6
Haltestelle;Groß-Zimmern Johannes-Ohl-Str.;49.87272;8.819498;06:48:00;06:48:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 7
Haltestelle;Groß-Zimmern Reithalle;49.87129;8.811997;06:50:00;06:50:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 8
Haltestelle;Gundernhausen Aussiedlerhöfe;49.87269;8.801621;06:52:00;06:52:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 9
Haltestelle;Darmstadt Ostbahnhof;49.874775;8.672929;07:05:00;07:05:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 10
Haltestelle;Darmstadt Elisabethenst./Woog;49.873596;8.667611;07:06:00;07:06:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 11
Haltestelle;Darmstadt Jugendstilbad;49.8729;8.661996;07:07:00;07:07:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 12
Haltestelle;Darmstadt Schloss;49.87299;8.65587;07:10:00;07:10:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 13
Haltestelle;Darmstadt Luisenplatz;49.87276;8.650911;07:13:00;07:13:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 14
Haltestelle;Darmstadt Kirschenallee;49.874912;8.635011;07:17:00;07:17:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 15
Haltestelle;Darmstadt Hauptbahnhof;49.8723;8.63148;07:20:00;07:20:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 16
