Typ;Name;Latitude;Longitude;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Haltestelle;F Stadion/Straßenbahn;50.075413;8.653242;16:05:00;16:05:00;Kein Umlauf;Unbekannt;1279;Stop Seq 0
Haltestelle;F Oberforsthaus;50.07868;8.654155;16:06:00;16:06:00;Kein Umlauf;Unbekannt;1279;Stop Seq 1
Haltestelle;F DFB-Campus;50.08329;8.651285;16:08:00;16:08:00;Kein Umlauf;Unbekannt;1279;Stop Seq 2
Haltestelle;F Triftstraße;50.087082;8.650531;16:10:00;16:10:00;Kein Umlauf;Unbekannt;1279;Stop Seq 3
Haltestelle;F H.-Hoffmann-Str./Blutsp.dst.;50.09215;8.653066;16:13:00;16:13:00;Kein Umlauf;Unbekannt;1279;Stop Seq 4
Haltestelle;F Universitätsklinikum;50.096226;8.660038;16:15:00;16:15:00;Kein Umlauf;Unbekannt;1279;Stop Seq 5
Haltestelle;F Vogelweidstraße;50.097633;8.665241;16:17:00;16:17:00;Kein Umlauf;Unbekannt;1279;Stop Seq 6
Haltestelle;F Friedensbrücke;50.099327;8.668808;16:19:00;16:19:00;Kein Umlauf;Unbekannt;1279;Stop Seq 7
Haltestelle;F Baseler Platz;50.10451;8.664788;16:21:00;16:21:00;Kein Umlauf;Unbekannt;1279;Stop Seq 8
Haltestelle;Frankfurt Hauptbahnhof;50.106815;8.662661;16:23:00;16:23:00;Kein Umlauf;Unbekannt;1279;Stop Seq 9
