Typ;Name;Latitude;Longitude;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Haltestelle;Wilhelmsfeld, Autohalle;49.46306;8.763515;14:47:00;14:47:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 0
Haltestelle;Wilhelmsfeld, Rathaus;49.465504;8.760928;14:48:00;14:48:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 1
Haltestelle;Wilhelmsfeld, Wilhelmshöhe;49.468166;8.758322;14:49:00;14:49:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 2
Haltestelle;Wilhelmsfeld, Schriesheim. Hof;49.470215;8.754505;14:50:00;14:50:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 3
Haltestelle;Ziegelhausen, Langer Kirschb.;49.45909;8.751253;14:53:00;14:53:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 4
Haltestelle;Ziegelhausen, Heidebuckelweg;49.45068;8.75446;14:57:00;14:57:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 5
Haltestelle;Ziegelhausen, Schweizertalstr.;49.44822;8.753265;14:58:00;14:58:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 6
Haltestelle;Ziegelhausen, Löwen;49.444134;8.753687;14:59:00;14:59:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 7
Haltestelle;Ziegelhausen, Grüner Baum;49.43755;8.75198;15:01:00;15:01:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 8
Haltestelle;Ziegelhausen, Peterstaler Str.;49.43461;8.749097;15:02:00;15:02:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 9
Haltestelle;Ziegelhausen, Kreuzgrundweg;49.431904;8.747381;15:03:00;15:03:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 10
Haltestelle;Ziegelhausen, Fürstendamm;49.42804;8.749582;15:04:00;15:04:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 11
Haltestelle;Ziegelhausen, Mühldamm;49.425415;8.751522;15:05:00;15:05:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 12
Haltestelle;Ziegelhausen, Steinbacher Tal;49.422634;8.753786;15:07:00;15:07:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 13
Haltestelle;Ziegelhausen, Neckarschule;49.419285;8.756858;15:08:00;15:09:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 14
Haltestelle;Ziegelhausen, Neuer Weg;49.417355;8.752591;15:10:00;15:10:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 15
Haltestelle;Ziegelhausen, Neckarhelle;49.417343;8.74942;15:11:00;15:11:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 16
Haltestelle;Ziegelhausen, Stiftsmühle;49.417404;8.743914;15:12:00;15:12:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 17
Haltestelle;Ziegelhausen, Stift Neuburg;49.419254;8.735245;15:14:00;15:14:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 18
Haltestelle;Ziegelhausen, Haarlass;49.420128;8.730547;15:15:00;15:15:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 19
Haltestelle;Neuenheim, Hirschgasse;49.416004;8.71603;15:18:00;15:18:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 20
Haltestelle;Neuenheim, Alte Brücke Nord;49.415234;8.708861;15:20:00;15:20:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 21
Haltestelle;Neuenheim, Bergstraße;49.413757;8.694291;15:23:00;15:23:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 22
Haltestelle;Heidelberg, Bismarckplatz;49.41015;8.692943;15:26:00;15:27:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 23
Haltestelle;Heidelberg, Seegarten;49.40707;8.691506;15:29:00;15:29:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 24
Haltestelle;Heidelberg, Stadtbücherei;49.40607;8.685891;15:30:00;15:30:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 25
Haltestelle;Heidelberg, Stadtwerke;49.4055;8.682855;15:31:00;15:31:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 26
Haltestelle;Heidelberg, Hauptbahnhof;49.404278;8.677079;15:33:00;15:34:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 27
Haltestelle;Heidelberg, Montpellierbrücke;49.39968;8.676684;15:37:00;15:37:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 28
Haltestelle;Bahnstadt, Schwetz. Terrasse;49.399452;8.671599;15:39:00;15:39:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 29
Haltestelle;Bahnstadt, Hauptbahnhof Süd;49.4011;8.672381;15:40:00;15:40:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 30
