Typ;Name;Latitude;Longitude;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Haltestelle;Bahnstadt, Hauptbahnhof Süd;49.4011;8.672381;19:21:00;19:21:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 0
Haltestelle;Heidelberg, Czernybrücke;49.406666;8.671204;19:24:00;19:24:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 1
Haltestelle;Heidelberg, Hauptbahnhof;49.40468;8.676531;19:26:00;19:26:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 2
Haltestelle;Heidelberg, Stadtwerke;49.405064;8.682361;19:27:00;19:27:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 3
Haltestelle;Heidelberg, Stadtbücherei;49.406147;8.686448;19:29:00;19:29:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 4
Haltestelle;Heidelberg, Seegarten;49.40718;8.692323;19:31:00;19:31:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 5
Haltestelle;Heidelberg, Bismarckplatz;49.409534;8.693213;19:33:00;19:34:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 6
Haltestelle;Neuenheim, Bergstraße;49.413757;8.694291;19:36:00;19:36:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 7
Haltestelle;Neuenheim, Alte Brücke Nord;49.4152;8.709068;19:39:00;19:39:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 8
Haltestelle;Neuenheim, Hirschgasse;49.416218;8.716775;19:41:00;19:41:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 9
Haltestelle;Ziegelhausen, Haarlass;49.42015;8.729145;19:43:00;19:43:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 10
Haltestelle;Ziegelhausen, Stift Neuburg;49.419155;8.73546;19:44:00;19:44:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 11
Haltestelle;Ziegelhausen, Stiftsmühle;49.417515;8.744021;19:46:00;19:46:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 12
Haltestelle;Ziegelhausen, Neckarhelle;49.41737;8.747974;19:47:00;19:47:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 13
Haltestelle;Ziegelhausen, Neuer Weg;49.41735;8.75269;19:48:00;19:48:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 14
Haltestelle;Ziegelhausen, Neckarschule;49.419243;8.756903;19:50:00;19:50:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 15
Haltestelle;Ziegelhausen, Steinbacher Tal;49.42211;8.754603;19:51:00;19:51:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 16
Haltestelle;Ziegelhausen, Mühldamm;49.425144;8.751873;19:52:00;19:52:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 17
Haltestelle;Ziegelhausen, Fürstendamm;49.428513;8.749519;19:53:00;19:53:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 18
Haltestelle;Ziegelhausen, Kreuzgrundweg;49.43154;8.747749;19:54:00;19:54:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 19
Haltestelle;Ziegelhausen, Peterstaler Str.;49.43476;8.749285;19:55:00;19:55:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 20
Haltestelle;Ziegelhausen, Grüner Baum;49.437763;8.752043;19:56:00;19:56:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 21
Haltestelle;Ziegelhausen, Löwen;49.444576;8.754091;19:58:00;19:58:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 22
Haltestelle;Ziegelhausen, Schweizertalstr.;49.448364;8.7534;19:59:00;19:59:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 23
Haltestelle;Ziegelhausen, Heidebuckelweg;49.449806;8.754109;20:00:00;20:00:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 24
Haltestelle;Ziegelhausen, Langer Kirschb.;49.459007;8.751298;20:04:00;20:04:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 25
Haltestelle;Wilhelmsfeld, Schriesheim. Hof;49.470173;8.754397;20:07:00;20:07:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 26
Haltestelle;Wilhelmsfeld, Wilhelmshöhe;49.468124;8.758224;20:08:00;20:08:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 27
Haltestelle;Wilhelmsfeld, Rathaus;49.4655;8.760802;20:09:00;20:09:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 28
Haltestelle;Wilhelmsfeld, Autohalle;49.46306;8.763515;20:10:00;20:10:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 29
