Typ;Name;Latitude;Longitude;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Haltestelle;Ziegelhausen, Wendestelle Hbw;49.45273;8.751199;07:56:00;07:56:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 0
Haltestelle;Ziegelhausen, Heidebuckelweg;49.45068;8.75446;07:57:00;07:57:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 1
Haltestelle;Ziegelhausen, Schweizertalstr.;49.44822;8.753265;07:58:00;07:58:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 2
Haltestelle;Ziegelhausen, Löwen;49.444134;8.753687;07:59:00;07:59:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 3
Haltestelle;Ziegelhausen, Grüner Baum;49.43755;8.75198;08:01:00;08:01:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 4
Haltestelle;Ziegelhausen, Peterstaler Str.;49.43461;8.749097;08:02:00;08:02:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 5
Haltestelle;Ziegelhausen, Kreuzgrundweg;49.431904;8.747381;08:03:00;08:03:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 6
Haltestelle;Ziegelhausen, Fürstendamm;49.42804;8.749582;08:04:00;08:04:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 7
Haltestelle;Ziegelhausen, Mühldamm;49.425415;8.751522;08:05:00;08:05:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 8
Haltestelle;Ziegelhausen, Steinbacher Tal;49.422634;8.753786;08:07:00;08:07:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 9
Haltestelle;Ziegelhausen, Neckarschule;49.419285;8.756858;08:08:00;08:09:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 10
Haltestelle;Ziegelhausen, Neuer Weg;49.417355;8.752591;08:10:00;08:10:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 11
Haltestelle;Ziegelhausen, Neckarhelle;49.417343;8.74942;08:11:00;08:11:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 12
Haltestelle;Ziegelhausen, Stiftsmühle;49.417404;8.743914;08:12:00;08:12:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 13
Haltestelle;Ziegelhausen, Stift Neuburg;49.419254;8.735245;08:14:00;08:14:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 14
Haltestelle;Ziegelhausen, Haarlass;49.420128;8.730547;08:15:00;08:15:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 15
Haltestelle;Neuenheim, Hirschgasse;49.416004;8.71603;08:18:00;08:18:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 16
Haltestelle;Neuenheim, Alte Brücke Nord;49.415234;8.708861;08:20:00;08:20:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 17
Haltestelle;Neuenheim, Bergstraße;49.413757;8.694291;08:23:00;08:23:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 18
Haltestelle;Heidelberg, Bismarckplatz;49.41015;8.692943;08:26:00;08:27:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 19
Haltestelle;Heidelberg, Seegarten;49.40707;8.691506;08:29:00;08:29:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 20
Haltestelle;Heidelberg, Stadtbücherei;49.40607;8.685891;08:30:00;08:30:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 21
Haltestelle;Heidelberg, Stadtwerke;49.4055;8.682855;08:31:00;08:31:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 22
Haltestelle;Heidelberg, Hauptbahnhof;49.404278;8.677079;08:33:00;08:34:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 23
Haltestelle;Heidelberg, Montpellierbrücke;49.39968;8.676684;08:37:00;08:37:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 24
Haltestelle;Bahnstadt, Schwetz. Terrasse;49.399452;8.671599;08:39:00;08:39:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 25
Haltestelle;Bahnstadt, Hauptbahnhof Süd;49.4011;8.672381;08:40:00;08:40:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 26
