Typ;Name;Latitude;Longitude;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Haltestelle;Heidelberg, Hauptbahnhof;49.40468;8.676531;07:39:00;07:39:00;Kein Umlauf;Sa,So;1318;Stop Seq 0
Haltestelle;Heidelberg, Stadtwerke;49.405064;8.682361;07:40:00;07:40:00;Kein Umlauf;Sa,So;1318;Stop Seq 1
Haltestelle;Heidelberg, Stadtbücherei;49.406147;8.686448;07:42:00;07:42:00;Kein Umlauf;Sa,So;1318;Stop Seq 2
Haltestelle;Heidelberg, Seegarten;49.40718;8.692323;07:43:00;07:43:00;Kein Umlauf;Sa,So;1318;Stop Seq 3
Haltestelle;Heidelberg, Bismarckplatz;49.409534;8.693213;07:45:00;07:46:00;Kein Umlauf;Sa,So;1318;Stop Seq 4
Haltestelle;Neuenheim, Bergstraße;49.413757;8.694291;07:48:00;07:48:00;Kein Umlauf;Sa,So;1318;Stop Seq 5
Haltestelle;Neuenheim, Alte Brücke Nord;49.4152;8.709068;07:50:00;07:50:00;Kein Umlauf;Sa,So;1318;Stop Seq 6
Haltestelle;Neuenheim, Hirschgasse;49.416218;8.716775;07:51:00;07:51:00;Kein Umlauf;Sa,So;1318;Stop Seq 7
Haltestelle;Ziegelhausen, Haarlass;49.42015;8.729145;07:52:00;07:52:00;Kein Umlauf;Sa,So;1318;Stop Seq 8
Haltestelle;Ziegelhausen, Stift Neuburg;49.419155;8.73546;07:53:00;07:53:00;Kein Umlauf;Sa,So;1318;Stop Seq 9
Haltestelle;Ziegelhausen, Stiftsmühle;49.417515;8.744021;07:54:00;07:54:00;Kein Umlauf;Sa,So;1318;Stop Seq 10
Haltestelle;Ziegelhausen, Neckarhelle;49.41737;8.747974;07:55:00;07:55:00;Kein Umlauf;Sa,So;1318;Stop Seq 11
Haltestelle;Ziegelhausen, Neuer Weg;49.41735;8.75269;07:56:00;07:56:00;Kein Umlauf;Sa,So;1318;Stop Seq 12
Haltestelle;Ziegelhausen, Neckarschule;49.419243;8.756903;07:57:00;07:57:00;Kein Umlauf;Sa,So;1318;Stop Seq 13
Haltestelle;Ziegelhausen, Steinbacher Tal;49.42211;8.754603;07:58:00;07:58:00;Kein Umlauf;Sa,So;1318;Stop Seq 14
Haltestelle;Ziegelhausen, Mühldamm;49.425144;8.751873;07:59:00;07:59:00;Kein Umlauf;Sa,So;1318;Stop Seq 15
Haltestelle;Ziegelhausen, Fürstendamm;49.428513;8.749519;08:00:00;08:00:00;Kein Umlauf;Sa,So;1318;Stop Seq 16
Haltestelle;Ziegelhausen, Kreuzgrundweg;49.43154;8.747749;08:01:00;08:01:00;Kein Umlauf;Sa,So;1318;Stop Seq 17
Haltestelle;Ziegelhausen, Peterstaler Str.;49.43476;8.749285;08:02:00;08:02:00;Kein Umlauf;Sa,So;1318;Stop Seq 18
Haltestelle;Ziegelhausen, Grüner Baum;49.437763;8.752043;08:03:00;08:03:00;Kein Umlauf;Sa,So;1318;Stop Seq 19
Haltestelle;Ziegelhausen, Löwen;49.444576;8.754091;08:04:00;08:04:00;Kein Umlauf;Sa,So;1318;Stop Seq 20
Haltestelle;Ziegelhausen, Schweizertalstr.;49.448364;8.7534;08:05:00;08:05:00;Kein Umlauf;Sa,So;1318;Stop Seq 21
Haltestelle;Ziegelhausen, Heidebuckelweg;49.449806;8.754109;08:06:00;08:06:00;Kein Umlauf;Sa,So;1318;Stop Seq 22
