Typ;Name;Latitude;Longitude;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Haltestelle;Heiligkreuzsteinach, Marktpl.;49.48484;8.796788;09:16:00;09:16:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 0
Haltestelle;Altneudorf, Steinachbrücke;49.467068;8.801478;09:20:00;09:20:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 1
Haltestelle;Altneudorf, Im Hauskorb;49.46941;8.796878;09:21:00;09:21:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 2
Haltestelle;Wilhelmsfeld, Kettenschmiede;49.468857;8.789072;09:22:00;09:22:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 3
Haltestelle;Wilhelmsfeld, Unterdorf;49.466602;8.772354;09:24:00;09:24:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 4
Haltestelle;Wilhelmsfeld, Autohalle;49.46306;8.763515;09:27:00;09:27:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 5
Haltestelle;Wilhelmsfeld, Rathaus;49.465504;8.760928;09:28:00;09:28:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 6
Haltestelle;Wilhelmsfeld, Wilhelmshöhe;49.468166;8.758322;09:29:00;09:29:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 7
Haltestelle;Wilhelmsfeld, Schriesheim. Hof;49.470215;8.754505;09:30:00;09:30:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 8
Haltestelle;Ziegelhausen, Langer Kirschb.;49.45909;8.751253;09:33:00;09:33:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 9
Haltestelle;Ziegelhausen, Heidebuckelweg;49.45068;8.75446;09:37:00;09:37:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 10
Haltestelle;Ziegelhausen, Schweizertalstr.;49.44822;8.753265;09:38:00;09:38:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 11
Haltestelle;Ziegelhausen, Löwen;49.444134;8.753687;09:39:00;09:39:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 12
Haltestelle;Ziegelhausen, Grüner Baum;49.43755;8.75198;09:41:00;09:41:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 13
Haltestelle;Ziegelhausen, Peterstaler Str.;49.43461;8.749097;09:42:00;09:42:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 14
Haltestelle;Ziegelhausen, Kreuzgrundweg;49.431904;8.747381;09:43:00;09:43:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 15
Haltestelle;Ziegelhausen, Fürstendamm;49.42804;8.749582;09:44:00;09:44:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 16
Haltestelle;Ziegelhausen, Mühldamm;49.425415;8.751522;09:45:00;09:45:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 17
Haltestelle;Ziegelhausen, Steinbacher Tal;49.422634;8.753786;09:47:00;09:47:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 18
Haltestelle;Ziegelhausen, Neckarschule;49.419285;8.756858;09:48:00;09:49:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 19
Haltestelle;Ziegelhausen, Neuer Weg;49.417355;8.752591;09:50:00;09:50:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 20
Haltestelle;Ziegelhausen, Neckarhelle;49.417343;8.74942;09:51:00;09:51:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 21
Haltestelle;Ziegelhausen, Stiftsmühle;49.417404;8.743914;09:52:00;09:52:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 22
Haltestelle;Ziegelhausen, Stift Neuburg;49.419254;8.735245;09:54:00;09:54:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 23
Haltestelle;Ziegelhausen, Haarlass;49.420128;8.730547;09:55:00;09:55:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 24
Haltestelle;Neuenheim, Hirschgasse;49.416004;8.71603;09:58:00;09:58:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 25
Haltestelle;Neuenheim, Alte Brücke Nord;49.415234;8.708861;10:00:00;10:00:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 26
Haltestelle;Neuenheim, Bergstraße;49.413757;8.694291;10:03:00;10:03:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 27
Haltestelle;Heidelberg, Bismarckplatz;49.41015;8.692943;10:06:00;10:07:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 28
Haltestelle;Heidelberg, Seegarten;49.40707;8.691506;10:09:00;10:09:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 29
Haltestelle;Heidelberg, Stadtbücherei;49.40607;8.685891;10:10:00;10:10:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 30
Haltestelle;Heidelberg, Stadtwerke;49.4055;8.682855;10:11:00;10:11:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 31
Haltestelle;Heidelberg, Hauptbahnhof;49.404278;8.677079;10:13:00;10:14:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 32
Haltestelle;Heidelberg, Montpellierbrücke;49.39968;8.676684;10:17:00;10:17:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 33
Haltestelle;Bahnstadt, Schwetz. Terrasse;49.399452;8.671599;10:19:00;10:19:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 34
Haltestelle;Bahnstadt, Hauptbahnhof Süd;49.4011;8.672381;10:20:00;10:20:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 35
