Typ;Name;Latitude;Longitude;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Haltestelle;Heidelberg, Hauptbahnhof;49.40468;8.676531;09:09:00;09:09:00;Kein Umlauf;Sa,So;1318;Stop Seq 0
Haltestelle;Heidelberg, Stadtwerke;49.405064;8.682361;09:10:00;09:10:00;Kein Umlauf;Sa,So;1318;Stop Seq 1
Haltestelle;Heidelberg, Stadtbücherei;49.406147;8.686448;09:12:00;09:12:00;Kein Umlauf;Sa,So;1318;Stop Seq 2
Haltestelle;Heidelberg, Seegarten;49.40718;8.692323;09:13:00;09:13:00;Kein Umlauf;Sa,So;1318;Stop Seq 3
Haltestelle;Heidelberg, Bismarckplatz;49.409534;8.693213;09:15:00;09:16:00;Kein Umlauf;Sa,So;1318;Stop Seq 4
Haltestelle;Neuenheim, Bergstraße;49.413757;8.694291;09:18:00;09:18:00;Kein Umlauf;Sa,So;1318;Stop Seq 5
Haltestelle;Neuenheim, Alte Brücke Nord;49.4152;8.709068;09:20:00;09:20:00;Kein Umlauf;Sa,So;1318;Stop Seq 6
Haltestelle;Neuenheim, Hirschgasse;49.416218;8.716775;09:21:00;09:21:00;Kein Umlauf;Sa,So;1318;Stop Seq 7
Haltestelle;Ziegelhausen, Haarlass;49.42015;8.729145;09:22:00;09:22:00;Kein Umlauf;Sa,So;1318;Stop Seq 8
Haltestelle;Ziegelhausen, Stift Neuburg;49.419155;8.73546;09:23:00;09:23:00;Kein Umlauf;Sa,So;1318;Stop Seq 9
Haltestelle;Ziegelhausen, Stiftsmühle;49.417515;8.744021;09:24:00;09:24:00;Kein Umlauf;Sa,So;1318;Stop Seq 10
Haltestelle;Ziegelhausen, Neckarhelle;49.41737;8.747974;09:25:00;09:25:00;Kein Umlauf;Sa,So;1318;Stop Seq 11
Haltestelle;Ziegelhausen, Neuer Weg;49.41735;8.75269;09:26:00;09:26:00;Kein Umlauf;Sa,So;1318;Stop Seq 12
Haltestelle;Ziegelhausen, Neckarschule;49.419243;8.756903;09:27:00;09:27:00;Kein Umlauf;Sa,So;1318;Stop Seq 13
Haltestelle;Ziegelhausen, Steinbacher Tal;49.42211;8.754603;09:28:00;09:28:00;Kein Umlauf;Sa,So;1318;Stop Seq 14
Haltestelle;Ziegelhausen, Mühldamm;49.425144;8.751873;09:29:00;09:29:00;Kein Umlauf;Sa,So;1318;Stop Seq 15
Haltestelle;Ziegelhausen, Fürstendamm;49.428513;8.749519;09:30:00;09:30:00;Kein Umlauf;Sa,So;1318;Stop Seq 16
Haltestelle;Ziegelhausen, Kreuzgrundweg;49.43154;8.747749;09:31:00;09:31:00;Kein Umlauf;Sa,So;1318;Stop Seq 17
Haltestelle;Ziegelhausen, Peterstaler Str.;49.43476;8.749285;09:32:00;09:32:00;Kein Umlauf;Sa,So;1318;Stop Seq 18
Haltestelle;Ziegelhausen, Grüner Baum;49.437763;8.752043;09:33:00;09:33:00;Kein Umlauf;Sa,So;1318;Stop Seq 19
Haltestelle;Ziegelhausen, Löwen;49.444576;8.754091;09:34:00;09:34:00;Kein Umlauf;Sa,So;1318;Stop Seq 20
Haltestelle;Ziegelhausen, Schweizertalstr.;49.448364;8.7534;09:35:00;09:35:00;Kein Umlauf;Sa,So;1318;Stop Seq 21
Haltestelle;Ziegelhausen, Heidebuckelweg;49.449806;8.754109;09:36:00;09:36:00;Kein Umlauf;Sa,So;1318;Stop Seq 22
Haltestelle;Ziegelhausen, Langer Kirschb.;49.459007;8.751298;09:40:00;09:40:00;Kein Umlauf;Sa,So;1318;Stop Seq 23
Haltestelle;Wilhelmsfeld, Schriesheim. Hof;49.470173;8.754397;09:43:00;09:43:00;Kein Umlauf;Sa,So;1318;Stop Seq 24
Haltestelle;Wilhelmsfeld, Wilhelmshöhe;49.468124;8.758224;09:44:00;09:44:00;Kein Umlauf;Sa,So;1318;Stop Seq 25
Haltestelle;Wilhelmsfeld, Rathaus;49.4655;8.760802;09:45:00;09:45:00;Kein Umlauf;Sa,So;1318;Stop Seq 26
Haltestelle;Wilhelmsfeld, Autohalle;49.46306;8.763515;09:46:00;09:46:00;Kein Umlauf;Sa,So;1318;Stop Seq 27
Haltestelle;Wilhelmsfeld, Unterdorf;49.466637;8.772794;09:48:00;09:48:00;Kein Umlauf;Sa,So;1318;Stop Seq 28
Haltestelle;Wilhelmsfeld, Kettenschmiede;49.46893;8.787778;09:50:00;09:50:00;Kein Umlauf;Sa,So;1318;Stop Seq 29
Haltestelle;Altneudorf, Im Hauskorb;49.469334;8.796339;09:51:00;09:51:00;Kein Umlauf;Sa,So;1318;Stop Seq 30
Haltestelle;Altneudorf, Steinachbrücke;49.467;8.801424;09:52:00;09:52:00;Kein Umlauf;Sa,So;1318;Stop Seq 31
Haltestelle;Heiligkreuzsteinach, Marktpl.;49.48476;8.796896;09:56:00;09:56:00;Kein Umlauf;Sa,So;1318;Stop Seq 32
Haltestelle;Heiligkreuzsteinach, Schule;49.48532;8.795773;09:57:00;09:57:00;Kein Umlauf;Sa,So;1318;Stop Seq 33
