Typ;Name;Latitude;Longitude;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Haltestelle;Wilhelmsfeld, Autohalle;49.46306;8.763515;13:27:00;13:27:00;Kein Umlauf;Unbekannt;133;Stop Seq 0
Haltestelle;Wilhelmsfeld, Rathaus;49.465504;8.760928;13:27:00;13:27:00;Kein Umlauf;Unbekannt;133;Stop Seq 1
Haltestelle;Wilhelmsfeld, Wilhelmshöhe;49.468166;8.758322;13:28:00;13:28:00;Kein Umlauf;Unbekannt;133;Stop Seq 2
Haltestelle;Wilhelmsfeld, Schriesheim. Hof;49.470215;8.754505;13:29:00;13:30:00;Kein Umlauf;Unbekannt;133;Stop Seq 3
Haltestelle;Ziegelhausen, Langer Kirschb.;49.45909;8.751253;13:32:00;13:32:00;Kein Umlauf;Unbekannt;133;Stop Seq 4
Haltestelle;Ziegelhausen, Heidebuckelweg;49.45068;8.75446;13:37:00;13:37:00;Kein Umlauf;Unbekannt;133;Stop Seq 5
Haltestelle;Ziegelhausen, Schweizertalstr.;49.44822;8.753265;13:37:00;13:37:00;Kein Umlauf;Unbekannt;133;Stop Seq 6
Haltestelle;Ziegelhausen, Löwen;49.444134;8.753687;13:38:00;13:38:00;Kein Umlauf;Unbekannt;133;Stop Seq 7
Haltestelle;Ziegelhausen, Grüner Baum;49.43755;8.75198;13:40:00;13:40:00;Kein Umlauf;Unbekannt;133;Stop Seq 8
Haltestelle;Ziegelhausen, Peterstaler Str.;49.43461;8.749097;13:41:00;13:41:00;Kein Umlauf;Unbekannt;133;Stop Seq 9
Haltestelle;Ziegelhausen, Rainweg;49.43023;8.746743;13:42:00;13:42:00;Kein Umlauf;Unbekannt;133;Stop Seq 10
Haltestelle;Ziegelhausen, Mittler. Rainweg;49.426132;8.74659;13:43:00;13:43:00;Kein Umlauf;Unbekannt;133;Stop Seq 11
Haltestelle;Ziegelhausen, Stift Neuburg;49.419155;8.73546;13:45:00;13:45:00;Kein Umlauf;Unbekannt;133;Stop Seq 12
Haltestelle;Ziegelhausen, Neckarschule;49.419285;8.756858;13:46:00;13:46:00;Kein Umlauf;Unbekannt;133;Stop Seq 13
Haltestelle;Ziegelhausen, Neuer Weg;49.417355;8.752591;13:47:00;13:47:00;Kein Umlauf;Unbekannt;133;Stop Seq 14
Haltestelle;Ziegelhausen, Neckarhelle;49.417343;8.74942;13:48:00;13:48:00;Kein Umlauf;Unbekannt;133;Stop Seq 15
Haltestelle;Ziegelhausen, Stiftsmühle;49.417404;8.743914;13:49:00;13:49:00;Kein Umlauf;Unbekannt;133;Stop Seq 16
Haltestelle;Ziegelhausen, Stift Neuburg;49.419254;8.735245;13:50:00;13:50:00;Kein Umlauf;Unbekannt;133;Stop Seq 17
Haltestelle;Ziegelhausen, Haarlass;49.420128;8.730547;13:51:00;13:51:00;Kein Umlauf;Unbekannt;133;Stop Seq 18
Haltestelle;Neuenheim, Hirschgasse;49.416004;8.71603;13:53:00;13:53:00;Kein Umlauf;Unbekannt;133;Stop Seq 19
Haltestelle;Neuenheim, Alte Brücke Nord;49.415234;8.708861;13:54:00;13:54:00;Kein Umlauf;Unbekannt;133;Stop Seq 20
Haltestelle;Neuenheim, Bergstraße;49.413757;8.694291;13:57:00;13:57:00;Kein Umlauf;Unbekannt;133;Stop Seq 21
Haltestelle;Heidelberg, Bismarckplatz;49.41015;8.692943;14:00:00;14:00:00;Kein Umlauf;Unbekannt;133;Stop Seq 22
Haltestelle;Heidelberg, Seegarten;49.40707;8.691506;14:02:00;14:02:00;Kein Umlauf;Unbekannt;133;Stop Seq 23
Haltestelle;Heidelberg, Stadtbücherei;49.40607;8.685891;14:03:00;14:03:00;Kein Umlauf;Unbekannt;133;Stop Seq 24
Haltestelle;Heidelberg, Stadtwerke;49.4055;8.682855;14:05:00;14:05:00;Kein Umlauf;Unbekannt;133;Stop Seq 25
Haltestelle;Heidelberg, Hauptbahnhof;49.404278;8.677079;14:06:00;14:06:00;Kein Umlauf;Unbekannt;133;Stop Seq 26
