Typ;Name;Latitude;Longitude;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Haltestelle;Heidelberg, Hauptbahnhof;49.40468;8.676531;13:39:00;13:39:00;Kein Umlauf;Unbekannt;133;Stop Seq 0
Haltestelle;Heidelberg, Stadtwerke;49.405064;8.682361;13:40:00;13:40:00;Kein Umlauf;Unbekannt;133;Stop Seq 1
Haltestelle;Heidelberg, Stadtbücherei;49.406147;8.686448;13:42:00;13:42:00;Kein Umlauf;Unbekannt;133;Stop Seq 2
Haltestelle;Heidelberg, Seegarten;49.40718;8.692323;13:43:00;13:43:00;Kein Umlauf;Unbekannt;133;Stop Seq 3
Haltestelle;Heidelberg, Bismarckplatz;49.409534;8.693213;13:45:00;13:46:00;Kein Umlauf;Unbekannt;133;Stop Seq 4
Haltestelle;Neuenheim, Bergstraße;49.413757;8.694291;13:48:00;13:48:00;Kein Umlauf;Unbekannt;133;Stop Seq 5
Haltestelle;Neuenheim, Alte Brücke Nord;49.4152;8.709068;13:50:00;13:50:00;Kein Umlauf;Unbekannt;133;Stop Seq 6
Haltestelle;Neuenheim, Hirschgasse;49.416218;8.716775;13:51:00;13:51:00;Kein Umlauf;Unbekannt;133;Stop Seq 7
Haltestelle;Ziegelhausen, Haarlass;49.42015;8.729145;13:52:00;13:52:00;Kein Umlauf;Unbekannt;133;Stop Seq 8
Haltestelle;Ziegelhausen, Köpfel;49.42314;8.742782;13:59:00;13:59:00;Kein Umlauf;Unbekannt;133;Stop Seq 9
