Typ;Name;Latitude;Longitude;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Haltestelle;Bahnstadt, Hauptbahnhof Süd;49.4011;8.672381;07:21:00;07:21:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 0
Haltestelle;Heidelberg, Czernybrücke;49.406666;8.671204;07:24:00;07:24:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 1
Haltestelle;Heidelberg, Hauptbahnhof;49.40468;8.676531;07:26:00;07:26:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 2
Haltestelle;Heidelberg, Stadtwerke;49.405064;8.682361;07:27:00;07:27:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 3
Haltestelle;Heidelberg, Stadtbücherei;49.406147;8.686448;07:29:00;07:29:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 4
Haltestelle;Heidelberg, Seegarten;49.40718;8.692323;07:31:00;07:31:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 5
Haltestelle;Heidelberg, Bismarckplatz;49.409534;8.693213;07:33:00;07:34:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 6
Haltestelle;Neuenheim, Bergstraße;49.413757;8.694291;07:36:00;07:36:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 7
Haltestelle;Neuenheim, Alte Brücke Nord;49.4152;8.709068;07:39:00;07:39:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 8
Haltestelle;Neuenheim, Hirschgasse;49.416218;8.716775;07:41:00;07:41:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 9
Haltestelle;Ziegelhausen, Haarlass;49.42015;8.729145;07:43:00;07:43:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 10
Haltestelle;Ziegelhausen, Stift Neuburg;49.419155;8.73546;07:44:00;07:44:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 11
Haltestelle;Ziegelhausen, Stiftsmühle;49.417515;8.744021;07:46:00;07:46:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 12
Haltestelle;Ziegelhausen, Neckarhelle;49.41737;8.747974;07:47:00;07:47:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 13
Haltestelle;Ziegelhausen, Neuer Weg;49.41735;8.75269;07:48:00;07:48:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 14
Haltestelle;Ziegelhausen, Neckarschule;49.419243;8.756903;07:50:00;07:50:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 15
Haltestelle;Ziegelhausen, Steinbacher Tal;49.42211;8.754603;07:51:00;07:51:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 16
Haltestelle;Ziegelhausen, Mühldamm;49.425144;8.751873;07:52:00;07:52:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 17
Haltestelle;Ziegelhausen, Fürstendamm;49.428513;8.749519;07:53:00;07:53:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 18
Haltestelle;Ziegelhausen, Kreuzgrundweg;49.43154;8.747749;07:54:00;07:54:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 19
Haltestelle;Ziegelhausen, Peterstaler Str.;49.43476;8.749285;07:55:00;07:55:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 20
Haltestelle;Ziegelhausen, Grüner Baum;49.437763;8.752043;07:56:00;07:56:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 21
Haltestelle;Ziegelhausen, Löwen;49.444576;8.754091;07:58:00;07:58:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 22
Haltestelle;Ziegelhausen, Schweizertalstr.;49.448364;8.7534;07:59:00;07:59:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 23
Haltestelle;Ziegelhausen, Heidebuckelweg;49.449806;8.754109;08:00:00;08:00:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 24
