Typ;Name;Latitude;Longitude;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Haltestelle;Heiligkreuzsteinach, Schule;49.48532;8.795773;05:15:00;05:15:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 0
Haltestelle;Heiligkreuzsteinach, Marktpl.;49.48484;8.796788;05:16:00;05:16:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 1
Haltestelle;Altneudorf, Steinachbrücke;49.467068;8.801478;05:20:00;05:20:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 2
Haltestelle;Altneudorf, Im Hauskorb;49.46941;8.796878;05:21:00;05:21:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 3
Haltestelle;Wilhelmsfeld, Kettenschmiede;49.468857;8.789072;05:22:00;05:22:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 4
Haltestelle;Wilhelmsfeld, Unterdorf;49.466602;8.772354;05:24:00;05:24:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 5
Haltestelle;Wilhelmsfeld, Autohalle;49.46306;8.763515;05:27:00;05:27:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 6
Haltestelle;Wilhelmsfeld, Rathaus;49.465504;8.760928;05:28:00;05:28:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 7
Haltestelle;Wilhelmsfeld, Wilhelmshöhe;49.468166;8.758322;05:29:00;05:29:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 8
Haltestelle;Wilhelmsfeld, Schriesheim. Hof;49.470215;8.754505;05:30:00;05:30:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 9
Haltestelle;Ziegelhausen, Langer Kirschb.;49.45909;8.751253;05:33:00;05:33:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 10
Haltestelle;Ziegelhausen, Heidebuckelweg;49.45068;8.75446;05:37:00;05:37:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 11
Haltestelle;Ziegelhausen, Schweizertalstr.;49.44822;8.753265;05:38:00;05:38:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 12
Haltestelle;Ziegelhausen, Löwen;49.444134;8.753687;05:39:00;05:39:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 13
Haltestelle;Ziegelhausen, Grüner Baum;49.43755;8.75198;05:41:00;05:41:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 14
Haltestelle;Ziegelhausen, Peterstaler Str.;49.43461;8.749097;05:42:00;05:42:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 15
Haltestelle;Ziegelhausen, Kreuzgrundweg;49.431904;8.747381;05:43:00;05:43:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 16
Haltestelle;Ziegelhausen, Fürstendamm;49.42804;8.749582;05:44:00;05:44:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 17
Haltestelle;Ziegelhausen, Mühldamm;49.425415;8.751522;05:45:00;05:45:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 18
Haltestelle;Ziegelhausen, Steinbacher Tal;49.422634;8.753786;05:47:00;05:47:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 19
Haltestelle;Ziegelhausen, Neckarschule;49.419285;8.756858;05:48:00;05:49:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 20
Haltestelle;Ziegelhausen, Neuer Weg;49.417355;8.752591;05:50:00;05:50:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 21
Haltestelle;Ziegelhausen, Neckarhelle;49.417343;8.74942;05:51:00;05:51:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 22
