Typ;Name;Latitude;Longitude;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Haltestelle;Heidelberg, Hauptbahnhof;49.404163;8.677789;05:51:00;05:51:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 0
Haltestelle;Heidelberg, Stadtbücherei;49.406147;8.686448;05:54:00;05:54:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 1
Haltestelle;Heidelberg, Seegarten;49.40718;8.692323;05:55:00;05:56:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 2
Haltestelle;Heidelberg, Bismarckplatz;49.40995;8.692907;05:58:00;06:00:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 3
Haltestelle;Heidelberg, Hans-Böckler-Str.;49.40551;8.692512;06:02:00;06:02:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 4
Haltestelle;Heidelberg, Kaiserstraße;49.402435;8.691596;06:03:00;06:03:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 5
Haltestelle;Heidelberg, Alois-Link-Platz;49.39998;8.691254;06:04:00;06:04:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 6
Haltestelle;Heidelberg, Steigerweg;49.396904;8.694776;06:05:00;06:05:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 7
Haltestelle;Heidelberg, Rohrbacher Grenzw.;49.396233;8.696761;06:07:00;06:07:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 8
Haltestelle;Heidelberg, Speyererhof;49.39553;8.709346;06:11:00;06:11:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 9
Haltestelle;Heidelberg, Kühruhweg;49.393795;8.708583;06:12:00;06:12:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 10
Haltestelle;Heidelberg, Bierhelderhhof;49.3901;8.705088;06:13:00;06:13:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 11
Haltestelle;Heidelberg, MPI Kernphysik;49.38884;8.707622;06:14:00;06:14:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 12
Haltestelle;Heidelberg, Drei Eichen;49.380157;8.723854;06:19:00;06:19:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 13
Haltestelle;Heidelberg, Posseltslust;49.384655;8.733574;06:21:00;06:21:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 14
Haltestelle;Heidelberg, Alter Kohlhof;49.388214;8.731077;06:22:00;06:22:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 15
Haltestelle;Heidelberg, Kohlhof-Fachklinik;49.38941;8.735101;06:23:00;06:23:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 16
Haltestelle;Heidelberg, Sternwarte;49.400692;8.727376;06:26:00;06:26:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 17
Haltestelle;Heidelberg, Königstuhl;49.402645;8.72778;06:28:00;06:28:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446;Stop Seq 18
