Typ;Name;Latitude;Longitude;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Haltestelle;Neuenheim, Technologiepark;49.41865;8.675067;06:45:00;06:45:00;Kein Umlauf;Sa;881;Stop Seq 0
Haltestelle;Neuenheim, Technologiepark;49.419563;8.675489;06:46:00;06:46:00;Kein Umlauf;Sa;881;Stop Seq 1
Haltestelle;Neuenheim, Bunsengymnasium;49.41686;8.676782;06:47:00;06:47:00;Kein Umlauf;Sa;881;Stop Seq 2
Haltestelle;Neuenheim, Wielandtstraße;49.417377;8.681795;06:48:00;06:48:00;Kein Umlauf;Sa;881;Stop Seq 3
Haltestelle;Neuenheim, Mönchhofschule;49.41735;8.687221;06:49:00;06:49:00;Kein Umlauf;Sa;881;Stop Seq 4
Haltestelle;Neuenheim, Lutherstraße;49.41722;8.691155;06:50:00;06:50:00;Kein Umlauf;Sa;881;Stop Seq 5
Haltestelle;Neuenheim, Brückenstraße;49.415276;8.692099;06:52:00;06:52:00;Kein Umlauf;Sa;881;Stop Seq 6
Haltestelle;Heidelberg, Bismarckplatz;49.40995;8.692907;06:55:00;07:00:00;Kein Umlauf;Sa;881;Stop Seq 7
Haltestelle;Heidelberg, Hans-Böckler-Str.;49.40551;8.692512;07:02:00;07:02:00;Kein Umlauf;Sa;881;Stop Seq 8
Haltestelle;Heidelberg, Kaiserstraße;49.402435;8.691596;07:03:00;07:03:00;Kein Umlauf;Sa;881;Stop Seq 9
Haltestelle;Heidelberg, Alois-Link-Platz;49.39998;8.691254;07:04:00;07:04:00;Kein Umlauf;Sa;881;Stop Seq 10
Haltestelle;Heidelberg, Steigerweg;49.396904;8.694776;07:05:00;07:05:00;Kein Umlauf;Sa;881;Stop Seq 11
Haltestelle;Heidelberg, Rohrbacher Grenzw.;49.396233;8.696761;07:07:00;07:07:00;Kein Umlauf;Sa;881;Stop Seq 12
Haltestelle;Heidelberg, Speyererhof;49.39553;8.709346;07:11:00;07:11:00;Kein Umlauf;Sa;881;Stop Seq 13
Haltestelle;Heidelberg, Kühruhweg;49.393795;8.708583;07:12:00;07:12:00;Kein Umlauf;Sa;881;Stop Seq 14
Haltestelle;Heidelberg, Bierhelderhhof;49.3901;8.705088;07:13:00;07:13:00;Kein Umlauf;Sa;881;Stop Seq 15
Haltestelle;Heidelberg, MPI Kernphysik;49.38884;8.707622;07:14:00;07:14:00;Kein Umlauf;Sa;881;Stop Seq 16
Haltestelle;Heidelberg, Drei Eichen;49.380157;8.723854;07:19:00;07:19:00;Kein Umlauf;Sa;881;Stop Seq 17
Haltestelle;Heidelberg, Posseltslust;49.384655;8.733574;07:21:00;07:21:00;Kein Umlauf;Sa;881;Stop Seq 18
Haltestelle;Heidelberg, Alter Kohlhof;49.388214;8.731077;07:22:00;07:22:00;Kein Umlauf;Sa;881;Stop Seq 19
Haltestelle;Heidelberg, Kohlhof-Fachklinik;49.38941;8.735101;07:23:00;07:23:00;Kein Umlauf;Sa;881;Stop Seq 20
Haltestelle;Heidelberg, Sternwarte;49.400692;8.727376;07:26:00;07:26:00;Kein Umlauf;Sa;881;Stop Seq 21
Haltestelle;Heidelberg, Königstuhl;49.402645;8.72778;07:28:00;07:28:00;Kein Umlauf;Sa;881;Stop Seq 22
