Typ;Name;Latitude;Longitude;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Haltestelle;Bensheim, Bahnhof;49.681885;8.617305;17:53:00;17:53:00;Kein Umlauf;So;1372;Stop Seq 0
Haltestelle;Bensheim, Bahnhof/Amersham-Platz;49.680965;8.617655;17:54:00;17:54:00;Kein Umlauf;So;1372;Stop Seq 1
Haltestelle;Bensheim, Heilig-Geist-Hospit.;49.677837;8.620988;17:57:00;17:57:00;Kein Umlauf;So;1372;Stop Seq 2
Haltestelle;Bensheim, Caritasheim;49.67356;8.624087;17:59:00;17:59:00;Kein Umlauf;So;1372;Stop Seq 3
Haltestelle;Bensheim, Arminstraße;49.67;8.626477;18:00:00;18:00:00;Kein Umlauf;So;1372;Stop Seq 4
Haltestelle;Bensheim, Hemsberg;49.66709;8.629145;18:01:00;18:01:00;Kein Umlauf;So;1372;Stop Seq 5
Haltestelle;Heppenheim, Am Landberg;49.65544;8.636017;18:03:00;18:03:00;Kein Umlauf;So;1372;Stop Seq 6
Haltestelle;Heppenheim, Kettelerstraße;49.649055;8.638299;18:04:00;18:04:00;Kein Umlauf;So;1372;Stop Seq 7
Haltestelle;Heppenheim, Halber Mond;49.641838;8.638963;18:06:00;18:06:00;Kein Umlauf;So;1372;Stop Seq 8
Haltestelle;Heppenheim, Zollhausstraße/B3;49.638126;8.640949;18:07:00;18:07:00;Kein Umlauf;So;1372;Stop Seq 9
Haltestelle;Heppenheim,Bgm-Metzendorf-Str.;49.63604;8.639242;18:08:00;18:08:00;Kein Umlauf;So;1372;Stop Seq 10
Haltestelle;Heppenheim, Stadion/Freibad;49.637913;8.635199;18:09:00;18:09:00;Kein Umlauf;So;1372;Stop Seq 11
Haltestelle;Heppenheim, Bahnhof;49.640984;8.634112;18:10:00;18:11:00;Kein Umlauf;So;1372;Stop Seq 12
Haltestelle;Heppenheim, Stadion/Freibad;49.637825;8.635146;18:12:00;18:12:00;Kein Umlauf;So;1372;Stop Seq 13
Haltestelle;Heppenheim, Erbachwiesenweg;49.633698;8.633915;18:14:00;18:14:00;Kein Umlauf;So;1372;Stop Seq 14
Haltestelle;Heppenheim, Hüttenfelder Str.;49.632717;8.630331;18:16:00;18:16:00;Kein Umlauf;So;1372;Stop Seq 15
Haltestelle;Heppenheim, Kreiskrankenhaus;49.62969;8.625578;18:19:00;18:19:00;Kein Umlauf;So;1372;Stop Seq 16
Haltestelle;Heppenheim, Donnersbergstraße;49.63332;8.621069;18:22:00;18:22:00;Kein Umlauf;So;1372;Stop Seq 17
Haltestelle;Heppenheim, Gießener Straße;49.632275;8.625057;18:23:00;18:23:00;Kein Umlauf;So;1372;Stop Seq 18
