Typ;Name;Latitude;Longitude;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Haltestelle;Heppenheim, Gießener Straße;49.632275;8.625057;24:38:00;24:38:00;Kein Umlauf;Fr;1197;Stop Seq 0
Haltestelle;Heppenheim, Kreiskrankenhaus;49.62969;8.625578;24:40:00;24:40:00;Kein Umlauf;Fr;1197;Stop Seq 1
Haltestelle;Heppenheim, Hüttenfelder Str.;49.632584;8.630268;24:43:00;24:43:00;Kein Umlauf;Fr;1197;Stop Seq 2
Haltestelle;Heppenheim, Erbachwiesenweg;49.633904;8.633969;24:45:00;24:45:00;Kein Umlauf;Fr;1197;Stop Seq 3
Haltestelle;Heppenheim, Stadion/Freibad;49.637913;8.635199;24:47:00;24:47:00;Kein Umlauf;Fr;1197;Stop Seq 4
Haltestelle;Heppenheim, Bahnhof;49.640984;8.634112;24:48:00;24:49:00;Kein Umlauf;Fr;1197;Stop Seq 5
Haltestelle;Heppenheim, Stadion/Freibad;49.637825;8.635146;24:50:00;24:50:00;Kein Umlauf;Fr;1197;Stop Seq 6
Haltestelle;Heppenheim,Bgm-Metzendorf-Str.;49.63582;8.639278;24:51:00;24:51:00;Kein Umlauf;Fr;1197;Stop Seq 7
Haltestelle;Heppenheim, Zollhausstraße/B3;49.638344;8.641083;24:53:00;24:53:00;Kein Umlauf;Fr;1197;Stop Seq 8
Haltestelle;Heppenheim, Niedermühlstraße;49.643467;8.639251;24:55:00;24:55:00;Kein Umlauf;Fr;1197;Stop Seq 9
Haltestelle;Heppenheim, Winzergen.;49.648296;8.638721;24:57:00;24:57:00;Kein Umlauf;Fr;1197;Stop Seq 10
Haltestelle;Heppenheim, Am Landberg;49.65554;8.636152;24:59:00;24:59:00;Kein Umlauf;Fr;1197;Stop Seq 11
Haltestelle;Bensheim, Hemsberg;49.66714;8.629333;25:01:00;25:01:00;Kein Umlauf;Fr;1197;Stop Seq 12
Haltestelle;Bensheim, Arminstraße;49.669964;8.626585;25:02:00;25:02:00;Kein Umlauf;Fr;1197;Stop Seq 13
Haltestelle;Bensheim, Caritasheim;49.673466;8.624258;25:03:00;25:03:00;Kein Umlauf;Fr;1197;Stop Seq 14
Haltestelle;Bensheim, Heilig-Geist-Hospit.;49.677948;8.620862;25:05:00;25:05:00;Kein Umlauf;Fr;1197;Stop Seq 15
Haltestelle;Bensheim, Bahnhof/Amersham-Platz;49.68096;8.617961;25:07:00;25:07:00;Kein Umlauf;Fr;1197;Stop Seq 16
Haltestelle;Bensheim, Bahnhof;49.681885;8.617305;25:09:00;25:09:00;Kein Umlauf;Fr;1197;Stop Seq 17
