Typ;Name;Latitude;Longitude;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Haltestelle;Heppenheim, Bahnhof;49.641163;8.633807;19:00:00;19:00:00;Kein Umlauf;Sa,So;1318;Stop Seq 0
Haltestelle;Heppenheim, Lessingstraße;49.63908;8.62954;19:03:00;19:03:00;Kein Umlauf;Sa,So;1318;Stop Seq 1
Haltestelle;Heppenheim, Str.der Heimkehrer;49.63765;8.62556;19:04:00;19:04:00;Kein Umlauf;Sa,So;1318;Stop Seq 2
Haltestelle;Heppenheim, Langnese;49.63661;8.618347;19:06:00;19:06:00;Kein Umlauf;Sa,So;1318;Stop Seq 3
Haltestelle;Heppenheim, Von-Humboldt-Str.;49.641636;8.617637;19:07:00;19:07:00;Kein Umlauf;Sa,So;1318;Stop Seq 4
Haltestelle;Heppenheim, Europaplatz;49.642036;8.623503;19:09:00;19:09:00;Kein Umlauf;Sa,So;1318;Stop Seq 5
Haltestelle;Heppenheim, Christuskirche;49.64096;8.629836;19:12:00;19:12:00;Kein Umlauf;Sa,So;1318;Stop Seq 6
Haltestelle;Heppenheim, Daimlerstraße;49.643974;8.62963;19:13:00;19:13:00;Kein Umlauf;Sa,So;1318;Stop Seq 7
Haltestelle;Heppenheim, Dieselstraße;49.647236;8.628911;19:14:00;19:14:00;Kein Umlauf;Sa,So;1318;Stop Seq 8
Haltestelle;Heppenheim, Hans-Kohl-Straße;49.65112;8.628579;19:15:00;19:15:00;Kein Umlauf;Sa,So;1318;Stop Seq 9
Haltestelle;Heppenheim, Gunderslache;49.653168;8.626998;19:16:00;19:16:00;Kein Umlauf;Sa,So;1318;Stop Seq 10
Haltestelle;Heppenheim, Burgunderweg;49.654133;8.633726;19:19:00;19:19:00;Kein Umlauf;Sa,So;1318;Stop Seq 11
Haltestelle;Heppenheim, Silvanerweg;49.65139;8.634984;19:20:00;19:20:00;Kein Umlauf;Sa,So;1318;Stop Seq 12
Haltestelle;Heppenheim, Briefelstraße;49.64831;8.633672;19:22:00;19:22:00;Kein Umlauf;Sa,So;1318;Stop Seq 13
Haltestelle;Heppenheim, Gesundheitsamt;49.646137;8.635801;19:23:00;19:23:00;Kein Umlauf;Sa,So;1318;Stop Seq 14
Haltestelle;Heppenheim, Halber Mond;49.641838;8.638963;19:26:00;19:26:00;Kein Umlauf;Sa,So;1318;Stop Seq 15
Haltestelle;Heppenheim, Stadtbücherei;49.64029;8.63776;19:28:00;19:28:00;Kein Umlauf;Sa,So;1318;Stop Seq 16
Haltestelle;Heppenheim, Bahnhof;49.641163;8.633807;19:29:00;19:29:00;Kein Umlauf;Sa,So;1318;Stop Seq 17
