Typ;Name;Latitude;Longitude;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Haltestelle;Lindenhof, Pfalzplatz;49.464664;8.469838;07:52:00;07:52:00;Kein Umlauf;Sa,So;1318;Stop Seq 0
Haltestelle;Neckarau, Markuskirche;49.46485;8.475317;07:54:00;07:54:00;Kein Umlauf;Sa,So;1318;Stop Seq 1
Haltestelle;Neckarau, August-Bebel-Straße;49.466713;8.480339;07:55:00;07:55:00;Kein Umlauf;Sa,So;1318;Stop Seq 2
Haltestelle;Mannheim, Hochschule;49.469894;8.484013;07:56:00;07:56:00;Kein Umlauf;Sa,So;1318;Stop Seq 3
Haltestelle;Mannheim, Möhlstraße;49.47467;8.487067;07:58:00;07:58:00;Kein Umlauf;Sa,So;1318;Stop Seq 4
Haltestelle;Mannheim, Mühldorferstraße;49.47713;8.488082;07:59:00;07:59:00;Kein Umlauf;Sa,So;1318;Stop Seq 5
Haltestelle;Mannheim, Kunstverein;49.479584;8.487543;08:01:00;08:01:00;Kein Umlauf;Sa,So;1318;Stop Seq 6
Haltestelle;Mannheim, Otto-Beck-Straße;49.48082;8.484309;08:02:00;08:02:00;Kein Umlauf;Sa,So;1318;Stop Seq 7
Haltestelle;Mannheim, Am Friedrichsplatz;49.482803;8.479423;08:03:00;08:03:00;Kein Umlauf;Sa,So;1318;Stop Seq 8
Haltestelle;Mannheim, Wasserturm;49.48499;8.474805;08:05:00;08:05:00;Kein Umlauf;Sa,So;1318;Stop Seq 9
Haltestelle;Mannheim, Kunsthalle;49.482494;8.472479;08:06:00;08:06:00;Kein Umlauf;Sa,So;1318;Stop Seq 10
Haltestelle;Mannheim, Hauptbahnhof;49.480343;8.47052;08:07:00;08:07:00;Kein Umlauf;Sa,So;1318;Stop Seq 11
Haltestelle;Mannheim, Universität;49.482918;8.465571;08:09:00;08:09:00;Kein Umlauf;Sa,So;1318;Stop Seq 12
Haltestelle;Mannheim, Schloss;49.48468;8.462498;08:11:00;08:11:00;Kein Umlauf;Sa,So;1318;Stop Seq 13
Haltestelle;Mannheim, Universität West;49.48695;8.45736;08:12:00;08:12:00;Kein Umlauf;Sa,So;1318;Stop Seq 14
Haltestelle;Mannheim, Akademiestraße;49.492504;8.456812;08:13:00;08:13:00;Kein Umlauf;Sa,So;1318;Stop Seq 15
Haltestelle;Mannheim, Teufelsbrücke;49.494022;8.457099;08:14:00;08:14:00;Kein Umlauf;Sa,So;1318;Stop Seq 16
Haltestelle;Mannheim, Popakademie;49.49704;8.457647;08:15:00;08:15:00;Kein Umlauf;Sa,So;1318;Stop Seq 17
Haltestelle;Mannheim, Am Salzkai;49.496426;8.460827;08:16:00;08:16:00;Kein Umlauf;Sa,So;1318;Stop Seq 18
Haltestelle;Neckarstadt West;49.503864;8.46063;08:19:00;08:19:00;Kein Umlauf;Sa,So;1318;Stop Seq 19
Haltestelle;Mannheim, Zeppelinstraße;49.505676;8.464349;08:21:00;08:21:00;Kein Umlauf;Sa,So;1318;Stop Seq 20
Haltestelle;Mannheim, Neuer Meßplatz;49.505356;8.470008;08:23:00;08:23:00;Kein Umlauf;Sa,So;1318;Stop Seq 21
Haltestelle;Mannheim, Herzogenriedbad;49.503956;8.476638;08:25:00;08:25:00;Kein Umlauf;Sa,So;1318;Stop Seq 22
Haltestelle;Mannheim, Max-Joseph-Straße;49.49964;8.476243;08:27:00;08:27:00;Kein Umlauf;Sa,So;1318;Stop Seq 23
Haltestelle;Mannheim, Ida-Scipio-Heim;49.499084;8.481507;08:28:00;08:28:00;Kein Umlauf;Sa,So;1318;Stop Seq 24
Haltestelle;Mannheim, Moselstraße;49.498775;8.483609;08:29:00;08:29:00;Kein Umlauf;Sa,So;1318;Stop Seq 25
Haltestelle;Mannheim, Bonifatiuskirche;49.49807;8.489295;08:31:00;08:31:00;Kein Umlauf;Sa,So;1318;Stop Seq 26
