Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details;Altitude (m);Roadgrade (%);Surface;Highway_Type;OSM_Name;Fahrt_Nr;Bus_Umlauf_ID
Routenpunkt (Way);T;Berliner Allee;49.870753;8.635752;30.0;13:28:00;13:28:00;;;;Interpoliert;136.2;0.37;asphalt;busway;Rheinstraße;11;Kurs 49
Haltestelle;W;Darmstadt Berliner Allee;49.870753;8.635752;30.0;13:28:00;13:28:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446.0;Original GTFS (Snap-Distanz 1m) | Auf Route gesnappt (1m);136.33;-0.5;asphalt;busway;Rheinstraße;11;Kurs 49
Routenpunkt (Way);T;Berliner Allee;49.870744;8.635872;30.0;;;;;;Interpoliert;136.43;-0.65;asphalt;busway;Rheinstraße;11;Kurs 49
Routenpunkt (Way);T;;49.870763;8.636006;30.0;;;;;;Interpoliert (15m);136.12;-0.81;asphalt;busway;Rheinstraße;11;Kurs 49
Routenpunkt (Way);T;Berliner Allee;49.870781;8.63614;30.0;;;;;;Interpoliert;136.0;-0.81;asphalt;busway;Rheinstraße;11;Kurs 49
Routenpunkt (Way);T;Berliner Allee;49.870805;8.636315;30.0;;;;;;Interpoliert;135.9;-1.03;asphalt;busway;Rheinstraße;11;Kurs 49
Routenpunkt (Way);T;Berliner Allee;49.870833;8.636494;30.0;;;;;;Original OSM;135.9;-0.41;asphalt;busway;Rheinstraße;11;Kurs 49
Routenpunkt (Way);T;;49.870835;8.63662;30.0;;;;;;Interpoliert (15m);135.9;-0.16;asphalt;busway;Rheinstraße;11;Kurs 49
Routenpunkt (Way);T;Rheinstraße;49.870837;8.636746;30.0;;;;;;Interpoliert;135.9;0.0;asphalt;busway;Rheinstraße;11;Kurs 49
Routenpunkt (Way);T;Rheinstraße;49.870864;8.636941;30.0;;;;;;Interpoliert;135.9;0.0;asphalt;busway;Rheinstraße;11;Kurs 49
Routenpunkt (Way);T;Rheinstraße;49.870891;8.637136;30.0;;;;;;Interpoliert;135.9;0.0;asphalt;busway;Rheinstraße;11;Kurs 49
Routenpunkt (Way);T;Rheinstraße;49.870918;8.637331;30.0;;;;;;Interpoliert;135.9;0.42;asphalt;busway;Rheinstraße;11;Kurs 49
Routenpunkt (Way);T;Rheinstraße;49.870945;8.637526;30.0;;;;;;Interpoliert;135.9;0.7;asphalt;busway;Rheinstraße;11;Kurs 49
Routenpunkt (Way);T;Rheinstraße;49.870972;8.637722;30.0;;;;;;Interpoliert;136.2;0.98;asphalt;busway;Rheinstraße;11;Kurs 49
Routenpunkt (Way);T;Rheinstraße;49.870998;8.637917;30.0;;;;;;Interpoliert;136.4;1.26;asphalt;busway;Rheinstraße;11;Kurs 49
Routenpunkt (Way);T;Rheinstraße;49.871025;8.638112;30.0;;;;;;Interpoliert;136.6;1.4;asphalt;busway;Rheinstraße;11;Kurs 49
Routenpunkt (Way);T;Rheinstraße;49.871052;8.638307;30.0;;;;;;Interpoliert;136.8;0.84;asphalt;busway;Rheinstraße;11;Kurs 49
Routenpunkt (Way);T;Rheinstraße;49.871079;8.638502;30.0;;;;;;Interpoliert;136.9;0.42;asphalt;busway;;11;Kurs 49
Routenpunkt (Way);T;Rheinstraße;49.871106;8.638697;30.0;;;;;;Interpoliert;136.8;-0.0;asphalt;busway;;11;Kurs 49
Routenpunkt (Way);T;Rheinstraße;49.871133;8.638892;30.0;;;;;;Interpoliert;136.7;-0.14;asphalt;busway;;11;Kurs 49
Routenpunkt (Way);T;Rheinstraße;49.87116;8.639087;30.0;;;;;;Interpoliert;136.6;-0.14;asphalt;busway;;11;Kurs 49
Routenpunkt (Way);T;Rheinstraße;49.871186;8.639282;30.0;;;;;;Interpoliert;136.7;0.14;asphalt;busway;;11;Kurs 49
