Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details;Altitude (m);Roadgrade (%);Surface;Highway_Type;OSM_Name;Fahrt_Nr;Bus_Umlauf_ID
Routenpunkt (Way);A;Kranichsteiner Straße (Ampel);49.89594;8.686182;50.0;05:54:00;05:54:00;;;;Original OSM;150.6;0.0;asphalt;secondary;Kranichsteiner Straße;1;Kurs 7
Haltestelle;W;Kranichstein Kesselhutweg;49.89594;8.686182;50.0;05:54:00;05:54:00;Kein Umlauf;Unbekannt;133.0;Original GTFS (Snap-Distanz 4m) | Auf Route gesnappt (4m);150.33;-0.26;asphalt;secondary;Kranichsteiner Straße;1;Kurs 7
Routenpunkt (Way);T;Kranichsteiner Straße;49.89594;8.686182;50.0;;;;;;Original OSM;150.14;-0.21;asphalt;secondary;Kranichsteiner Straße;1;Kurs 7
Routenpunkt (Way);T;Kranichsteiner Straße;49.895914;8.685992;50.0;;;;;;Interpoliert;150.0;-0.21;asphalt;secondary;Kranichsteiner Straße;1;Kurs 7
Routenpunkt (Way);T;Kesselhutweg;49.895911;8.685825;50.0;;;;;;Original OSM;150.0;-0.29;asphalt;secondary;Kranichsteiner Straße;1;Kurs 7
Routenpunkt (Way);T;Kesselhutweg;49.895874;8.685538;50.0;;;;;;Interpoliert;150.0;-0.42;asphalt;secondary;Kranichsteiner Straße;1;Kurs 7
Routenpunkt (Way);T;Kranichsteiner Straße;49.895806;8.685212;50.0;;;;;;Interpoliert;149.9;-0.49;asphalt;secondary;Kranichsteiner Straße;1;Kurs 7
Routenpunkt (Way);T;Kranichsteiner Straße;49.895779;8.685012;50.0;;;;;;Interpoliert;149.8;-0.76;asphalt;secondary;Kranichsteiner Straße;1;Kurs 7
Routenpunkt (Way);T;Kranichsteiner Straße;49.895752;8.684812;50.0;;;;;;Original OSM;149.6;-0.76;asphalt;secondary;Kranichsteiner Straße;1;Kurs 7
Routenpunkt (Way);T;Kranichsteiner Straße;49.895729;8.684609;50.0;;;;;;Interpoliert;149.4;-0.68;asphalt;secondary;Kranichsteiner Straße;1;Kurs 7
Routenpunkt (Way);T;Kranichsteiner Straße;49.895706;8.684406;50.0;;;;;;Interpoliert;149.4;-0.41;asphalt;secondary;Kranichsteiner Straße;1;Kurs 7
Routenpunkt (Way);T;Kranichsteiner Straße;49.895683;8.684203;50.0;;;;;;Interpoliert;149.4;-0.0;asphalt;secondary;Kranichsteiner Straße;1;Kurs 7
Routenpunkt (Way);T;Kranichsteiner Straße;49.89566;8.684;50.0;;;;;;Interpoliert;149.5;0.27;asphalt;secondary;Kranichsteiner Straße;1;Kurs 7
Routenpunkt (Way);T;Kranichsteiner Straße;49.895638;8.683797;50.0;;;;;;Interpoliert;149.6;0.27;asphalt;secondary;Kranichsteiner Straße;1;Kurs 7
Routenpunkt (Way);T;Kranichsteiner Straße;49.895615;8.683594;50.0;;;;;;Interpoliert;149.6;0.41;asphalt;secondary;Kranichsteiner Straße;1;Kurs 7
Routenpunkt (Way);T;Kranichsteiner Straße;49.895592;8.683391;50.0;;;;;;Interpoliert;149.6;0.41;asphalt;secondary;Kranichsteiner Straße;1;Kurs 7
Routenpunkt (Way);T;Kranichsteiner Straße;49.895569;8.683189;50.0;;;;;;Interpoliert;149.7;0.54;asphalt;secondary;Kranichsteiner Straße;1;Kurs 7
Routenpunkt (Way);T;Kranichsteiner Straße;49.895546;8.682986;50.0;;;;;;Interpoliert;149.8;0.81;asphalt;secondary;Kranichsteiner Straße;1;Kurs 7
