Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details;Altitude (m);Roadgrade (%);Surface;Highway_Type;OSM_Name;Fahrt_Nr;Bus_Umlauf_ID
Routenpunkt (Way);T;Kleyerstraße;49.858769;8.623554;50.0;07:00:00;07:00:00;;;;Original OSM;124.0;0.6;paving_stones;residential;Kleyerstraße;1;Kurs 6
Haltestelle;W;Darmstadt Kleyerstraße;49.858769;8.623554;50.0;07:00:00;07:00:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446.0;Original GTFS (Snap-Distanz 22m) | Auf Route gesnappt (22m);124.0;0.79;paving_stones;residential;Kleyerstraße;1;Kurs 6
Routenpunkt (Way);T;;49.85884;8.623547;50.0;;;;;;Interpoliert (15m);124.14;0.78;paving_stones;residential;Kleyerstraße;1;Kurs 6
Routenpunkt (Way);T;Kleyerstraße;49.858911;8.623541;50.0;;;;;;Interpoliert;124.25;0.9;paving_stones;residential;Kleyerstraße;1;Kurs 6
Routenpunkt (Way);T;;49.859011;8.623529;50.0;;;;;;Interpoliert (15m);124.33;1.05;paving_stones;residential;Kleyerstraße;1;Kurs 6
Routenpunkt (Way);T;Kleyerstraße;49.859112;8.623517;50.0;;;;;;Interpoliert;124.4;0.85;paving_stones;residential;Kleyerstraße;1;Kurs 6
Routenpunkt (Way);T;Kleyerstraße;49.859225;8.62348;50.0;;;;;;Interpoliert;124.5;0.73;paving_stones;residential;Kleyerstraße;1;Kurs 6
Routenpunkt (Way);T;Kleyerstraße;49.859339;8.623443;50.0;;;;;;Interpoliert;124.6;0.74;paving_stones;residential;Kleyerstraße;1;Kurs 6
Routenpunkt (Way);T;Kleyerstraße;49.859452;8.623405;50.0;;;;;;Interpoliert;124.7;0.79;paving_stones;residential;Kleyerstraße;1;Kurs 6
Routenpunkt (Way);T;Kleyerstraße;49.859566;8.623368;50.0;;;;;;Original OSM;124.8;0.8;paving_stones;residential;Kleyerstraße;1;Kurs 6
Routenpunkt (Way);T;Kleyerstraße;49.859671;8.623333;50.0;;;;;;Interpoliert;124.9;0.64;paving_stones;residential;Kleyerstraße;1;Kurs 6
Routenpunkt (Way);T;Kleyerstraße;49.859776;8.623299;50.0;;;;;;Interpoliert;125.0;0.49;paving_stones;residential;Kleyerstraße;1;Kurs 6
Routenpunkt (Way);T;Kleyerstraße;49.859882;8.623264;50.0;;;;;;Interpoliert;125.0;0.33;paving_stones;residential;Kleyerstraße;1;Kurs 6
Routenpunkt (Way);T;Kleyerstraße;49.859988;8.623229;50.0;;;;;;Interpoliert;125.0;0.17;paving_stones;residential;Kleyerstraße;1;Kurs 6
Routenpunkt (Way);T;Kleyerstraße;49.860093;8.623195;50.0;;;;;;Original OSM;125.0;0.0;paving_stones;residential;Kleyerstraße;1;Kurs 6
Routenpunkt (Way);T;Kleyerstraße;49.860209;8.623157;50.0;;;;;;Original OSM;125.0;0.0;paving_stones;residential;Kleyerstraße;1;Kurs 6
Haltestelle;W;Darmstadt von Taxis;49.860215;8.623155;50.0;07:00:00;07:00:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446.0;Original GTFS (Snap-Distanz 3m) | Auf Route gesnappt (3m);125.0;0.0;paving_stones;residential;Kleyerstraße;1;Kurs 6
Routenpunkt (Way);T;Rosa-Parks-Straße;49.860223;8.623089;50.0;;;;;;Original OSM;125.0;0.37;paving_stones;residential;Kleyerstraße;1;Kurs 6
Routenpunkt (Way);T;Rosa-Parks-Straße;49.860316;8.623058;50.0;;;;;;Interpoliert;125.0;0.65;paving_stones;residential;Kleyerstraße;1;Kurs 6
