Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details;Altitude (m);Roadgrade (%);Surface;Highway_Type;OSM_Name;Fahrt_Nr;Bus_Umlauf_ID
Routenpunkt (Way);T;Böllenfalltor;49.85259;8.669733;50.0;07:13:00;07:13:00;;;;Interpoliert;194.8;1.14;asphalt;service;;2;Kurs O-10
Haltestelle;W;Darmstadt Böllenfalltor;49.85259;8.669733;50.0;07:13:00;07:13:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446.0;Original GTFS (Snap-Distanz 21m) | Auf Route gesnappt (1m);195.5;0.86;asphalt;service;;2;Kurs O-10
Routenpunkt (Way);T;Böllenfalltor;49.852577;8.669936;50.0;;;;;;Original OSM;196.0;0.68;asphalt;service;;2;Kurs O-10
Routenpunkt (Way);T;;49.852481;8.669999;50.0;;;;;;Interpoliert (15m);196.0;0.68;asphalt;service;;2;Kurs O-10
Routenpunkt (Way);A;Ampel;49.852385;8.670062;50.0;;;;;;Interpoliert (15m);196.0;1.41;asphalt;service;;2;Kurs O-10
Routenpunkt (Way);T;Klappacher Straße;49.85229;8.670125;50.0;;;;;;Original OSM;196.0;1.46;asphalt;secondary;Klappacher Straße;2;Kurs O-10
Routenpunkt (Way);T;;49.85227;8.670014;50.0;;;;;;Interpoliert (15m);196.3;1.87;asphalt;secondary;Klappacher Straße;2;Kurs O-10
Routenpunkt (Way);T;Klappacher Straße;49.852251;8.669904;50.0;;;;;;Interpoliert;196.6;1.87;asphalt;secondary;Klappacher Straße;2;Kurs O-10
Routenpunkt (Way);T;Klappacher Straße;49.852216;8.669708;50.0;;;;;;Original OSM;196.9;1.41;asphalt;secondary;Klappacher Straße;2;Kurs O-10
Routenpunkt (Way);T;Klappacher Straße;49.852184;8.669532;50.0;;;;;;Interpoliert;196.9;0.23;asphalt;service;;2;Kurs O-10
Routenpunkt (Way);T;Klappacher Straße;49.852152;8.669355;50.0;;;;;;Interpoliert;196.6;-1.42;asphalt;secondary;Klappacher Straße;2;Kurs O-10
Routenpunkt (Way);T;Klappacher Straße;49.85212;8.669179;50.0;;;;;;Interpoliert;196.3;-2.28;asphalt;secondary;Klappacher Straße;2;Kurs O-10
Routenpunkt (Way);T;Klappacher Straße;49.852088;8.669003;50.0;;;;;;Interpoliert;195.7;-2.74;asphalt;secondary;Klappacher Straße;2;Kurs O-10
Routenpunkt (Way);T;Klappacher Straße;49.852056;8.668826;50.0;;;;;;Interpoliert;195.4;-2.74;asphalt;secondary;Klappacher Straße;2;Kurs O-10
