Datum;Time_Global;Uhrzeit;Fahrt_Nr;Velocity_kmh;Road_Limit_kmh;Scenario_Limit_kmh;Velocity_ms;Acceleration;Distance_Global;Gradient_Percent;Latitude;Longitude;Type;Name;Surface;Highway_Type;Nearest_Stop;Soll_Ankunft;Soll_Abfahrt;Driving_State;Scenario;Limit_Factor
;0.0;07:13:00;2;0.0;50.0;45.0;0.0;0.0;0.0;0.86;49.85259;8.669733;W;Darmstadt Böllenfalltor;asphalt;service;Halt: Darmstadt Böllenfalltor;07:13:00;07:13:00;Stand;Umlauf_Li. R_MD_(Bau_Rheinstraßenbrücke)_220523_Bus_Kurs O-10.csv;0.9
;1.0;07:13:01;2;0.0;50.0;45.0;0.0;0.0;0.0;0.86;49.85259;8.669733;W;Darmstadt Böllenfalltor;asphalt;service;Halt: Darmstadt Böllenfalltor;07:13:00;07:13:00;Stand;Umlauf_Li. R_MD_(Bau_Rheinstraßenbrücke)_220523_Bus_Kurs O-10.csv;0.9
;2.0;07:13:02;2;0.0;50.0;45.0;0.0;0.0;0.0;0.86;49.85259;8.669733;W;Darmstadt Böllenfalltor;asphalt;service;Halt: Darmstadt Böllenfalltor;07:13:00;07:13:00;Stand;Umlauf_Li. R_MD_(Bau_Rheinstraßenbrücke)_220523_Bus_Kurs O-10.csv;0.9
;3.0;07:13:03;2;0.0;50.0;45.0;0.0;0.0;0.0;0.86;49.85259;8.669733;W;Darmstadt Böllenfalltor;asphalt;service;Halt: Darmstadt Böllenfalltor;07:13:00;07:13:00;Stand;Umlauf_Li. R_MD_(Bau_Rheinstraßenbrücke)_220523_Bus_Kurs O-10.csv;0.9
;4.0;07:13:04;2;0.0;50.0;45.0;0.0;0.0;0.0;0.86;49.85259;8.669733;W;Darmstadt Böllenfalltor;asphalt;service;Halt: Darmstadt Böllenfalltor;07:13:00;07:13:00;Stand;Umlauf_Li. R_MD_(Bau_Rheinstraßenbrücke)_220523_Bus_Kurs O-10.csv;0.9
;5.0;07:13:05;2;0.0;50.0;45.0;0.0;0.0;0.0;0.86;49.85259;8.669733;W;Darmstadt Böllenfalltor;asphalt;service;Halt: Darmstadt Böllenfalltor;07:13:00;07:13:00;Stand;Umlauf_Li. R_MD_(Bau_Rheinstraßenbrücke)_220523_Bus_Kurs O-10.csv;0.9
;6.0;07:13:06;2;0.0;50.0;45.0;0.0;0.0;0.0;0.86;49.85259;8.669733;W;Darmstadt Böllenfalltor;asphalt;service;Halt: Darmstadt Böllenfalltor;07:13:00;07:13:00;Stand;Umlauf_Li. R_MD_(Bau_Rheinstraßenbrücke)_220523_Bus_Kurs O-10.csv;0.9
;7.0;07:13:07;2;0.0;50.0;45.0;0.0;0.0;0.0;0.86;49.85259;8.669733;W;Darmstadt Böllenfalltor;asphalt;service;Halt: Darmstadt Böllenfalltor;07:13:00;07:13:00;Stand;Umlauf_Li. R_MD_(Bau_Rheinstraßenbrücke)_220523_Bus_Kurs O-10.csv;0.9
;8.0;07:13:08;2;0.0;50.0;45.0;0.0;0.0;0.0;0.86;49.85259;8.669733;W;Darmstadt Böllenfalltor;asphalt;service;Halt: Darmstadt Böllenfalltor;07:13:00;07:13:00;Stand;Umlauf_Li. R_MD_(Bau_Rheinstraßenbrücke)_220523_Bus_Kurs O-10.csv;0.9
;9.0;07:13:09;2;0.0;50.0;45.0;0.0;0.0;0.0;0.86;49.85259;8.669733;W;Darmstadt Böllenfalltor;asphalt;service;Halt: Darmstadt Böllenfalltor;07:13:00;07:13:00;Stand;Umlauf_Li. R_MD_(Bau_Rheinstraßenbrücke)_220523_Bus_Kurs O-10.csv;0.9
